"Status","Year","Disability","Profession_of_post","Region_london","Responsibility_level_ungrouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Declared disabled","Commercial","London","AO","10","10","[c]","[c]"
"In post","2022","Declared disabled","Commercial","London","EO","15","15","[c]","[c]"
"In post","2022","Declared disabled","Commercial","London","G6","5","5","[c]","[c]"
"In post","2022","Declared disabled","Commercial","London","G7","15","15","[c]","[c]"
"In post","2022","Declared disabled","Commercial","London","HEO","20","20","[c]","[c]"
"In post","2022","Declared disabled","Commercial","London","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Commercial","London","SEO","35","30","44420","43180"
"In post","2022","Declared disabled","Commercial","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Commercial","Outside London","AA","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Commercial","Outside London","AO","30","30","22240","21260"
"In post","2022","Declared disabled","Commercial","Outside London","EO","85","75","26270","26350"
"In post","2022","Declared disabled","Commercial","Outside London","G6","20","20","[c]","[c]"
"In post","2022","Declared disabled","Commercial","Outside London","G7","45","40","51930","50210"
"In post","2022","Declared disabled","Commercial","Outside London","HEO","125","120","32240","32310"
"In post","2022","Declared disabled","Commercial","Outside London","SCS level","5","5","[c]","[c]"
"In post","2022","Declared disabled","Commercial","Outside London","SEO","165","155","40800","40420"
"In post","2022","Declared disabled","Commercial","Outside London","Unknown","20","20","[c]","[c]"
"In post","2022","Declared disabled","Commercial","Overseas","EO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Commercial","Overseas","G6","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Commercial","Overseas","G7","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Commercial","Overseas","HEO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Commercial","Overseas","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Commercial","Overseas","SEO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Commercial","Unknown","AA","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Commercial","Unknown","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Commercial","Unknown","SEO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Communications","London","AA","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Communications","London","AO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Communications","London","EO","20","20","[c]","[c]"
"In post","2022","Declared disabled","Communications","London","G6","10","10","[c]","[c]"
"In post","2022","Declared disabled","Communications","London","G7","20","20","[c]","[c]"
"In post","2022","Declared disabled","Communications","London","HEO","40","40","35240","34020"
"In post","2022","Declared disabled","Communications","London","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Communications","London","SEO","30","30","44200","44180"
"In post","2022","Declared disabled","Communications","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Communications","Outside London","AA","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Communications","Outside London","AO","15","15","[c]","[c]"
"In post","2022","Declared disabled","Communications","Outside London","EO","45","45","27180","26670"
"In post","2022","Declared disabled","Communications","Outside London","G6","5","5","[c]","[c]"
"In post","2022","Declared disabled","Communications","Outside London","G7","30","30","52510","52420"
"In post","2022","Declared disabled","Communications","Outside London","HEO","50","45","32810","33040"
"In post","2022","Declared disabled","Communications","Outside London","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Communications","Outside London","SEO","40","35","40180","40580"
"In post","2022","Declared disabled","Communications","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Communications","Overseas","EO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Communications","Overseas","G7","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Communications","Overseas","HEO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Communications","Overseas","SEO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Communications","Unknown","EO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Communications","Unknown","G6","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Communications","Unknown","G7","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Communications","Unknown","HEO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Communications","Unknown","SEO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Corporate Finance","London","EO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Corporate Finance","London","G6","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Corporate Finance","London","G7","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Corporate Finance","London","HEO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Corporate Finance","London","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Corporate Finance","London","SEO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Corporate Finance","Outside London","AO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Corporate Finance","Outside London","EO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Corporate Finance","Outside London","G6","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Corporate Finance","Outside London","G7","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Corporate Finance","Outside London","HEO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Corporate Finance","Outside London","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Corporate Finance","Outside London","SEO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Counter Fraud","London","AA","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Counter Fraud","London","AO","50","45","24380","25110"
"In post","2022","Declared disabled","Counter Fraud","London","EO","60","55","31370","31810"
"In post","2022","Declared disabled","Counter Fraud","London","G6","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Counter Fraud","London","G7","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Counter Fraud","London","HEO","25","25","[c]","[c]"
"In post","2022","Declared disabled","Counter Fraud","London","SCS level","[c]","[c]","[c]","[c]"
