"Status","Year","Disability","Ethnicity","Function_of_post","Responsibility_level_ungrouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Declared disabled","Asian","Analysis","AA","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Analysis","AO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Analysis","EO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Analysis","G6","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Analysis","G7","10","10","[c]","[c]"
"In post","2022","Declared disabled","Asian","Analysis","HEO","15","15","[c]","[c]"
"In post","2022","Declared disabled","Asian","Analysis","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Analysis","SEO","5","5","[c]","[c]"
"In post","2022","Declared disabled","Asian","Commercial","AA","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Commercial","AO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Commercial","EO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Commercial","G6","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Commercial","G7","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Commercial","HEO","5","5","[c]","[c]"
"In post","2022","Declared disabled","Asian","Commercial","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Commercial","SEO","10","10","[c]","[c]"
"In post","2022","Declared disabled","Asian","Commercial","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Communications","AA","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Communications","AO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Communications","EO","10","10","[c]","[c]"
"In post","2022","Declared disabled","Asian","Communications","G6","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Communications","G7","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Communications","HEO","15","10","[c]","[c]"
"In post","2022","Declared disabled","Asian","Communications","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Communications","SEO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Communications","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Counter Fraud","AA","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Counter Fraud","AO","35","30","23800","25110"
"In post","2022","Declared disabled","Asian","Counter Fraud","EO","65","60","28790","27570"
"In post","2022","Declared disabled","Asian","Counter Fraud","G6","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Counter Fraud","G7","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Counter Fraud","HEO","20","20","[c]","[c]"
"In post","2022","Declared disabled","Asian","Counter Fraud","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Counter Fraud","SEO","10","10","[c]","[c]"
"In post","2022","Declared disabled","Asian","Debt","AA","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Debt","AO","55","45","22590","21260"
"In post","2022","Declared disabled","Asian","Debt","EO","10","10","[c]","[c]"
"In post","2022","Declared disabled","Asian","Debt","G6","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Debt","G7","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Debt","HEO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Debt","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Debt","SEO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Digital, Data & Technology","AA","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Digital, Data & Technology","AO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Digital, Data & Technology","EO","25","25","[c]","[c]"
"In post","2022","Declared disabled","Asian","Digital, Data & Technology","G6","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Digital, Data & Technology","G7","15","15","[c]","[c]"
"In post","2022","Declared disabled","Asian","Digital, Data & Technology","HEO","25","25","[c]","[c]"
"In post","2022","Declared disabled","Asian","Digital, Data & Technology","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Digital, Data & Technology","SEO","15","15","[c]","[c]"
"In post","2022","Declared disabled","Asian","Digital, Data & Technology","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Finance","AA","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Finance","AO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Finance","EO","20","20","[c]","[c]"
"In post","2022","Declared disabled","Asian","Finance","G6","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Finance","G7","10","10","[c]","[c]"
"In post","2022","Declared disabled","Asian","Finance","HEO","15","10","[c]","[c]"
"In post","2022","Declared disabled","Asian","Finance","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Finance","SEO","30","25","[c]","[c]"
"In post","2022","Declared disabled","Asian","Finance","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Grants Management","AO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Grants Management","EO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Grants Management","G6","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Grants Management","G7","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Grants Management","HEO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Grants Management","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Grants Management","SEO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Human Resources","AA","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Human Resources","AO","5","5","[c]","[c]"
"In post","2022","Declared disabled","Asian","Human Resources","EO","25","25","[c]","[c]"
"In post","2022","Declared disabled","Asian","Human Resources","G6","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Human Resources","G7","15","15","[c]","[c]"
"In post","2022","Declared disabled","Asian","Human Resources","HEO","25","25","[c]","[c]"
"In post","2022","Declared disabled","Asian","Human Resources","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Human Resources","SEO","15","15","[c]","[c]"
"In post","2022","Declared disabled","Asian","Human Resources","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Internal Audit","AO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Internal Audit","EO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Internal Audit","G6","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Internal Audit","G7","[c]","[c]","[c]","[c]"
