"Status","Year","Disability","Organisation","Region_ITL1","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Declared disabled","Accountant in Bankruptcy","Scotland","10","5","[c]","[c]"
"In post","2022","Declared disabled","Advisory, Conciliation and Arbitration Service","East Midlands (England)","20","15","[c]","[c]"
"In post","2022","Declared disabled","Advisory, Conciliation and Arbitration Service","East of England","10","10","[c]","[c]"
"In post","2022","Declared disabled","Advisory, Conciliation and Arbitration Service","London","20","20","[c]","[c]"
"In post","2022","Declared disabled","Advisory, Conciliation and Arbitration Service","North East (England)","25","25","[c]","[c]"
"In post","2022","Declared disabled","Advisory, Conciliation and Arbitration Service","North West (England)","30","25","[c]","[c]"
"In post","2022","Declared disabled","Advisory, Conciliation and Arbitration Service","Scotland","20","20","[c]","[c]"
"In post","2022","Declared disabled","Advisory, Conciliation and Arbitration Service","South East (England)","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Advisory, Conciliation and Arbitration Service","South West (England)","10","10","[c]","[c]"
"In post","2022","Declared disabled","Advisory, Conciliation and Arbitration Service","Wales","20","15","[c]","[c]"
"In post","2022","Declared disabled","Advisory, Conciliation and Arbitration Service","West Midlands (England)","15","15","[c]","[c]"
"In post","2022","Declared disabled","Advisory, Conciliation and Arbitration Service","Yorkshire and The Humber","15","10","[c]","[c]"
"In post","2022","Declared disabled","Animal and Plant Health Agency","East Midlands (England)","5","5","[c]","[c]"
"In post","2022","Declared disabled","Animal and Plant Health Agency","East of England","20","20","[c]","[c]"
"In post","2022","Declared disabled","Animal and Plant Health Agency","London","10","10","[c]","[c]"
"In post","2022","Declared disabled","Animal and Plant Health Agency","North East (England)","10","10","[c]","[c]"
"In post","2022","Declared disabled","Animal and Plant Health Agency","North West (England)","50","45","26880","24360"
"In post","2022","Declared disabled","Animal and Plant Health Agency","Scotland","25","25","[c]","[c]"
"In post","2022","Declared disabled","Animal and Plant Health Agency","South East (England)","100","95","32530","29090"
"In post","2022","Declared disabled","Animal and Plant Health Agency","South West (England)","60","55","26180","24920"
"In post","2022","Declared disabled","Animal and Plant Health Agency","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Animal and Plant Health Agency","Wales","40","35","26600","24920"
"In post","2022","Declared disabled","Animal and Plant Health Agency","West Midlands (England)","45","40","29010","25190"
"In post","2022","Declared disabled","Animal and Plant Health Agency","Yorkshire and The Humber","35","30","26460","24920"
"In post","2022","Declared disabled","Attorney General's Office","London","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Cabinet Office (excl. agencies)","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Cabinet Office (excl. agencies)","East of England","15","15","[c]","[c]"
"In post","2022","Declared disabled","Cabinet Office (excl. agencies)","London","500","490","48900","49700"
"In post","2022","Declared disabled","Cabinet Office (excl. agencies)","North East (England)","65","60","28870","24100"
"In post","2022","Declared disabled","Cabinet Office (excl. agencies)","North West (England)","40","40","42250","37580"
"In post","2022","Declared disabled","Cabinet Office (excl. agencies)","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Cabinet Office (excl. agencies)","Scotland","25","25","[c]","[c]"
"In post","2022","Declared disabled","Cabinet Office (excl. agencies)","South East (England)","20","20","[c]","[c]"
"In post","2022","Declared disabled","Cabinet Office (excl. agencies)","South West (England)","10","10","[c]","[c]"
"In post","2022","Declared disabled","Cabinet Office (excl. agencies)","Unknown","25","25","[c]","[c]"
"In post","2022","Declared disabled","Cabinet Office (excl. agencies)","Wales","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Cabinet Office (excl. agencies)","West Midlands (England)","5","5","[c]","[c]"
"In post","2022","Declared disabled","Cabinet Office (excl. agencies)","Yorkshire and The Humber","100","95","33710","33300"
"In post","2022","Declared disabled","Centre for Environment, Fisheries and Aquaculture Science","East of England","30","30","29210","27090"
"In post","2022","Declared disabled","Centre for Environment, Fisheries and Aquaculture Science","South West (England)","10","10","[c]","[c]"
"In post","2022","Declared disabled","Centre for Environment, Fisheries and Aquaculture Science","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Charity Commission","London","5","5","[c]","[c]"
"In post","2022","Declared disabled","Charity Commission","North West (England)","20","20","[c]","[c]"
"In post","2022","Declared disabled","Charity Commission","South West (England)","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Charity Commission","Wales","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Companies House","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Companies House","London","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Companies House","North East (England)","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Companies House","North West (England)","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Companies House","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Companies House","Scotland","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Companies House","South East (England)","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Companies House","South West (England)","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Companies House","Wales","85","75","31760","24950"
"In post","2022","Declared disabled","Companies House","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Companies House","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Competition and Markets Authority","London","45","45","54170","52190"
"In post","2022","Declared disabled","Competition and Markets Authority","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Competition and Markets Authority","Scotland","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Competition and Markets Authority","Wales","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Criminal Injuries Compensation Authority","Scotland","35","30","24330","25120"
"In post","2022","Declared disabled","Criminal Injuries Compensation Authority","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Crown Commercial Service","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Crown Commercial Service","East of England","15","15","[c]","[c]"
"In post","2022","Declared disabled","Crown Commercial Service","London","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Crown Commercial Service","North East (England)","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Crown Commercial Service","North West (England)","30","25","[c]","[c]"
"In post","2022","Declared disabled","Crown Commercial Service","Scotland","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Crown Commercial Service","South East (England)","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Crown Commercial Service","South West (England)","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Crown Commercial Service","Wales","10","10","[c]","[c]"
"In post","2022","Declared disabled","Crown Commercial Service","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Crown Commercial Service","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Crown Office and Procurator Fiscal Service","Scotland","135","125","35620","30040"
"In post","2022","Declared disabled","Crown Prosecution Service","East Midlands (England)","65","60","37060","33310"
"In post","2022","Declared disabled","Crown Prosecution Service","East of England","55","50","40860","34480"
"In post","2022","Declared disabled","Crown Prosecution Service","London","205","190","46910","40800"
"In post","2022","Declared disabled","Crown Prosecution Service","North East (England)","45","40","35820","28430"
"In post","2022","Declared disabled","Crown Prosecution Service","North West (England)","130","120","39750","32050"
"In post","2022","Declared disabled","Crown Prosecution Service","Overseas","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Crown Prosecution Service","Scotland","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Crown Prosecution Service","South East (England)","90","85","42550","39750"
"In post","2022","Declared disabled","Crown Prosecution Service","South West (England)","40","35","38530","31090"
"In post","2022","Declared disabled","Crown Prosecution Service","Wales","35","35","38630","36240"
"In post","2022","Declared disabled","Crown Prosecution Service","West Midlands (England)","60","55","44040","48080"
"In post","2022","Declared disabled","Crown Prosecution Service","Yorkshire and The Humber","95","90","39280","33900"
