"Status","Year","Age","Function_of_post","Region_ITL2","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","16-19","Analysis","East Anglia","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Analysis","East Anglia","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Analysis","East Anglia","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Analysis","East Wales","Heterosexual / straight","5","5","[c]","[c]"
"In post","2022","16-19","Analysis","East Wales","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Analysis","Gloucestershire, Wiltshire and Bath/Bristol area","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Analysis","Gloucestershire, Wiltshire and Bath/Bristol area","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Analysis","Gloucestershire, Wiltshire and Bath/Bristol area","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Analysis","Greater Manchester","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Analysis","Greater Manchester","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Analysis","Greater Manchester","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Analysis","Hampshire and Isle of Wight","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Analysis","Hampshire and Isle of Wight","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Analysis","Inner London - East","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Analysis","Inner London - East","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Analysis","Inner London - West","Heterosexual / straight","10","10","[c]","[c]"
"In post","2022","16-19","Analysis","Inner London - West","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Analysis","Inner London - West","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Analysis","Inner London - West","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Analysis","Merseyside","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Analysis","Merseyside","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Analysis","Northumberland, and Tyne and Wear","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Analysis","Northumberland, and Tyne and Wear","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Analysis","Northumberland, and Tyne and Wear","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Analysis","South Yorkshire","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Analysis","South Yorkshire","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Analysis","South Yorkshire","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Analysis","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Analysis","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Commercial","Eastern Scotland","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Commercial","Eastern Scotland","LGBO","[c]","[c]","[c]","[c]"
