"Status","Year","Function_of_post","Organisation","Profession_of_post","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Analysis","Advisory, Conciliation and Arbitration Service","Operational Research","5","5","[c]","[c]"
"In post","2022","Analysis","Cabinet Office (excl. agencies)","Unknown","20","20","42120","35070"
"In post","2022","Analysis","Centre for Environment, Fisheries and Aquaculture Science","Economics","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Centre for Environment, Fisheries and Aquaculture Science","Science and Engineering","465","445","34230","30220"
"In post","2022","Analysis","Companies House","Digital, Data and Technology","15","15","38340","36480"
"In post","2022","Analysis","Companies House","Statistics","10","10","35400","36240"
"In post","2022","Analysis","Competition and Markets Authority","Economics","100","95","64410","59510"
"In post","2022","Analysis","Competition and Markets Authority","Intelligence Analysis","30","30","54220","53920"
"In post","2022","Analysis","Competition and Markets Authority","Statistics","5","5","[c]","[c]"
"In post","2022","Analysis","Defence Electronics and Components Agency","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Defence Science and Technology Laboratory","Commercial","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Defence Science and Technology Laboratory","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Defence Science and Technology Laboratory","Digital, Data and Technology","5","5","[c]","[c]"
"In post","2022","Analysis","Defence Science and Technology Laboratory","Intelligence Analysis","20","20","30150","29230"
"In post","2022","Analysis","Defence Science and Technology Laboratory","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Defence Science and Technology Laboratory","Operational Delivery","20","20","41360","38070"
"In post","2022","Analysis","Defence Science and Technology Laboratory","Operational Research","275","265","43180","47010"
"In post","2022","Analysis","Defence Science and Technology Laboratory","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Defence Science and Technology Laboratory","Science and Engineering","170","160","38510","38070"
"In post","2022","Analysis","Defence Science and Technology Laboratory","Statistics","10","10","[c]","[c]"
"In post","2022","Analysis","Department for Business, Energy and Industrial Strategy (excl. agencies)","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Business, Energy and Industrial Strategy (excl. agencies)","Economics","160","160","39600","33880"
"In post","2022","Analysis","Department for Business, Energy and Industrial Strategy (excl. agencies)","Human Resources","15","15","47770","46050"
"In post","2022","Analysis","Department for Business, Energy and Industrial Strategy (excl. agencies)","Operational Delivery","10","10","32330","27680"
"In post","2022","Analysis","Department for Business, Energy and Industrial Strategy (excl. agencies)","Operational Research","10","10","56600","57620"
"In post","2022","Analysis","Department for Business, Energy and Industrial Strategy (excl. agencies)","Policy","20","20","55680","57620"
"In post","2022","Analysis","Department for Business, Energy and Industrial Strategy (excl. agencies)","Statistics","30","25","48480","47510"
"In post","2022","Analysis","Department for Digital, Culture, Media and Sport","Commercial","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Digital, Culture, Media and Sport","Economics","80","75","48160","51070"
