"Status","Year","Disability","Function_of_post","Region_london","Responsibility_level_grouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Declared disabled","Analysis","London","AA/AO","5","5","[c]","[c]"
"In post","2022","Declared disabled","Analysis","London","EO","30","30","29150","29730"
"In post","2022","Declared disabled","Analysis","London","G6/G7","95","90","63830","62120"
"In post","2022","Declared disabled","Analysis","London","SCS level","5","5","[c]","[c]"
"In post","2022","Declared disabled","Analysis","London","SEO/HEO","145","140","38970","37930"
"In post","2022","Declared disabled","Analysis","Outside London","AA/AO","25","25","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Outside London","EO","45","45","25980","25070"
"In post","2022","Declared disabled","Analysis","Outside London","G6/G7","90","85","55640","53760"
"In post","2022","Declared disabled","Analysis","Outside London","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Outside London","SEO/HEO","265","250","35300","35590"
"In post","2022","Declared disabled","Analysis","Overseas","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Overseas","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Unknown","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Unknown","EO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Unknown","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Unknown","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Commercial","London","AA/AO","5","5","[c]","[c]"
"In post","2022","Declared disabled","Commercial","London","EO","10","10","[c]","[c]"
"In post","2022","Declared disabled","Commercial","London","G6/G7","30","30","[c]","[c]"
"In post","2022","Declared disabled","Commercial","London","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Commercial","London","SEO/HEO","45","40","38000","36910"
"In post","2022","Declared disabled","Commercial","Outside London","AA/AO","25","20","[c]","[c]"
"In post","2022","Declared disabled","Commercial","Outside London","EO","60","55","26280","26350"
"In post","2022","Declared disabled","Commercial","Outside London","G6/G7","55","55","56740","54540"
"In post","2022","Declared disabled","Commercial","Outside London","SCS level","5","5","[c]","[c]"
"In post","2022","Declared disabled","Commercial","Outside London","SEO/HEO","200","195","36920","37440"
"In post","2022","Declared disabled","Commercial","Outside London","Unknown","15","15","[c]","[c]"
