"Status","Year","Profession_of_post","Region_ITL2","Region_london","Responsibility_level_grouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Commercial","Bedfordshire and Hertfordshire","Outside London","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Bedfordshire and Hertfordshire","Outside London","EO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Bedfordshire and Hertfordshire","Outside London","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Bedfordshire and Hertfordshire","Outside London","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Bedfordshire and Hertfordshire","Outside London","SEO/HEO","5","5","[c]","[c]"
"In post","2022","Commercial","Bedfordshire and Hertfordshire","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Berkshire, Buckinghamshire and Oxfordshire","Outside London","AA/AO","10","10","22020","21660"
"In post","2022","Commercial","Berkshire, Buckinghamshire and Oxfordshire","Outside London","EO","30","30","26520","26230"
"In post","2022","Commercial","Berkshire, Buckinghamshire and Oxfordshire","Outside London","G6/G7","25","25","62310","60320"
"In post","2022","Commercial","Berkshire, Buckinghamshire and Oxfordshire","Outside London","SEO/HEO","110","105","38420","39350"
"In post","2022","Commercial","Berkshire, Buckinghamshire and Oxfordshire","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Cheshire","Outside London","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Cheshire","Outside London","EO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Cheshire","Outside London","G6/G7","5","5","[c]","[c]"
"In post","2022","Commercial","Cheshire","Outside London","SEO/HEO","20","15","37210","38610"
"In post","2022","Commercial","Cornwall and Isles of Scilly","Outside London","EO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Cornwall and Isles of Scilly","Outside London","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Cumbria","Outside London","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Cumbria","Outside London","Unknown","15","15","41220","38240"
"In post","2022","Commercial","Derbyshire and Nottinghamshire","Outside London","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Derbyshire and Nottinghamshire","Outside London","EO","15","15","26620","26480"
"In post","2022","Commercial","Derbyshire and Nottinghamshire","Outside London","G6/G7","25","25","56750","53430"
"In post","2022","Commercial","Derbyshire and Nottinghamshire","Outside London","SCS level","[c]","[c]","[c]","[c]"
