"Status","Year","Age","Organisation","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","16-19","Animal and Plant Health Agency","Heterosexual / straight","5","5","[c]","[c]"
"In post","2022","16-19","Animal and Plant Health Agency","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Animal and Plant Health Agency","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Cabinet Office (excl. agencies)","Heterosexual / straight","10","10","[c]","[c]"
"In post","2022","16-19","Cabinet Office (excl. agencies)","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Cabinet Office (excl. agencies)","Unknown","10","10","[c]","[c]"
"In post","2022","16-19","Centre for Environment, Fisheries and Aquaculture Science","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Centre for Environment, Fisheries and Aquaculture Science","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Centre for Environment, Fisheries and Aquaculture Science","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Charity Commission","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Charity Commission","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Companies House","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Companies House","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Companies House","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Competition and Markets Authority","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Competition and Markets Authority","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Criminal Injuries Compensation Authority","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Criminal Injuries Compensation Authority","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Criminal Injuries Compensation Authority","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Crown Commercial Service","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Crown Commercial Service","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Crown Office and Procurator Fiscal Service","Heterosexual / straight","10","10","[c]","[c]"
"In post","2022","16-19","Crown Office and Procurator Fiscal Service","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Crown Prosecution Service","Heterosexual / straight","30","30","22090","22200"
"In post","2022","16-19","Crown Prosecution Service","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Crown Prosecution Service","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Crown Prosecution Service","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Defence Electronics and Components Agency","Heterosexual / straight","10","10","[c]","[c]"
"In post","2022","16-19","Defence Electronics and Components Agency","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Defence Electronics and Components Agency","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Defence Electronics and Components Agency","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Defence Equipment and Support","Heterosexual / straight","60","60","19320","19460"
"In post","2022","16-19","Defence Equipment and Support","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Defence Equipment and Support","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Defence Equipment and Support","Unknown","40","40","17470","17140"
"In post","2022","16-19","Defence Science and Technology Laboratory","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Defence Science and Technology Laboratory","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Defence Science and Technology Laboratory","Unknown","15","15","[c]","[c]"
"In post","2022","16-19","Department for Business, Energy and Industrial Strategy (excl. agencies)","Heterosexual / straight","5","5","[c]","[c]"
"In post","2022","16-19","Department for Business, Energy and Industrial Strategy (excl. agencies)","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Department for Business, Energy and Industrial Strategy (excl. agencies)","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Department for Education (excl. agencies)","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Department for Education (excl. agencies)","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Department for Education (excl. agencies)","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Department for Education (excl. agencies)","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Department for Environment, Food and Rural Affairs (excl. agencies)","Heterosexual / straight","10","10","[c]","[c]"
"In post","2022","16-19","Department for Environment, Food and Rural Affairs (excl. agencies)","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Department for Environment, Food and Rural Affairs (excl. agencies)","Unknown","10","5","[c]","[c]"
"In post","2022","16-19","Department for International Trade","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Department for International Trade","LGBO","[c]","[c]","[c]","[c]"
