"Status","Year","Age","Ethnicity","Organisation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","16-19","Asian","Animal and Plant Health Agency","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Cabinet Office (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Centre for Environment, Fisheries and Aquaculture Science","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Companies House","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Criminal Injuries Compensation Authority","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Crown Commercial Service","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Crown Office and Procurator Fiscal Service","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Crown Prosecution Service","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Defence Electronics and Components Agency","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Defence Equipment and Support","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Defence Science and Technology Laboratory","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Department for Business, Energy and Industrial Strategy (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Department for Education (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Department for Environment, Food and Rural Affairs (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Department for Levelling Up, Housing and Communities (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Department for Transport (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Department for Work and Pensions (excl. agencies)","35","30","23940","21260"
"In post","2022","16-19","Asian","Department of Health and Social Care (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Disclosure Scotland","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Driver and Vehicle Licensing Agency","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Driver and Vehicle Standards Agency","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Education and Skills Funding Agency","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","FCDO Services","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Food Standards Scotland","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Foreign, Commonwealth and Development Office (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Forestry and Land Scotland","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Government Actuary's Department","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Government Legal Department","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Health and Safety Executive","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","HM Courts and Tribunals Service","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","HM Crown Prosecution Service Inspectorate","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","HM Land Registry","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","HM Prison and Probation Service","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","HM Revenue and Customs (excl. agencies)","25","25","[c]","[c]"
"In post","2022","16-19","Asian","HM Treasury (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Home Office","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Intellectual Property Office","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Legal Aid Agency","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Maritime and Coastguard Agency","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Met Office","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Ministry of Defence (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Ministry of Justice (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","National Crime Agency","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","National Savings and Investments","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Northern Ireland Office","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Office for Budget Responsibility","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Office for Standards in Education, Children's Services and Skills","[c]","[c]","[c]","[c]"
