"Status","Year","Disability","Ethnicity","Region_ITL1","Responsibility_level_grouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Declared disabled","Asian","East Midlands (England)","AA/AO","95","80","21530","21250"
"In post","2022","Declared disabled","Asian","East Midlands (England)","EO","55","50","27140","27570"
"In post","2022","Declared disabled","Asian","East Midlands (England)","G6/G7","5","5","[c]","[c]"
"In post","2022","Declared disabled","Asian","East Midlands (England)","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","East Midlands (England)","SEO/HEO","40","35","34690","33370"
"In post","2022","Declared disabled","Asian","East Midlands (England)","Unknown","15","15","[c]","[c]"
"In post","2022","Declared disabled","Asian","East of England","AA/AO","40","30","22990","22030"
"In post","2022","Declared disabled","Asian","East of England","EO","55","50","28330","27880"
"In post","2022","Declared disabled","Asian","East of England","G6/G7","5","5","[c]","[c]"
"In post","2022","Declared disabled","Asian","East of England","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","East of England","SEO/HEO","25","20","[c]","[c]"
"In post","2022","Declared disabled","Asian","East of England","Unknown","10","10","[c]","[c]"
"In post","2022","Declared disabled","Asian","London","AA/AO","245","210","24970","25110"
"In post","2022","Declared disabled","Asian","London","EO","470","425","30310","31060"
"In post","2022","Declared disabled","Asian","London","G6/G7","195","190","60150","59130"
"In post","2022","Declared disabled","Asian","London","SCS level","10","10","[c]","[c]"
"In post","2022","Declared disabled","Asian","London","SEO/HEO","440","425","38910","38370"
"In post","2022","Declared disabled","Asian","London","Unknown","35","35","31610","29650"
"In post","2022","Declared disabled","Asian","North East (England)","AA/AO","15","15","[c]","[c]"
"In post","2022","Declared disabled","Asian","North East (England)","EO","15","15","[c]","[c]"
"In post","2022","Declared disabled","Asian","North East (England)","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","North East (England)","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","North East (England)","SEO/HEO","10","10","[c]","[c]"
"In post","2022","Declared disabled","Asian","North East (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","North West (England)","AA/AO","110","95","21180","21260"
"In post","2022","Declared disabled","Asian","North West (England)","EO","110","100","26990","27570"
"In post","2022","Declared disabled","Asian","North West (England)","G6/G7","15","10","[c]","[c]"
"In post","2022","Declared disabled","Asian","North West (England)","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","North West (England)","SEO/HEO","60","60","35270","33370"
"In post","2022","Declared disabled","Asian","North West (England)","Unknown","15","10","[c]","[c]"
"In post","2022","Declared disabled","Asian","Northern Ireland","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Northern Ireland","EO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Northern Ireland","G6/G7","[c]","[c]","[c]","[c]"
