"Status","Year","Ethnicity","Organisation","Parent_department","Region_ITL2","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Asian","Accountant in Bankruptcy","Scottish Government","Southern Scotland","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Accountant in Bankruptcy","Scottish Government","West Central Scotland","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","Berkshire, Buckinghamshire and Oxfordshire","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","Cheshire","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","Derbyshire and Nottinghamshire","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","Devon","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","Dorset and Somerset","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","East Anglia","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","East Wales","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","Essex","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","Gloucestershire, Wiltshire and Bath/Bristol area","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","Greater Manchester","10","10","[c]","[c]"
"In post","2022","Asian","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","Hampshire and Isle of Wight","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","Herefordshire, Worcestershire and Warwickshire","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","Inner London - West","25","25","[c]","[c]"
"In post","2022","Asian","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","Kent","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","Lancashire","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","Merseyside","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","Northumberland, and Tyne and Wear","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","Shropshire and Staffordshire","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","Tees Valley and Durham","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","West Central Scotland","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","West Midlands","10","10","[c]","[c]"
"In post","2022","Asian","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","West Wales and The Valleys","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","West Yorkshire","5","5","[c]","[c]"
"In post","2022","Asian","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Bedfordshire and Hertfordshire","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Berkshire, Buckinghamshire and Oxfordshire","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Cheshire","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Cornwall and Isles of Scilly","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Cumbria","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Derbyshire and Nottinghamshire","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Devon","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Dorset and Somerset","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","East Anglia","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","East Wales","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","East Yorkshire and Northern Lincolnshire","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Eastern Scotland","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Essex","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Gloucestershire, Wiltshire and Bath/Bristol area","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Greater Manchester","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Hampshire and Isle of Wight","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Herefordshire, Worcestershire and Warwickshire","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Highlands and Islands","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Inner London - West","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Kent","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Lancashire","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Leicestershire, Rutland and Northamptonshire","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Lincolnshire","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","North Eastern Scotland","[c]","[c]","[c]","[c]"
