"Status","Year","Age","Disability","Region_ITL1","Region_ITL2","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","16-19","Declared disabled","East Midlands (England)","Derbyshire and Nottinghamshire","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","East Midlands (England)","Leicestershire, Rutland and Northamptonshire","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","East Midlands (England)","Lincolnshire","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","East of England","Bedfordshire and Hertfordshire","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","East of England","East Anglia","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","East of England","Essex","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","London","Inner London - East","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","London","Inner London - West","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","London","Outer London - East and North East","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","London","Outer London - South","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","London","Outer London - West and North West","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","North East (England)","Northumberland, and Tyne and Wear","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","North East (England)","Tees Valley and Durham","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","North West (England)","Cheshire","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","North West (England)","Cumbria","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","North West (England)","Greater Manchester","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","North West (England)","Lancashire","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","North West (England)","Merseyside","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Northern Ireland","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Scotland","Eastern Scotland","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Scotland","Highlands and Islands","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Scotland","North Eastern Scotland","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Scotland","Southern Scotland","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Scotland","West Central Scotland","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","South East (England)","Berkshire, Buckinghamshire and Oxfordshire","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","South East (England)","Hampshire and Isle of Wight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","South East (England)","Kent","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","South East (England)","Surrey, East and West Sussex","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","South West (England)","Cornwall and Isles of Scilly","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","South West (England)","Devon","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","South West (England)","Dorset and Somerset","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","South West (England)","Gloucestershire, Wiltshire and Bath/Bristol area","10","10","[c]","[c]"
"In post","2022","16-19","Declared disabled","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Wales","East Wales","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Wales","West Wales and The Valleys","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","West Midlands (England)","Herefordshire, Worcestershire and Warwickshire","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","West Midlands (England)","Shropshire and Staffordshire","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","West Midlands (England)","West Midlands","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Yorkshire and The Humber","East Yorkshire and Northern Lincolnshire","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Yorkshire and The Humber","North Yorkshire","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Yorkshire and The Humber","South Yorkshire","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Yorkshire and The Humber","West Yorkshire","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","East Midlands (England)","Derbyshire and Nottinghamshire","15","15","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","East Midlands (England)","Leicestershire, Rutland and Northamptonshire","15","15","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","East Midlands (England)","Lincolnshire","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","East of England","Bedfordshire and Hertfordshire","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","East of England","East Anglia","20","20","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","East of England","Essex","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","London","Inner London - East","15","15","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","London","Inner London - West","55","55","25050","24750"
"In post","2022","16-19","Declared non-disabled","London","Outer London - East and North East","5","5","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","London","Outer London - South","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","London","Outer London - West and North West","10","5","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","North East (England)","Northumberland, and Tyne and Wear","25","25","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","North East (England)","Tees Valley and Durham","10","10","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","North West (England)","Cheshire","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","North West (England)","Cumbria","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","North West (England)","Greater Manchester","30","30","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","North West (England)","Lancashire","25","25","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","North West (England)","Merseyside","30","30","22140","21250"
"In post","2022","16-19","Declared non-disabled","Northern Ireland","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","Scotland","Eastern Scotland","25","25","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","Scotland","Highlands and Islands","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","Scotland","North Eastern Scotland","[c]","[c]","[c]","[c]"
