"Status","Year","Disability","Region_ITL1","Region_ITL3","Responsibility_level_ungrouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Declared disabled","East Midlands (England)","Derby","AA","5","5","[c]","[c]"
"In post","2022","Declared disabled","East Midlands (England)","Derby","AO","80","70","21190","21260"
"In post","2022","Declared disabled","East Midlands (England)","Derby","EO","45","40","27840","27570"
"In post","2022","Declared disabled","East Midlands (England)","Derby","G6","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","East Midlands (England)","Derby","G7","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","East Midlands (England)","Derby","HEO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","East Midlands (England)","Derby","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","East Midlands (England)","Derby","SEO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","East Midlands (England)","Derby","Unknown","35","35","30440","28200"
"In post","2022","Declared disabled","East Midlands (England)","East Derbyshire","AA","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","East Midlands (England)","East Derbyshire","AO","20","15","[c]","[c]"
"In post","2022","Declared disabled","East Midlands (England)","East Derbyshire","EO","40","35","27210","27570"
"In post","2022","Declared disabled","East Midlands (England)","East Derbyshire","G6","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","East Midlands (England)","East Derbyshire","G7","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","East Midlands (England)","East Derbyshire","HEO","5","5","[c]","[c]"
"In post","2022","Declared disabled","East Midlands (England)","East Derbyshire","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","East Midlands (England)","East Derbyshire","SEO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","East Midlands (England)","East Derbyshire","Unknown","20","20","[c]","[c]"
"In post","2022","Declared disabled","East Midlands (England)","Leicester","AA","15","15","[c]","[c]"
"In post","2022","Declared disabled","East Midlands (England)","Leicester","AO","145","125","21380","21260"
"In post","2022","Declared disabled","East Midlands (England)","Leicester","EO","95","90","27410","27570"
"In post","2022","Declared disabled","East Midlands (England)","Leicester","G6","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","East Midlands (England)","Leicester","G7","10","10","[c]","[c]"
"In post","2022","Declared disabled","East Midlands (England)","Leicester","HEO","30","25","[c]","[c]"
"In post","2022","Declared disabled","East Midlands (England)","Leicester","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","East Midlands (England)","Leicester","SEO","5","5","[c]","[c]"
"In post","2022","Declared disabled","East Midlands (England)","Leicester","Unknown","40","40","29820","28200"
"In post","2022","Declared disabled","East Midlands (England)","Leicestershire CC and Rutland","AA","15","15","[c]","[c]"
"In post","2022","Declared disabled","East Midlands (England)","Leicestershire CC and Rutland","AO","80","75","23610","21830"
"In post","2022","Declared disabled","East Midlands (England)","Leicestershire CC and Rutland","EO","75","70","27480","27570"
"In post","2022","Declared disabled","East Midlands (England)","Leicestershire CC and Rutland","G6","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","East Midlands (England)","Leicestershire CC and Rutland","G7","5","5","[c]","[c]"
