"Status","Year","Age","Profession_of_post","Region_ITL2","Responsibility_level_grouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","16-19","Commercial","Eastern Scotland","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Commercial","Gloucestershire, Wiltshire and Bath/Bristol area","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Commercial","Gloucestershire, Wiltshire and Bath/Bristol area","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Commercial","Inner London - West","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Commercial","Merseyside","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Commercial","West Midlands","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Communications","East Wales","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Communications","Inner London - East","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Communications","Inner London - West","AA/AO","5","5","[c]","[c]"
"In post","2022","16-19","Communications","Inner London - West","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Communications","Inner London - West","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Communications","Outer London - South","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Counter Fraud","Cornwall and Isles of Scilly","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Counter Fraud","Greater Manchester","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Counter Fraud","Kent","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Counter Fraud","Outer London - East and North East","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Counter Fraud","Southern Scotland","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Digital, Data and Technology","Berkshire, Buckinghamshire and Oxfordshire","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Digital, Data and Technology","Berkshire, Buckinghamshire and Oxfordshire","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Digital, Data and Technology","Devon","AA/AO","10","10","18240","19380"
"In post","2022","16-19","Digital, Data and Technology","Devon","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Digital, Data and Technology","Eastern Scotland","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Digital, Data and Technology","Gloucestershire, Wiltshire and Bath/Bristol area","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Digital, Data and Technology","Hampshire and Isle of Wight","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Digital, Data and Technology","Hampshire and Isle of Wight","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Digital, Data and Technology","Inner London - East","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Digital, Data and Technology","Inner London - West","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Digital, Data and Technology","Northumberland, and Tyne and Wear","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Digital, Data and Technology","West Midlands","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Digital, Data and Technology","West Wales and The Valleys","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Digital, Data and Technology","West Yorkshire","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Economics","East Wales","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Economics","East Wales","EO","5","5","[c]","[c]"
"In post","2022","16-19","Economics","Inner London - East","AA/AO","[c]","[c]","[c]","[c]"
