"Status","Year","Ethnicity","Organisation","Parent_department","Responsibility_level_ungrouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Asian","Accountant in Bankruptcy","Scottish Government","AA","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Accountant in Bankruptcy","Scottish Government","EO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Accountant in Bankruptcy","Scottish Government","G6","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Accountant in Bankruptcy","Scottish Government","G7","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Accountant in Bankruptcy","Scottish Government","HEO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Accountant in Bankruptcy","Scottish Government","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Accountant in Bankruptcy","Scottish Government","SEO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","AO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","EO","15","15","[c]","[c]"
"In post","2022","Asian","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","G6","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","G7","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","HEO","25","25","[c]","[c]"
"In post","2022","Asian","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","SEO","10","10","[c]","[c]"
"In post","2022","Asian","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","AA","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","AO","30","30","[c]","[c]"
