"Status","Year","Profession_of_post","Region_ITL3","Region_london","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Commercial","Aberdeen City and Aberdeenshire","Outside London","Heterosexual / straight","5","5","[c]","[c]"
"In post","2022","Commercial","Aberdeen City and Aberdeenshire","Outside London","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Aberdeen City and Aberdeenshire","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Angus and Dundee City","Outside London","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Angus and Dundee City","Outside London","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Antrim and Newtownabbey","Outside London","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Antrim and Newtownabbey","Outside London","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Barking & Dagenham and Havering","London","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Barking & Dagenham and Havering","London","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Barnet","London","Heterosexual / straight","10","10","[c]","[c]"
"In post","2022","Commercial","Barnet","London","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Barnet","London","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Barnet","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Barnsley, Doncaster and Rotherham","Outside London","Heterosexual / straight","10","10","[c]","[c]"
"In post","2022","Commercial","Barnsley, Doncaster and Rotherham","Outside London","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Barnsley, Doncaster and Rotherham","Outside London","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Bath and North East Somerset, North Somerset and South Gloucestershire","Outside London","Heterosexual / straight","925","890","39840","37400"
"In post","2022","Commercial","Bath and North East Somerset, North Somerset and South Gloucestershire","Outside London","LGBO","40","40","35060","32710"
"In post","2022","Commercial","Bath and North East Somerset, North Somerset and South Gloucestershire","Outside London","Undeclared","130","125","42580","39510"
"In post","2022","Commercial","Bath and North East Somerset, North Somerset and South Gloucestershire","Outside London","Unknown","95","95","37210","34260"
"In post","2022","Commercial","Bedford","Outside London","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Bedford","Outside London","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Belfast","Outside London","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Belfast","Outside London","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Berkshire","Outside London","Heterosexual / straight","10","10","[c]","[c]"
"In post","2022","Commercial","Berkshire","Outside London","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Berkshire","Outside London","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Berkshire","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Bexley and Greenwich","London","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Bexley and Greenwich","London","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Bexley and Greenwich","London","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Birmingham","Outside London","Heterosexual / straight","55","55","36390","33060"
"In post","2022","Commercial","Birmingham","Outside London","LGBO","5","5","[c]","[c]"
"In post","2022","Commercial","Birmingham","Outside London","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Birmingham","Outside London","Unknown","15","15","[c]","[c]"
"In post","2022","Commercial","Blackburn with Darwen","Outside London","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Blackburn with Darwen","Outside London","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Blackpool","Outside London","Heterosexual / straight","30","25","[c]","[c]"
"In post","2022","Commercial","Blackpool","Outside London","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Blackpool","Outside London","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Blackpool","Outside London","Unknown","5","5","[c]","[c]"
"In post","2022","Commercial","Bournemouth, Christchurch and Poole","Outside London","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Bournemouth, Christchurch and Poole","Outside London","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Bournemouth, Christchurch and Poole","Outside London","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Bradford","Outside London","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Bradford","Outside London","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Bradford","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Breckland and South Norfolk","Outside London","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Breckland and South Norfolk","Outside London","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Brent","London","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Brent","London","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Brent","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Bridgend and Neath Port Talbot","Outside London","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Bridgend and Neath Port Talbot","Outside London","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Bridgend and Neath Port Talbot","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Brighton and Hove","Outside London","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Brighton and Hove","Outside London","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Bristol, City of","Outside London","Heterosexual / straight","50","50","38600","36620"
"In post","2022","Commercial","Bristol, City of","Outside London","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Bristol, City of","Outside London","Undeclared","10","10","[c]","[c]"
"In post","2022","Commercial","Bristol, City of","Outside London","Unknown","20","15","[c]","[c]"
"In post","2022","Commercial","Buckinghamshire","Outside London","Heterosexual / straight","45","45","36970","36800"
"In post","2022","Commercial","Buckinghamshire","Outside London","LGBO","5","5","[c]","[c]"
"In post","2022","Commercial","Buckinghamshire","Outside London","Undeclared","5","5","[c]","[c]"
"In post","2022","Commercial","Buckinghamshire","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Calderdale and Kirklees","Outside London","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Calderdale and Kirklees","Outside London","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Cambridgeshire CC","Outside London","Heterosexual / straight","35","35","33540","33150"
"In post","2022","Commercial","Cambridgeshire CC","Outside London","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Cambridgeshire CC","Outside London","Undeclared","10","10","[c]","[c]"
"In post","2022","Commercial","Cambridgeshire CC","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Camden and City of London","London","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Camden and City of London","London","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Camden and City of London","London","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Camden and City of London","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Cardiff and Vale of Glamorgan","Outside London","Heterosexual / straight","35","35","41760","36150"
"In post","2022","Commercial","Cardiff and Vale of Glamorgan","Outside London","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Cardiff and Vale of Glamorgan","Outside London","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Cardiff and Vale of Glamorgan","Outside London","Unknown","5","5","[c]","[c]"
"In post","2022","Commercial","Central Bedfordshire","Outside London","Heterosexual / straight","5","5","[c]","[c]"
"In post","2022","Commercial","Central Bedfordshire","Outside London","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Central Hampshire","Outside London","Heterosexual / straight","90","85","35170","34800"
"In post","2022","Commercial","Central Hampshire","Outside London","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Central Hampshire","Outside London","Undeclared","15","15","[c]","[c]"
"In post","2022","Commercial","Central Hampshire","Outside London","Unknown","35","35","31560","29230"
"In post","2022","Commercial","Central Valleys","Outside London","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Central Valleys","Outside London","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Central Valleys","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Cheshire East","Outside London","Heterosexual / straight","5","5","[c]","[c]"
"In post","2022","Commercial","Cheshire East","Outside London","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Cheshire West and Chester","Outside London","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Cheshire West and Chester","Outside London","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Cheshire West and Chester","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Chorley and West Lancashire","Outside London","Heterosexual / straight","5","5","[c]","[c]"
"In post","2022","Commercial","Chorley and West Lancashire","Outside London","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","City of Edinburgh","Outside London","Heterosexual / straight","35","35","41790","37710"
"In post","2022","Commercial","City of Edinburgh","Outside London","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","City of Edinburgh","Outside London","Unknown","25","25","[c]","[c]"
"In post","2022","Commercial","Clackmannanshire and Fife","Outside London","Heterosexual / straight","5","5","[c]","[c]"
"In post","2022","Commercial","Clackmannanshire and Fife","Outside London","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Clackmannanshire and Fife","Outside London","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Clackmannanshire and Fife","Outside London","Unknown","5","5","[c]","[c]"
"In post","2022","Commercial","Conwy and Denbighshire","Outside London","Heterosexual / straight","[c]","[c]","[c]","[c]"
