"Status","Year","Age","Function_of_post","Parent_department","Region_london","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","16-19","Analysis","Department for Business, Energy and Industrial Strategy","London","5","5","[c]","[c]"
"In post","2022","16-19","Analysis","Department for Business, Energy and Industrial Strategy","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Analysis","Department for Environment, Food and Rural Affairs","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Analysis","Department for International Trade","London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Analysis","Department for Transport","London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Analysis","Department for Work and Pensions","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Analysis","Department for Work and Pensions","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Analysis","HM Revenue and Customs","London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Analysis","HM Revenue and Customs","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Analysis","HM Treasury","London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Analysis","Ministry of Defence","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Analysis","Office of Gas and Electricity Markets","London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Analysis","UK Statistics Authority","Outside London","10","10","[c]","[c]"
"In post","2022","16-19","Commercial","Attorney General's Departments","London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Commercial","Department for Environment, Food and Rural Affairs","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Commercial","Department for Transport","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Commercial","Ministry of Defence","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Commercial","Scottish Government","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Communications","Cabinet Office","London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Communications","Chancellor's other departments","London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Communications","Department for Education","London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Communications","Department for Environment, Food and Rural Affairs","London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Communications","Department of Health and Social Care","London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Communications","Foreign, Commonwealth and Development Office","London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Communications","HM Land Registry","London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Communications","HM Revenue and Customs","Outside London","10","10","23410","21250"
"In post","2022","16-19","Communications","Ministry of Justice","London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Communications","Northern Ireland Office","London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Communications","Office of Gas and Electricity Markets","London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Counter Fraud","Department for Work and Pensions","London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Counter Fraud","Department for Work and Pensions","Outside London","5","5","[c]","[c]"
"In post","2022","16-19","Counter Fraud","HM Revenue and Customs","London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Counter Fraud","HM Revenue and Customs","Outside London","10","10","23490","21250"
"In post","2022","16-19","Debt","Department for Work and Pensions","Outside London","5","5","[c]","[c]"
