"Status","Year","Function_of_post","Responsibility_level_grouped","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Analysis","AA/AO","Female","135","130","21850","21510"
"In post","2022","Analysis","AA/AO","Male","125","120","21730","21260"
"In post","2022","Analysis","EO","Female","450","420","26750","26350"
"In post","2022","Analysis","EO","Male","420","410","26930","26590"
"In post","2022","Analysis","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","G6/G7","Female","1230","1135","58480","55840"
"In post","2022","Analysis","G6/G7","Male","1580","1545","59370","57030"
"In post","2022","Analysis","G6/G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","SCS level","Female","80","75","85190","79590"
"In post","2022","Analysis","SCS level","Male","110","105","92290","81460"
"In post","2022","Analysis","SEO/HEO","Female","2075","1975","36180","36580"
"In post","2022","Analysis","SEO/HEO","Male","2240","2205","36350","36640"
"In post","2022","Analysis","SEO/HEO","Unknown","5","5","[c]","[c]"
"In post","2022","Commercial","AA/AO","Female","145","130","22640","21840"
"In post","2022","Commercial","AA/AO","Male","145","140","22520","21660"
"In post","2022","Commercial","EO","Female","465","440","26540","26350"
"In post","2022","Commercial","EO","Male","295","295","26850","26660"
"In post","2022","Commercial","G6/G7","Female","1070","1040","60400","57710"
"In post","2022","Commercial","G6/G7","Male","1175","1170","62580","61710"
"In post","2022","Commercial","SCS level","Female","125","120","102950","96340"
"In post","2022","Commercial","SCS level","Male","210","205","115430","113870"
"In post","2022","Commercial","SEO/HEO","Female","1525","1460","36910","36820"
"In post","2022","Commercial","SEO/HEO","Male","1290","1275","37800","38320"
"In post","2022","Commercial","Unknown","Female","75","75","37500","37280"
"In post","2022","Commercial","Unknown","Male","90","90","42140","39860"
"In post","2022","Communications","AA/AO","Female","275","235","21810","21250"
"In post","2022","Communications","AA/AO","Male","220","210","21830","21250"
"In post","2022","Communications","EO","Female","1580","1500","26970","26820"
"In post","2022","Communications","EO","Male","1655","1635","26910","26820"
"In post","2022","Communications","G6/G7","Female","740","705","58560","56370"
"In post","2022","Communications","G6/G7","Male","465","460","58760","56360"
"In post","2022","Communications","SCS level","Female","70","65","88820","83110"
"In post","2022","Communications","SCS level","Male","65","65","95760","87750"
"In post","2022","Communications","SEO/HEO","Female","1900","1825","36710","34710"
"In post","2022","Communications","SEO/HEO","Male","1560","1545","36390","33370"
"In post","2022","Communications","Unknown","Female","10","10","[c]","[c]"
"In post","2022","Communications","Unknown","Male","5","5","[c]","[c]"
"In post","2022","Counter Fraud","AA/AO","Female","1745","1425","22380","21260"
"In post","2022","Counter Fraud","AA/AO","Male","1015","965","22240","21260"
"In post","2022","Counter Fraud","EO","Female","4030","3595","28130","27570"
"In post","2022","Counter Fraud","EO","Male","3165","3010","28170","27570"
"In post","2022","Counter Fraud","G6/G7","Female","480","455","58590","55210"
"In post","2022","Counter Fraud","G6/G7","Male","835","805","60080","57990"
"In post","2022","Counter Fraud","SCS level","Female","25","20","[c]","[c]"
"In post","2022","Counter Fraud","SCS level","Male","25","25","[c]","[c]"
"In post","2022","Counter Fraud","SEO/HEO","Female","2710","2540","36020","33680"
"In post","2022","Counter Fraud","SEO/HEO","Male","2995","2905","36610","35310"
"In post","2022","Debt","AA/AO","Female","3205","2670","21680","21260"
"In post","2022","Debt","AA/AO","Male","1980","1890","21580","21250"
"In post","2022","Debt","EO","Female","720","630","27830","27570"
"In post","2022","Debt","EO","Male","495","470","27790","27570"
"In post","2022","Debt","G6/G7","Female","25","25","[c]","[c]"
"In post","2022","Debt","G6/G7","Male","25","25","[c]","[c]"
"In post","2022","Debt","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2022","Debt","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2022","Debt","SEO/HEO","Female","225","205","34750","33370"
"In post","2022","Debt","SEO/HEO","Male","140","130","36110","33370"
"In post","2022","Digital, Data & Technology","AA/AO","Female","450","425","21810","21380"
"In post","2022","Digital, Data & Technology","AA/AO","Male","495","490","21950","21380"
"In post","2022","Digital, Data & Technology","EO","Female","1410","1305","27390","26900"
"In post","2022","Digital, Data & Technology","EO","Male","2385","2325","27760","27570"
