"Status","Year","Ethnicity","Organisation","Parent_department","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Asian","Accountant in Bankruptcy","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","55","55","34320","30950"
"In post","2022","Asian","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","80","80","28280","27960"
"In post","2022","Asian","Attorney General's Office","Attorney General's Departments","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Cabinet Office (excl. agencies)","Cabinet Office","515","505","45500","40600"
"In post","2022","Asian","Centre for Environment, Fisheries and Aquaculture Science","Department for Environment, Food and Rural Affairs","5","5","[c]","[c]"
"In post","2022","Asian","Charity Commission","Charity Commission","10","10","[c]","[c]"
"In post","2022","Asian","Companies House","Department for Business, Energy and Industrial Strategy","30","30","30330","29060"
"In post","2022","Asian","Competition and Markets Authority","Competition and Markets Authority","110","110","49170","42290"
"In post","2022","Asian","Criminal Injuries Compensation Authority","Ministry of Justice","5","5","[c]","[c]"
"In post","2022","Asian","Crown Commercial Service","Cabinet Office","35","35","47240","39360"
"In post","2022","Asian","Crown Office and Procurator Fiscal Service","Scottish Government","60","55","38030","35540"
"In post","2022","Asian","Crown Prosecution Service","Attorney General's Departments","705","645","40230","36240"
"In post","2022","Asian","Defence Electronics and Components Agency","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Defence Equipment and Support","Ministry of Defence","345","335","33960","31950"
"In post","2022","Asian","Defence Science and Technology Laboratory","Ministry of Defence","65","60","42790","38510"
"In post","2022","Asian","Department for Business, Energy and Industrial Strategy (excl. agencies)","Department for Business, Energy and Industrial Strategy","620","615","43870","40050"
"In post","2022","Asian","Department for Digital, Culture, Media and Sport","Department for Digital, Culture, Media and Sport","160","160","44080","38060"
"In post","2022","Asian","Department for Education (excl. agencies)","Department for Education","575","560","40560","36500"
"In post","2022","Asian","Department for Environment, Food and Rural Affairs (excl. agencies)","Department for Environment, Food and Rural Affairs","335","325","39390","35860"
"In post","2022","Asian","Department for International Trade","Department for International Trade","275","270","43990","38540"
"In post","2022","Asian","Department for Levelling Up, Housing and Communities (excl. agencies)","Department for Levelling Up, Housing and Communities","295","290","41510","36340"
"In post","2022","Asian","Department for Transport (excl. agencies)","Department for Transport","340","335","44720","42470"
"In post","2022","Asian","Department for Work and Pensions (excl. agencies)","Department for Work and Pensions","8145","7380","28060","27570"
"In post","2022","Asian","Department of Health and Social Care (excl. agencies)","Department of Health and Social Care","275","265","42970","40650"
"In post","2022","Asian","Disclosure Scotland","Scottish Government","5","5","[c]","[c]"
"In post","2022","Asian","Driver and Vehicle Licensing Agency","Department for Transport","90","85","27450","21840"
"In post","2022","Asian","Driver and Vehicle Standards Agency","Department for Transport","150","140","28780","29130"
"In post","2022","Asian","Education and Skills Funding Agency","Department for Education","235","230","39120","36740"
"In post","2022","Asian","Education Scotland","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Estyn","Estyn","[c]","[c]","[c]","[c]"
"In post","2022","Asian","FCDO Services","Foreign, Commonwealth and Development Office","60","60","33660","29350"
"In post","2022","Asian","Food Standards Agency","Food Standards Agency","70","70","34940","32350"
"In post","2022","Asian","Food Standards Scotland","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Foreign, Commonwealth and Development Office (excl. agencies)","Foreign, Commonwealth and Development Office","425","410","44240","38230"
"In post","2022","Asian","Forestry and Land Scotland","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Government Actuary's Department","Chancellor's other departments","35","30","46430","36590"
"In post","2022","Asian","Government Internal Audit Agency","HM Treasury","65","65","47380","46280"
"In post","2022","Asian","Government Legal Department","Attorney General's Departments","305","285","48890","51010"
"In post","2022","Asian","Government Property Agency","Cabinet Office","30","30","[c]","[c]"
"In post","2022","Asian","Health and Safety Executive","Department for Work and Pensions","75","75","49150","43800"
"In post","2022","Asian","HM Courts and Tribunals Service","Ministry of Justice","1560","1410","27050","23720"
"In post","2022","Asian","HM Crown Prosecution Service Inspectorate","Attorney General's Departments","[c]","[c]","[c]","[c]"
"In post","2022","Asian","HM Land Registry","HM Land Registry","225","210","30920","27130"
"In post","2022","Asian","HM Prison and Probation Service","Ministry of Justice","1850","1730","30980","28960"
"In post","2022","Asian","HM Revenue and Customs (excl. agencies)","HM Revenue and Customs","5635","5340","32770","31020"
"In post","2022","Asian","HM Treasury (excl. agencies)","HM Treasury","220","215","45120","40050"
"In post","2022","Asian","Home Office","Home Office","4490","4180","31920","28910"
"In post","2022","Asian","Institute for Apprenticeships and Technical Education","Department for Education","25","25","[c]","[c]"
"In post","2022","Asian","Intellectual Property Office","Department for Business, Energy and Industrial Strategy","40","40","34830","34450"
"In post","2022","Asian","Legal Aid Agency","Ministry of Justice","75","70","28210","22900"
"In post","2022","Asian","Maritime and Coastguard Agency","Department for Transport","55","55","49310","57040"
"In post","2022","Asian","Medicines and Healthcare Products Regulatory Agency","Department of Health and Social Care","260","255","43190","40450"
"In post","2022","Asian","Met Office","Department for Business, Energy and Industrial Strategy","30","30","31890","30930"
"In post","2022","Asian","Ministry of Defence (excl. agencies)","Ministry of Defence","995","960","34900","32670"
"In post","2022","Asian","Ministry of Justice (excl. agencies)","Ministry of Justice","550","535","41330","37860"
"In post","2022","Asian","National Crime Agency","National Crime Agency","280","275","37800","36740"
"In post","2022","Asian","National Infrastructure Commission","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2022","Asian","National Records of Scotland","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2022","Asian","National Savings and Investments","Chancellor's other departments","20","20","[c]","[c]"
"In post","2022","Asian","Northern Ireland Office","Northern Ireland Office","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Office for Budget Responsibility","HM Treasury","5","5","[c]","[c]"
"In post","2022","Asian","Office for Standards in Education, Children's Services and Skills","Office for Standards in Education, Children's Services and Skills","100","100","40190","35010"
"In post","2022","Asian","Office of Gas and Electricity Markets","Office of Gas and Electricity Markets","145","140","41570","34910"
"In post","2022","Asian","Office of Qualifications and Examinations Regulation","Office of Qualifications and Examinations Regulation","30","25","[c]","[c]"
"In post","2022","Asian","Office of Rail and Road","Office of Rail and Road","30","30","[c]","[c]"
