"Status","Year","Age","Responsibility_level_grouped","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","16-19","AA/AO","Heterosexual / straight","460","445","21410","21260"
"In post","2022","16-19","AA/AO","LGBO","40","40","22570","21470"
"In post","2022","16-19","AA/AO","Undeclared","30","25","[c]","[c]"
"In post","2022","16-19","AA/AO","Unknown","360","345","21430","21250"
"In post","2022","16-19","EO","Heterosexual / straight","180","180","23870","24880"
"In post","2022","16-19","EO","LGBO","5","5","[c]","[c]"
"In post","2022","16-19","EO","Undeclared","10","10","[c]","[c]"
"In post","2022","16-19","EO","Unknown","105","100","22520","24100"
"In post","2022","16-19","SEO/HEO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","SEO/HEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","SEO/HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Unknown","Heterosexual / straight","25","25","[c]","[c]"
"In post","2022","16-19","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Unknown","Unknown","45","45","17940","16720"
"In post","2022","20-29","AA/AO","Heterosexual / straight","15395","14990","22970","21550"
"In post","2022","20-29","AA/AO","LGBO","2020","1980","22750","21260"
"In post","2022","20-29","AA/AO","Undeclared","1060","1025","22980","21300"
"In post","2022","20-29","AA/AO","Unknown","8090","7875","22680","21300"
"In post","2022","20-29","EO","Heterosexual / straight","14955","14790","27410","27540"
"In post","2022","20-29","EO","LGBO","1715","1700","27320","27570"
"In post","2022","20-29","EO","Undeclared","1180","1165","27420","27270"
"In post","2022","20-29","EO","Unknown","5300","5250","27200","26820"
"In post","2022","20-29","G6/G7","Heterosexual / straight","3100","3085","54700","53420"
"In post","2022","20-29","G6/G7","LGBO","530","525","54900","53480"
"In post","2022","20-29","G6/G7","Undeclared","425","425","55060","53380"
"In post","2022","20-29","G6/G7","Unknown","990","985","55700","54700"
"In post","2022","20-29","SCS level","Heterosexual / straight","5","5","[c]","[c]"
"In post","2022","20-29","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","20-29","SCS level","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","20-29","SCS level","Unknown","10","10","[c]","[c]"
