"Status","Year","Parent_department","Region_ITL1","Responsibility_level_ungrouped","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Attorney General's Departments","East Midlands (England)","AA","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","East Midlands (England)","AA","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","East Midlands (England)","AO","Heterosexual / straight","80","70","21920","22200"
"In post","2022","Attorney General's Departments","East Midlands (England)","AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","East Midlands (England)","AO","Undeclared","5","5","[c]","[c]"
"In post","2022","Attorney General's Departments","East Midlands (England)","AO","Unknown","15","15","[c]","[c]"
"In post","2022","Attorney General's Departments","East Midlands (England)","EO","Heterosexual / straight","70","65","26630","25920"
"In post","2022","Attorney General's Departments","East Midlands (England)","EO","LGBO","5","5","[c]","[c]"
"In post","2022","Attorney General's Departments","East Midlands (England)","EO","Undeclared","5","5","[c]","[c]"
"In post","2022","Attorney General's Departments","East Midlands (England)","EO","Unknown","15","15","[c]","[c]"
"In post","2022","Attorney General's Departments","East Midlands (England)","G6","Heterosexual / straight","10","10","[c]","[c]"
"In post","2022","Attorney General's Departments","East Midlands (England)","G6","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","East Midlands (England)","G6","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","East Midlands (England)","G7","Heterosexual / straight","155","140","52360","51010"
"In post","2022","Attorney General's Departments","East Midlands (England)","G7","LGBO","5","5","[c]","[c]"
"In post","2022","Attorney General's Departments","East Midlands (England)","G7","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","East Midlands (England)","G7","Unknown","45","40","54410","55610"
"In post","2022","Attorney General's Departments","East Midlands (England)","HEO","Heterosexual / straight","45","40","33830","33310"
"In post","2022","Attorney General's Departments","East Midlands (England)","HEO","LGBO","[c]","[c]","[c]","[c]"
