"Status","Year","Function_of_post","Region_ITL1","Region_ITL2","Responsibility_level_ungrouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Analysis","East Midlands (England)","Derbyshire and Nottinghamshire","EO","10","10","26510","26370"
"In post","2022","Analysis","East Midlands (England)","Derbyshire and Nottinghamshire","G6","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","East Midlands (England)","Derbyshire and Nottinghamshire","G7","10","10","[c]","[c]"
"In post","2022","Analysis","East Midlands (England)","Derbyshire and Nottinghamshire","HEO","20","20","32460","32010"
"In post","2022","Analysis","East Midlands (England)","Derbyshire and Nottinghamshire","SEO","15","15","39990","39660"
"In post","2022","Analysis","East Midlands (England)","Leicestershire, Rutland and Northamptonshire","EO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","East Midlands (England)","Leicestershire, Rutland and Northamptonshire","G7","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","East Midlands (England)","Leicestershire, Rutland and Northamptonshire","HEO","5","5","[c]","[c]"
"In post","2022","Analysis","East Midlands (England)","Lincolnshire","AO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","East Midlands (England)","Lincolnshire","EO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","East Midlands (England)","Lincolnshire","G7","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","East Midlands (England)","Lincolnshire","HEO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","East Midlands (England)","Lincolnshire","SEO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","East of England","Bedfordshire and Hertfordshire","G7","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","East of England","Bedfordshire and Hertfordshire","HEO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","East of England","Bedfordshire and Hertfordshire","SEO","5","5","[c]","[c]"
"In post","2022","Analysis","East of England","East Anglia","AA","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","East of England","East Anglia","AO","20","20","21110","21510"
"In post","2022","Analysis","East of England","East Anglia","EO","65","60","25370","25010"
"In post","2022","Analysis","East of England","East Anglia","G6","15","15","60980","59120"
"In post","2022","Analysis","East of England","East Anglia","G7","50","50","49330","48080"
"In post","2022","Analysis","East of England","East Anglia","HEO","95","90","29910","29750"
"In post","2022","Analysis","East of England","East Anglia","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","East of England","East Anglia","SEO","90","90","37190","36580"
"In post","2022","Analysis","East of England","Essex","EO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","East of England","Essex","G6","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","East of England","Essex","G7","5","5","[c]","[c]"
"In post","2022","Analysis","East of England","Essex","HEO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","East of England","Essex","SCS level","[c]","[c]","[c]","[c]"
