"Status","Year","Ethnicity","Function_of_post","Region_ITL1","Responsibility_level_ungrouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Asian","Analysis","East Midlands (England)","AO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","East Midlands (England)","EO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","East Midlands (England)","G6","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","East Midlands (England)","G7","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","East Midlands (England)","HEO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","East Midlands (England)","SEO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","East of England","AA","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","East of England","AO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","East of England","EO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","East of England","G6","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","East of England","G7","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","East of England","HEO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","East of England","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","East of England","SEO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","London","AO","15","10","[c]","[c]"
"In post","2022","Asian","Analysis","London","EO","55","50","28820","28230"
"In post","2022","Asian","Analysis","London","G6","45","40","71390","68050"
"In post","2022","Asian","Analysis","London","G7","125","120","56970","56150"
"In post","2022","Asian","Analysis","London","HEO","135","135","35950","36470"
"In post","2022","Asian","Analysis","London","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","London","SEO","70","70","43610","43090"
"In post","2022","Asian","Analysis","North East (England)","AO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","North East (England)","EO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","North East (England)","G6","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","North East (England)","G7","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","North East (England)","HEO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","North East (England)","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","North East (England)","SEO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","North West (England)","AO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","North West (England)","EO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","North West (England)","G6","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","North West (England)","G7","5","5","[c]","[c]"
"In post","2022","Asian","Analysis","North West (England)","HEO","20","20","[c]","[c]"
"In post","2022","Asian","Analysis","North West (England)","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","North West (England)","SEO","10","10","[c]","[c]"
"In post","2022","Asian","Analysis","Northern Ireland","HEO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","Overseas","G6","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","Overseas","G7","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","Overseas","HEO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","Scotland","AO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","Scotland","EO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","Scotland","G6","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","Scotland","G7","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","Scotland","HEO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","Scotland","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","Scotland","SEO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","South East (England)","AA","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","South East (England)","AO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","South East (England)","EO","5","5","[c]","[c]"
"In post","2022","Asian","Analysis","South East (England)","G6","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","South East (England)","G7","5","5","[c]","[c]"
"In post","2022","Asian","Analysis","South East (England)","HEO","10","10","[c]","[c]"
"In post","2022","Asian","Analysis","South East (England)","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","South East (England)","SEO","10","10","[c]","[c]"
"In post","2022","Asian","Analysis","South West (England)","AA","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","South West (England)","AO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","South West (England)","EO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","South West (England)","G6","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","South West (England)","G7","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","South West (England)","HEO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","South West (England)","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","South West (England)","SEO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","Unknown","AO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","Unknown","EO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","Unknown","G6","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","Unknown","G7","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","Unknown","HEO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","Wales","AA","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","Wales","AO","5","5","[c]","[c]"
"In post","2022","Asian","Analysis","Wales","EO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","Wales","G6","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","Wales","G7","5","5","[c]","[c]"
"In post","2022","Asian","Analysis","Wales","HEO","15","15","[c]","[c]"
"In post","2022","Asian","Analysis","Wales","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","Wales","SEO","15","15","[c]","[c]"
"In post","2022","Asian","Analysis","West Midlands (England)","AO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","West Midlands (England)","EO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","West Midlands (England)","G6","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","West Midlands (England)","G7","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","West Midlands (England)","HEO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","West Midlands (England)","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","West Midlands (England)","SEO","5","5","[c]","[c]"
"In post","2022","Asian","Analysis","Yorkshire and The Humber","AO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","Yorkshire and The Humber","EO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","Yorkshire and The Humber","G6","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","Yorkshire and The Humber","G7","[c]","[c]","[c]","[c]"
