"Status","Year","Disability","Profession_of_post","Region_ITL2","Region_london","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Declared disabled","Commercial","Bedfordshire and Hertfordshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Commercial","Berkshire, Buckinghamshire and Oxfordshire","Outside London","15","15","[c]","[c]"
"In post","2022","Declared disabled","Commercial","Cheshire","Outside London","5","5","[c]","[c]"
"In post","2022","Declared disabled","Commercial","Cornwall and Isles of Scilly","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Commercial","Cumbria","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Commercial","Derbyshire and Nottinghamshire","Outside London","10","10","[c]","[c]"
"In post","2022","Declared disabled","Commercial","Devon","Outside London","15","15","[c]","[c]"
"In post","2022","Declared disabled","Commercial","Dorset and Somerset","Outside London","5","5","[c]","[c]"
"In post","2022","Declared disabled","Commercial","East Anglia","Outside London","20","20","[c]","[c]"
"In post","2022","Declared disabled","Commercial","East Wales","Outside London","15","15","[c]","[c]"
"In post","2022","Declared disabled","Commercial","East Yorkshire and Northern Lincolnshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Commercial","Eastern Scotland","Outside London","10","10","[c]","[c]"
"In post","2022","Declared disabled","Commercial","Essex","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Commercial","Gloucestershire, Wiltshire and Bath/Bristol area","Outside London","140","135","39470","38110"
"In post","2022","Declared disabled","Commercial","Greater Manchester","Outside London","30","25","[c]","[c]"
"In post","2022","Declared disabled","Commercial","Hampshire and Isle of Wight","Outside London","15","15","[c]","[c]"
"In post","2022","Declared disabled","Commercial","Herefordshire, Worcestershire and Warwickshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Commercial","Highlands and Islands","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Commercial","Inner London - East","London","10","10","[c]","[c]"
"In post","2022","Declared disabled","Commercial","Inner London - West","London","65","65","42980","40650"
"In post","2022","Declared disabled","Commercial","Kent","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Commercial","Lancashire","Outside London","10","10","[c]","[c]"
"In post","2022","Declared disabled","Commercial","Leicestershire, Rutland and Northamptonshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Commercial","Lincolnshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Commercial","Merseyside","Outside London","25","25","[c]","[c]"
"In post","2022","Declared disabled","Commercial","North Eastern Scotland","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Commercial","North Yorkshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Commercial","Northern Ireland","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Commercial","Northumberland, and Tyne and Wear","Outside London","10","5","[c]","[c]"
"In post","2022","Declared disabled","Commercial","Outer London - East and North East","London","[c]","[c]","[c]","[c]"
