"Status","Year","Disability","Ethnicity","Parent_department","Responsibility_level_grouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Declared disabled","Black","Department for International Trade","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Black","Department for International Trade","EO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Black","Department for International Trade","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Black","Department for International Trade","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Black","Department for International Trade","SEO/HEO","5","5","[c]","[c]"
"In post","2022","Declared disabled","Black","Department for Levelling Up, Housing and Communities","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Black","Department for Levelling Up, Housing and Communities","EO","5","5","[c]","[c]"
"In post","2022","Declared disabled","Black","Department for Levelling Up, Housing and Communities","G6/G7","10","10","[c]","[c]"
"In post","2022","Declared disabled","Black","Department for Levelling Up, Housing and Communities","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Black","Department for Levelling Up, Housing and Communities","SEO/HEO","15","15","[c]","[c]"
"In post","2022","Declared disabled","Black","Department for Levelling Up, Housing and Communities","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Black","Department for Transport","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Black","Department for Transport","EO","5","5","[c]","[c]"
"In post","2022","Declared disabled","Black","Department for Transport","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Black","Department for Transport","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Black","Department for Transport","SEO/HEO","10","10","[c]","[c]"
"In post","2022","Declared disabled","Black","Department for Work and Pensions","AA/AO","135","115","22840","23190"
"In post","2022","Declared disabled","Black","Department for Work and Pensions","EO","435","405","29970","31060"
"In post","2022","Declared disabled","Black","Department for Work and Pensions","G6/G7","10","10","[c]","[c]"
"In post","2022","Declared disabled","Black","Department for Work and Pensions","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Black","Department for Work and Pensions","SEO/HEO","50","50","37680","37610"
"In post","2022","Declared disabled","Black","Department of Health and Social Care","AA/AO","5","5","[c]","[c]"
"In post","2022","Declared disabled","Black","Department of Health and Social Care","EO","5","5","[c]","[c]"
"In post","2022","Declared disabled","Black","Department of Health and Social Care","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Black","Department of Health and Social Care","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Black","Department of Health and Social Care","SEO/HEO","20","15","[c]","[c]"
"In post","2022","Declared disabled","Black","Estyn","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Black","Estyn","EO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Black","Estyn","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Black","Estyn","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Black","Estyn","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Black","Food Standards Agency","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Black","Food Standards Agency","EO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Black","Food Standards Agency","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Black","Food Standards Agency","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Black","Food Standards Agency","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Black","Foreign, Commonwealth and Development Office","AA/AO","10","10","[c]","[c]"
