"Status","Year","Disability","Parent_department","Region_ITL1","Responsibility_level_grouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Declared disabled","Attorney General's Departments","East Midlands (England)","AA/AO","20","20","[c]","[c]"
"In post","2022","Declared disabled","Attorney General's Departments","East Midlands (England)","EO","10","10","[c]","[c]"
"In post","2022","Declared disabled","Attorney General's Departments","East Midlands (England)","G6/G7","25","20","[c]","[c]"
"In post","2022","Declared disabled","Attorney General's Departments","East Midlands (England)","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Attorney General's Departments","East Midlands (England)","SEO/HEO","10","10","[c]","[c]"
"In post","2022","Declared disabled","Attorney General's Departments","East of England","AA/AO","15","15","[c]","[c]"
"In post","2022","Declared disabled","Attorney General's Departments","East of England","EO","15","10","[c]","[c]"
"In post","2022","Declared disabled","Attorney General's Departments","East of England","G6/G7","25","20","[c]","[c]"
"In post","2022","Declared disabled","Attorney General's Departments","East of England","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Attorney General's Departments","East of England","SEO/HEO","5","5","[c]","[c]"
"In post","2022","Declared disabled","Attorney General's Departments","London","AA/AO","50","45","23390","23770"
"In post","2022","Declared disabled","Attorney General's Departments","London","EO","80","75","29240","29290"
"In post","2022","Declared disabled","Attorney General's Departments","London","G6/G7","230","210","61490","62370"
"In post","2022","Declared disabled","Attorney General's Departments","London","SCS level","25","25","[c]","[c]"
"In post","2022","Declared disabled","Attorney General's Departments","London","SEO/HEO","55","55","36810","35290"
"In post","2022","Declared disabled","Attorney General's Departments","North East (England)","AA/AO","10","10","[c]","[c]"
"In post","2022","Declared disabled","Attorney General's Departments","North East (England)","EO","15","15","[c]","[c]"
"In post","2022","Declared disabled","Attorney General's Departments","North East (England)","G6/G7","15","15","[c]","[c]"
"In post","2022","Declared disabled","Attorney General's Departments","North East (England)","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Attorney General's Departments","North East (England)","SEO/HEO","5","5","[c]","[c]"
"In post","2022","Declared disabled","Attorney General's Departments","North West (England)","AA/AO","25","20","[c]","[c]"
