"Status","Year","Organisation","Responsibility_level_grouped","Responsibility_level_ungrouped","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Advisory, Conciliation and Arbitration Service","SCS level","SCS level","Heterosexual / straight","5","5","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","SCS level","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","SEO/HEO","HEO","Heterosexual / straight","315","290","33140","31970"
"In post","2022","Advisory, Conciliation and Arbitration Service","SEO/HEO","HEO","LGBO","20","20","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","SEO/HEO","HEO","Undeclared","60","60","34230","34500"
"In post","2022","Advisory, Conciliation and Arbitration Service","SEO/HEO","HEO","Unknown","35","35","32150","30950"
"In post","2022","Advisory, Conciliation and Arbitration Service","SEO/HEO","SEO","Heterosexual / straight","120","115","42850","43440"
"In post","2022","Advisory, Conciliation and Arbitration Service","SEO/HEO","SEO","LGBO","10","10","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","SEO/HEO","SEO","Undeclared","20","20","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","SEO/HEO","SEO","Unknown","10","10","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","AA/AO","AA","Heterosexual / straight","5","5","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","AA/AO","AA","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","AA/AO","AA","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","AA/AO","AO","Heterosexual / straight","605","560","22040","21300"
"In post","2022","Animal and Plant Health Agency","AA/AO","AO","LGBO","60","60","22250","21300"
"In post","2022","Animal and Plant Health Agency","AA/AO","AO","Undeclared","80","75","21810","21300"
"In post","2022","Animal and Plant Health Agency","AA/AO","AO","Unknown","110","105","22460","21300"
"In post","2022","Animal and Plant Health Agency","EO","EO","Heterosexual / straight","610","585","26380","25310"
"In post","2022","Animal and Plant Health Agency","EO","EO","LGBO","50","50","26180","25230"
"In post","2022","Animal and Plant Health Agency","EO","EO","Undeclared","80","70","26490","25650"
"In post","2022","Animal and Plant Health Agency","EO","EO","Unknown","85","75","26330","26520"
"In post","2022","Animal and Plant Health Agency","G6/G7","G6","Heterosexual / straight","40","40","62140","61770"
"In post","2022","Animal and Plant Health Agency","G6/G7","G6","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","G6/G7","G6","Undeclared","15","15","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","G6/G7","G6","Unknown","5","5","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","G6/G7","G7","Heterosexual / straight","125","120","51400","51180"
"In post","2022","Animal and Plant Health Agency","G6/G7","G7","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","G6/G7","G7","Undeclared","35","35","53020","53870"
"In post","2022","Animal and Plant Health Agency","G6/G7","G7","Unknown","10","10","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","SCS level","SCS level","Heterosexual / straight","5","5","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","SCS level","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","SCS level","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","SEO/HEO","HEO","Heterosexual / straight","350","340","31020","30400"
"In post","2022","Animal and Plant Health Agency","SEO/HEO","HEO","LGBO","30","30","31190","31870"
"In post","2022","Animal and Plant Health Agency","SEO/HEO","HEO","Undeclared","65","60","31340","31460"
"In post","2022","Animal and Plant Health Agency","SEO/HEO","HEO","Unknown","25","25","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","SEO/HEO","SEO","Heterosexual / straight","355","340","39160","37690"
"In post","2022","Animal and Plant Health Agency","SEO/HEO","SEO","LGBO","15","10","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","SEO/HEO","SEO","Undeclared","80","75","40050","37990"
"In post","2022","Animal and Plant Health Agency","SEO/HEO","SEO","Unknown","60","55","40480","37910"
"In post","2022","Attorney General's Office","EO","EO","Heterosexual / straight","5","5","[c]","[c]"
"In post","2022","Attorney General's Office","EO","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Office","EO","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Office","G6/G7","G6","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Office","G6/G7","G6","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Office","G6/G7","G6","Unknown","5","5","[c]","[c]"
"In post","2022","Attorney General's Office","G6/G7","G7","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Office","G6/G7","G7","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Office","G6/G7","G7","Unknown","10","10","[c]","[c]"
"In post","2022","Attorney General's Office","SCS level","SCS level","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Office","SCS level","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Office","SCS level","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Office","SEO/HEO","HEO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Office","SEO/HEO","HEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Office","SEO/HEO","HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Office","SEO/HEO","SEO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Office","SEO/HEO","SEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Office","SEO/HEO","SEO","Unknown","5","5","[c]","[c]"
"In post","2022","Cabinet Office (excl. agencies)","AA/AO","AA","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Cabinet Office (excl. agencies)","AA/AO","AA","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Cabinet Office (excl. agencies)","AA/AO","AA","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Cabinet Office (excl. agencies)","AA/AO","AO","Heterosexual / straight","300","275","21840","21050"
"In post","2022","Cabinet Office (excl. agencies)","AA/AO","AO","LGBO","30","25","[c]","[c]"
"In post","2022","Cabinet Office (excl. agencies)","AA/AO","AO","Undeclared","30","30","22150","21110"
"In post","2022","Cabinet Office (excl. agencies)","AA/AO","AO","Unknown","105","100","21770","21170"
"In post","2022","Cabinet Office (excl. agencies)","EO","EO","Heterosexual / straight","595","570","26650","27500"
"In post","2022","Cabinet Office (excl. agencies)","EO","EO","LGBO","70","70","26250","27080"
"In post","2022","Cabinet Office (excl. agencies)","EO","EO","Undeclared","55","55","27180","27500"
"In post","2022","Cabinet Office (excl. agencies)","EO","EO","Unknown","195","190","26760","27500"
"In post","2022","Cabinet Office (excl. agencies)","G6/G7","G6","Heterosexual / straight","515","510","66640","64670"
"In post","2022","Cabinet Office (excl. agencies)","G6/G7","G6","LGBO","45","45","65930","64500"
"In post","2022","Cabinet Office (excl. agencies)","G6/G7","G6","Undeclared","55","55","65880","64500"
"In post","2022","Cabinet Office (excl. agencies)","G6/G7","G6","Unknown","405","400","74360","70180"
"In post","2022","Cabinet Office (excl. agencies)","G6/G7","G7","Heterosexual / straight","1240","1210","54830","54700"
"In post","2022","Cabinet Office (excl. agencies)","G6/G7","G7","LGBO","160","160","54620","54700"
"In post","2022","Cabinet Office (excl. agencies)","G6/G7","G7","Undeclared","155","150","55420","54700"
"In post","2022","Cabinet Office (excl. agencies)","G6/G7","G7","Unknown","1075","1060","59000","56000"
"In post","2022","Cabinet Office (excl. agencies)","SCS level","SCS level","Heterosexual / straight","405","400","97210","87780"
"In post","2022","Cabinet Office (excl. agencies)","SCS level","SCS level","LGBO","20","20","[c]","[c]"
"In post","2022","Cabinet Office (excl. agencies)","SCS level","SCS level","Undeclared","45","40","93210","88300"
"In post","2022","Cabinet Office (excl. agencies)","SCS level","SCS level","Unknown","260","255","108240","101380"
"In post","2022","Cabinet Office (excl. agencies)","SEO/HEO","HEO","Heterosexual / straight","945","925","33890","34550"
"In post","2022","Cabinet Office (excl. agencies)","SEO/HEO","HEO","LGBO","120","120","33900","34550"
"In post","2022","Cabinet Office (excl. agencies)","SEO/HEO","HEO","Undeclared","105","105","34040","34550"
"In post","2022","Cabinet Office (excl. agencies)","SEO/HEO","HEO","Unknown","1945","1940","30340","29250"
"In post","2022","Cabinet Office (excl. agencies)","SEO/HEO","SEO","Heterosexual / straight","675","660","40080","40600"
"In post","2022","Cabinet Office (excl. agencies)","SEO/HEO","SEO","LGBO","70","70","39860","40600"
"In post","2022","Cabinet Office (excl. agencies)","SEO/HEO","SEO","Undeclared","80","80","40600","40600"
"In post","2022","Cabinet Office (excl. agencies)","SEO/HEO","SEO","Unknown","230","225","40340","40600"
"In post","2022","Centre for Environment, Fisheries and Aquaculture Science","AA/AO","AA","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Centre for Environment, Fisheries and Aquaculture Science","AA/AO","AA","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Centre for Environment, Fisheries and Aquaculture Science","AA/AO","AA","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Centre for Environment, Fisheries and Aquaculture Science","AA/AO","AO","Heterosexual / straight","15","15","[c]","[c]"
"In post","2022","Centre for Environment, Fisheries and Aquaculture Science","AA/AO","AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Centre for Environment, Fisheries and Aquaculture Science","AA/AO","AO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Centre for Environment, Fisheries and Aquaculture Science","AA/AO","AO","Unknown","25","25","[c]","[c]"
"In post","2022","Centre for Environment, Fisheries and Aquaculture Science","EO","EO","Heterosexual / straight","60","55","25290","25010"
"In post","2022","Centre for Environment, Fisheries and Aquaculture Science","EO","EO","LGBO","5","5","[c]","[c]"
"In post","2022","Centre for Environment, Fisheries and Aquaculture Science","EO","EO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Centre for Environment, Fisheries and Aquaculture Science","EO","EO","Unknown","80","75","25250","25010"
"In post","2022","Centre for Environment, Fisheries and Aquaculture Science","G6/G7","G6","Heterosexual / straight","10","10","[c]","[c]"
"In post","2022","Centre for Environment, Fisheries and Aquaculture Science","G6/G7","G6","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Centre for Environment, Fisheries and Aquaculture Science","G6/G7","G6","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Centre for Environment, Fisheries and Aquaculture Science","G6/G7","G6","Unknown","15","15","[c]","[c]"
"In post","2022","Centre for Environment, Fisheries and Aquaculture Science","G6/G7","G7","Heterosexual / straight","35","35","48650","48080"
"In post","2022","Centre for Environment, Fisheries and Aquaculture Science","G6/G7","G7","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Centre for Environment, Fisheries and Aquaculture Science","G6/G7","G7","Undeclared","5","5","[c]","[c]"
"In post","2022","Centre for Environment, Fisheries and Aquaculture Science","G6/G7","G7","Unknown","50","45","49250","48080"
"In post","2022","Centre for Environment, Fisheries and Aquaculture Science","SCS level","SCS level","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Centre for Environment, Fisheries and Aquaculture Science","SCS level","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Centre for Environment, Fisheries and Aquaculture Science","SCS level","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Centre for Environment, Fisheries and Aquaculture Science","SEO/HEO","HEO","Heterosexual / straight","60","60","29780","29510"
"In post","2022","Centre for Environment, Fisheries and Aquaculture Science","SEO/HEO","HEO","LGBO","10","10","[c]","[c]"
"In post","2022","Centre for Environment, Fisheries and Aquaculture Science","SEO/HEO","HEO","Undeclared","15","15","[c]","[c]"
"In post","2022","Centre for Environment, Fisheries and Aquaculture Science","SEO/HEO","HEO","Unknown","100","100","29810","29750"
"In post","2022","Centre for Environment, Fisheries and Aquaculture Science","SEO/HEO","SEO","Heterosexual / straight","55","55","37230","36580"
"In post","2022","Centre for Environment, Fisheries and Aquaculture Science","SEO/HEO","SEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Centre for Environment, Fisheries and Aquaculture Science","SEO/HEO","SEO","Undeclared","10","10","[c]","[c]"
"In post","2022","Centre for Environment, Fisheries and Aquaculture Science","SEO/HEO","SEO","Unknown","80","75","37090","36580"
"In post","2022","Charity Commission","AA/AO","AO","Heterosexual / straight","10","10","[c]","[c]"
"In post","2022","Charity Commission","AA/AO","AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Charity Commission","AA/AO","AO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Charity Commission","AA/AO","AO","Unknown","20","15","[c]","[c]"
"In post","2022","Charity Commission","EO","EO","Heterosexual / straight","50","50","24930","24440"
"In post","2022","Charity Commission","EO","EO","LGBO","5","5","[c]","[c]"
"In post","2022","Charity Commission","EO","EO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Charity Commission","EO","EO","Unknown","50","50","25360","24440"
"In post","2022","Charity Commission","G6/G7","G6","Heterosexual / straight","10","10","[c]","[c]"
"In post","2022","Charity Commission","G6/G7","G6","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Charity Commission","G6/G7","G6","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Charity Commission","G6/G7","G6","Unknown","5","5","[c]","[c]"
"In post","2022","Charity Commission","G6/G7","G7","Heterosexual / straight","30","30","50840","51070"
"In post","2022","Charity Commission","G6/G7","G7","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Charity Commission","G6/G7","G7","Unknown","15","15","[c]","[c]"
"In post","2022","Charity Commission","SCS level","SCS level","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Charity Commission","SCS level","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Charity Commission","SCS level","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Charity Commission","SEO/HEO","HEO","Heterosexual / straight","85","80","28870","29160"
"In post","2022","Charity Commission","SEO/HEO","HEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Charity Commission","SEO/HEO","HEO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Charity Commission","SEO/HEO","HEO","Unknown","60","55","29760","29160"
"In post","2022","Charity Commission","SEO/HEO","SEO","Heterosexual / straight","55","55","37590","37910"
"In post","2022","Charity Commission","SEO/HEO","SEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Charity Commission","SEO/HEO","SEO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Charity Commission","SEO/HEO","SEO","Unknown","35","35","38190","37910"
"In post","2022","Companies House","AA/AO","AA","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Companies House","AA/AO","AA","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Companies House","AA/AO","AA","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Companies House","AA/AO","AO","Heterosexual / straight","270","235","21750","22740"
"In post","2022","Companies House","AA/AO","AO","LGBO","15","15","[c]","[c]"
"In post","2022","Companies House","AA/AO","AO","Undeclared","35","35","22270","22740"
"In post","2022","Companies House","AA/AO","AO","Unknown","125","105","21700","22740"
"In post","2022","Companies House","EO","EO","Heterosexual / straight","210","195","27180","25460"
"In post","2022","Companies House","EO","EO","LGBO","10","10","[c]","[c]"
"In post","2022","Companies House","EO","EO","Undeclared","20","20","[c]","[c]"
"In post","2022","Companies House","EO","EO","Unknown","60","55","28240","27460"
"In post","2022","Companies House","G6/G7","G6","Heterosexual / straight","20","20","[c]","[c]"
"In post","2022","Companies House","G6/G7","G6","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Companies House","G6/G7","G6","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Companies House","G6/G7","G6","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Companies House","G6/G7","G7","Heterosexual / straight","50","50","52710","50120"
"In post","2022","Companies House","G6/G7","G7","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Companies House","G6/G7","G7","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Companies House","G6/G7","G7","Unknown","5","5","[c]","[c]"
"In post","2022","Companies House","SCS level","SCS level","Heterosexual / straight","5","5","[c]","[c]"
"In post","2022","Companies House","SCS level","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Companies House","SEO/HEO","HEO","Heterosexual / straight","135","130","34350","35570"
"In post","2022","Companies House","SEO/HEO","HEO","LGBO","5","5","[c]","[c]"
"In post","2022","Companies House","SEO/HEO","HEO","Undeclared","10","10","[c]","[c]"
"In post","2022","Companies House","SEO/HEO","HEO","Unknown","20","20","[c]","[c]"
"In post","2022","Companies House","SEO/HEO","SEO","Heterosexual / straight","115","110","43060","42990"
"In post","2022","Companies House","SEO/HEO","SEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Companies House","SEO/HEO","SEO","Undeclared","15","15","[c]","[c]"
"In post","2022","Companies House","SEO/HEO","SEO","Unknown","25","20","[c]","[c]"
"In post","2022","Competition and Markets Authority","AA/AO","AO","Heterosexual / straight","15","15","[c]","[c]"
"In post","2022","Competition and Markets Authority","AA/AO","AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Competition and Markets Authority","AA/AO","AO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Competition and Markets Authority","EO","EO","Heterosexual / straight","60","60","28200","27920"
"In post","2022","Competition and Markets Authority","EO","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Competition and Markets Authority","EO","EO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Competition and Markets Authority","EO","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Competition and Markets Authority","G6/G7","G6","Heterosexual / straight","155","150","75840","75140"
"In post","2022","Competition and Markets Authority","G6/G7","G6","LGBO","15","15","[c]","[c]"
"In post","2022","Competition and Markets Authority","G6/G7","G6","Undeclared","25","25","[c]","[c]"
"In post","2022","Competition and Markets Authority","G6/G7","G6","Unknown","10","10","[c]","[c]"
"In post","2022","Competition and Markets Authority","G6/G7","G7","Heterosexual / straight","200","190","57250","56360"
"In post","2022","Competition and Markets Authority","G6/G7","G7","LGBO","20","20","[c]","[c]"
"In post","2022","Competition and Markets Authority","G6/G7","G7","Undeclared","20","20","[c]","[c]"
"In post","2022","Competition and Markets Authority","G6/G7","G7","Unknown","5","5","[c]","[c]"
"In post","2022","Competition and Markets Authority","SCS level","SCS level","Heterosexual / straight","105","100","105850","99310"
"In post","2022","Competition and Markets Authority","SCS level","SCS level","LGBO","5","5","[c]","[c]"
"In post","2022","Competition and Markets Authority","SCS level","SCS level","Undeclared","5","5","[c]","[c]"
"In post","2022","Competition and Markets Authority","SCS level","SCS level","Unknown","5","5","[c]","[c]"
"In post","2022","Competition and Markets Authority","SEO/HEO","HEO","Heterosexual / straight","110","110","34660","34530"
"In post","2022","Competition and Markets Authority","SEO/HEO","HEO","LGBO","15","15","[c]","[c]"
"In post","2022","Competition and Markets Authority","SEO/HEO","HEO","Undeclared","15","15","[c]","[c]"
"In post","2022","Competition and Markets Authority","SEO/HEO","HEO","Unknown","5","5","[c]","[c]"
"In post","2022","Competition and Markets Authority","SEO/HEO","SEO","Heterosexual / straight","55","55","44090","43880"
"In post","2022","Competition and Markets Authority","SEO/HEO","SEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Competition and Markets Authority","SEO/HEO","SEO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Competition and Markets Authority","SEO/HEO","SEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Criminal Injuries Compensation Authority","AA/AO","AA","Heterosexual / straight","10","5","[c]","[c]"
"In post","2022","Criminal Injuries Compensation Authority","AA/AO","AA","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Criminal Injuries Compensation Authority","AA/AO","AA","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Criminal Injuries Compensation Authority","AA/AO","AO","Heterosexual / straight","60","55","21180","20970"
"In post","2022","Criminal Injuries Compensation Authority","AA/AO","AO","LGBO","5","5","[c]","[c]"
"In post","2022","Criminal Injuries Compensation Authority","AA/AO","AO","Undeclared","10","10","[c]","[c]"
"In post","2022","Criminal Injuries Compensation Authority","AA/AO","AO","Unknown","35","35","21160","20970"
"In post","2022","Criminal Injuries Compensation Authority","EO","EO","Heterosexual / straight","55","55","25330","25120"
"In post","2022","Criminal Injuries Compensation Authority","EO","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Criminal Injuries Compensation Authority","EO","EO","Undeclared","10","10","[c]","[c]"
"In post","2022","Criminal Injuries Compensation Authority","EO","EO","Unknown","15","15","[c]","[c]"
"In post","2022","Criminal Injuries Compensation Authority","G6/G7","G6","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Criminal Injuries Compensation Authority","G6/G7","G6","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Criminal Injuries Compensation Authority","G6/G7","G7","Heterosexual / straight","10","5","[c]","[c]"
"In post","2022","Criminal Injuries Compensation Authority","G6/G7","G7","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Criminal Injuries Compensation Authority","G6/G7","G7","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Criminal Injuries Compensation Authority","G6/G7","G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Criminal Injuries Compensation Authority","SCS level","SCS level","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Criminal Injuries Compensation Authority","SCS level","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Criminal Injuries Compensation Authority","SEO/HEO","HEO","Heterosexual / straight","50","50","30990","30450"
"In post","2022","Criminal Injuries Compensation Authority","SEO/HEO","HEO","LGBO","5","5","[c]","[c]"
"In post","2022","Criminal Injuries Compensation Authority","SEO/HEO","HEO","Undeclared","5","5","[c]","[c]"
"In post","2022","Criminal Injuries Compensation Authority","SEO/HEO","HEO","Unknown","20","20","[c]","[c]"
"In post","2022","Criminal Injuries Compensation Authority","SEO/HEO","SEO","Heterosexual / straight","10","10","[c]","[c]"
"In post","2022","Criminal Injuries Compensation Authority","SEO/HEO","SEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Criminal Injuries Compensation Authority","SEO/HEO","SEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Crown Commercial Service","AA/AO","AO","Heterosexual / straight","20","20","[c]","[c]"
"In post","2022","Crown Commercial Service","AA/AO","AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Crown Commercial Service","AA/AO","AO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Crown Commercial Service","AA/AO","AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Crown Commercial Service","EO","EO","Heterosexual / straight","90","85","25950","25520"
"In post","2022","Crown Commercial Service","EO","EO","LGBO","5","5","[c]","[c]"
"In post","2022","Crown Commercial Service","EO","EO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Crown Commercial Service","EO","EO","Unknown","20","20","[c]","[c]"
"In post","2022","Crown Commercial Service","G6/G7","G6","Heterosexual / straight","45","45","65830","64660"
"In post","2022","Crown Commercial Service","G6/G7","G6","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Crown Commercial Service","G6/G7","G6","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Crown Commercial Service","G6/G7","G6","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Crown Commercial Service","G6/G7","G7","Heterosexual / straight","120","115","51420","51600"
"In post","2022","Crown Commercial Service","G6/G7","G7","LGBO","5","5","[c]","[c]"
"In post","2022","Crown Commercial Service","G6/G7","G7","Undeclared","[c]","[c]","[c]","[c]"
