"Status","Year","Function_of_post","Parent_department","Region_ITL3","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Analysis","Attorney General's Departments","Camden and City of London","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Cabinet Office","Glasgow City","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Cabinet Office","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Cabinet Office","Westminster","20","20","41620","35070"
"In post","2022","Analysis","Chancellor's other departments","Camden and City of London","175","160","69590","65470"
"In post","2022","Analysis","Chancellor's other departments","City of Edinburgh","10","10","73790","69690"
"In post","2022","Analysis","Chancellor's other departments","Glasgow City","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Chancellor's other departments","Mid Lancashire","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Chancellor's other departments","Westminster","20","20","50940","48770"
"In post","2022","Analysis","Competition and Markets Authority","Cardiff and Vale of Glamorgan","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Competition and Markets Authority","City of Edinburgh","5","5","[c]","[c]"
"In post","2022","Analysis","Competition and Markets Authority","Tower Hamlets","130","125","62170","56360"
"In post","2022","Analysis","Department for Business, Energy and Industrial Strategy","Ards and North Down","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Business, Energy and Industrial Strategy","Berkshire","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Business, Energy and Industrial Strategy","Birmingham","10","10","[c]","[c]"
"In post","2022","Analysis","Department for Business, Energy and Industrial Strategy","Bristol, City of","5","5","[c]","[c]"
"In post","2022","Analysis","Department for Business, Energy and Industrial Strategy","Calderdale and Kirklees","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Business, Energy and Industrial Strategy","Cardiff and Vale of Glamorgan","25","25","36510","36070"
"In post","2022","Analysis","Department for Business, Energy and Industrial Strategy","City of Edinburgh","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Business, Energy and Industrial Strategy","East Lothian and Midlothian","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Business, Energy and Industrial Strategy","Greater Manchester South West","10","10","33120","27470"
"In post","2022","Analysis","Department for Business, Energy and Industrial Strategy","Hackney and Newham","10","10","[c]","[c]"
"In post","2022","Analysis","Department for Business, Energy and Industrial Strategy","Hertfordshire CC","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Business, Energy and Industrial Strategy","Lincolnshire CC","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Business, Energy and Industrial Strategy","Manchester","5","5","[c]","[c]"
"In post","2022","Analysis","Department for Business, Energy and Industrial Strategy","Merton, Kingston upon Thames and Sutton","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Business, Energy and Industrial Strategy","Monmouthshire and Newport","35","35","34960","30770"
"In post","2022","Analysis","Department for Business, Energy and Industrial Strategy","Nottingham","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Business, Energy and Industrial Strategy","Oxfordshire CC","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Business, Energy and Industrial Strategy","Plymouth","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Business, Energy and Industrial Strategy","Swindon","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Business, Energy and Industrial Strategy","Westminster","260","255","44210","37890"
"In post","2022","Analysis","Department for Business, Energy and Industrial Strategy","Wirral","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Digital, Culture, Media and Sport","Birmingham","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Digital, Culture, Media and Sport","Cardiff and Vale of Glamorgan","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Digital, Culture, Media and Sport","Glasgow City","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Digital, Culture, Media and Sport","Leeds","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Digital, Culture, Media and Sport","Manchester","5","5","[c]","[c]"
"In post","2022","Analysis","Department for Digital, Culture, Media and Sport","Nottingham","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Digital, Culture, Media and Sport","Westminster","135","135","48540","55730"
"In post","2022","Analysis","Department for Education","Bristol, City of","20","20","37340","39240"
"In post","2022","Analysis","Department for Education","Coventry","5","5","[c]","[c]"
"In post","2022","Analysis","Department for Education","Darlington","10","10","42030","42580"
"In post","2022","Analysis","Department for Education","Leeds","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Education","Manchester","25","25","38800","37590"
"In post","2022","Analysis","Department for Education","Nottingham","10","10","41670","41990"
"In post","2022","Analysis","Department for Education","Sheffield","60","55","45780","49860"
"In post","2022","Analysis","Department for Education","Tyneside","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Education","Westminster","70","65","49030","45940"
"In post","2022","Analysis","Department for Environment, Food and Rural Affairs","Berkshire","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Environment, Food and Rural Affairs","Cheshire East","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Environment, Food and Rural Affairs","Cornwall and Isles of Scilly","10","10","[c]","[c]"
"In post","2022","Analysis","Department for Environment, Food and Rural Affairs","Devon CC","5","5","[c]","[c]"
"In post","2022","Analysis","Department for Environment, Food and Rural Affairs","Dorset","125","120","34110","29990"
"In post","2022","Analysis","Department for Environment, Food and Rural Affairs","East Cumbria","10","10","31830","31510"
"In post","2022","Analysis","Department for Environment, Food and Rural Affairs","Leeds","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Environment, Food and Rural Affairs","Mid Lancashire","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Environment, Food and Rural Affairs","North Yorkshire CC","5","5","[c]","[c]"
