"Status","Year","Organisation","Profession_of_post","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Accountant in Bankruptcy","Unknown","110","100","32650","30040"
"In post","2022","Advisory, Conciliation and Arbitration Service","Commercial","5","5","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Communications","15","15","37610","35120"
"In post","2022","Advisory, Conciliation and Arbitration Service","Digital, Data and Technology","60","60","45080","43800"
"In post","2022","Advisory, Conciliation and Arbitration Service","Finance","20","20","36300","25310"
"In post","2022","Advisory, Conciliation and Arbitration Service","Human Resources","30","30","38650","39580"
"In post","2022","Advisory, Conciliation and Arbitration Service","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Operational Delivery","865","800","31820","30950"
"In post","2022","Advisory, Conciliation and Arbitration Service","Operational Research","5","5","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Policy","10","10","45260","40450"
"In post","2022","Advisory, Conciliation and Arbitration Service","Project Delivery","10","10","39130","39580"
"In post","2022","Animal and Plant Health Agency","Commercial","10","10","39150","38750"
"In post","2022","Animal and Plant Health Agency","Digital, Data and Technology","15","15","31980","29180"
"In post","2022","Animal and Plant Health Agency","Operational Delivery","1915","1815","27710","25100"
"In post","2022","Animal and Plant Health Agency","Other","25","25","36190","33790"
"In post","2022","Animal and Plant Health Agency","Project Delivery","35","35","33810","30730"
"In post","2022","Animal and Plant Health Agency","Science and Engineering","570","545","32070","28270"
"In post","2022","Animal and Plant Health Agency","Veterinarian","335","320","43050","38390"
"In post","2022","Attorney General's Office","Communications","10","10","45010","38590"
"In post","2022","Attorney General's Office","Legal","15","15","69960","65180"
"In post","2022","Attorney General's Office","Other","10","10","35120","30950"
"In post","2022","Attorney General's Office","Policy","10","10","[c]","[c]"
"In post","2022","Cabinet Office (excl. agencies)","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2022","Cabinet Office (excl. agencies)","Finance","[c]","[c]","[c]","[c]"
"In post","2022","Cabinet Office (excl. agencies)","Human Resources","[c]","[c]","[c]","[c]"
"In post","2022","Cabinet Office (excl. agencies)","Operational Delivery","15","15","41020","37300"
"In post","2022","Cabinet Office (excl. agencies)","Other","20","20","48370","52200"
"In post","2022","Cabinet Office (excl. agencies)","Policy","25","25","54420","54700"
"In post","2022","Cabinet Office (excl. agencies)","Unknown","9865","9680","47210","40600"
"In post","2022","Centre for Environment, Fisheries and Aquaculture Science","Commercial","15","15","42290","42410"
"In post","2022","Centre for Environment, Fisheries and Aquaculture Science","Communications","5","5","[c]","[c]"
"In post","2022","Centre for Environment, Fisheries and Aquaculture Science","Digital, Data and Technology","60","55","31650","29750"
"In post","2022","Centre for Environment, Fisheries and Aquaculture Science","Economics","[c]","[c]","[c]","[c]"
"In post","2022","Centre for Environment, Fisheries and Aquaculture Science","Finance","10","10","35390","25460"
"In post","2022","Centre for Environment, Fisheries and Aquaculture Science","Human Resources","15","10","34450","29750"
"In post","2022","Centre for Environment, Fisheries and Aquaculture Science","Operational Delivery","25","20","42110","47550"
"In post","2022","Centre for Environment, Fisheries and Aquaculture Science","Other","15","15","34570","29270"
"In post","2022","Centre for Environment, Fisheries and Aquaculture Science","Project Delivery","35","35","27510","29270"
"In post","2022","Centre for Environment, Fisheries and Aquaculture Science","Science and Engineering","465","445","34230","30220"
"In post","2022","Charity Commission","Commercial","[c]","[c]","[c]","[c]"
"In post","2022","Charity Commission","Communications","20","20","41880","37910"
"In post","2022","Charity Commission","Digital, Data and Technology","55","55","34230","29160"
"In post","2022","Charity Commission","Finance","10","10","36620","33810"
"In post","2022","Charity Commission","Human Resources","20","15","33830","29220"
"In post","2022","Charity Commission","Knowledge and Information Management","10","10","[c]","[c]"
"In post","2022","Charity Commission","Legal","25","25","52960","51070"
"In post","2022","Charity Commission","Operational Delivery","290","270","31150","29160"
"In post","2022","Charity Commission","Other","[c]","[c]","[c]","[c]"
"In post","2022","Charity Commission","Policy","10","10","40620","37910"
"In post","2022","Charity Commission","Project Delivery","20","20","33900","37910"
"In post","2022","Charity Commission","Property","[c]","[c]","[c]","[c]"
"In post","2022","Charity Commission","Security","[c]","[c]","[c]","[c]"
"In post","2022","Companies House","Commercial","5","5","[c]","[c]"
"In post","2022","Companies House","Communications","25","25","35760","30720"
"In post","2022","Companies House","Counter Fraud","170","155","24810","22740"
"In post","2022","Companies House","Digital, Data and Technology","250","245","39730","38000"
"In post","2022","Companies House","Finance","70","65","30060","24730"
