"Status","Year","Function_of_post","Organisation","Region_ITL1","Responsibility_level_grouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Analysis","Advisory, Conciliation and Arbitration Service","London","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Advisory, Conciliation and Arbitration Service","South West (England)","EO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Advisory, Conciliation and Arbitration Service","South West (England)","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Advisory, Conciliation and Arbitration Service","Wales","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Cabinet Office (excl. agencies)","London","EO","5","5","[c]","[c]"
"In post","2022","Analysis","Cabinet Office (excl. agencies)","London","G6/G7","5","5","[c]","[c]"
"In post","2022","Analysis","Cabinet Office (excl. agencies)","London","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Cabinet Office (excl. agencies)","London","SEO/HEO","5","5","[c]","[c]"
"In post","2022","Analysis","Cabinet Office (excl. agencies)","Scotland","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Cabinet Office (excl. agencies)","Unknown","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Centre for Environment, Fisheries and Aquaculture Science","East of England","AA/AO","20","20","21080","21510"
"In post","2022","Analysis","Centre for Environment, Fisheries and Aquaculture Science","East of England","EO","60","55","25280","25010"
"In post","2022","Analysis","Centre for Environment, Fisheries and Aquaculture Science","East of England","G6/G7","60","60","51590","48080"
"In post","2022","Analysis","Centre for Environment, Fisheries and Aquaculture Science","East of England","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Centre for Environment, Fisheries and Aquaculture Science","East of England","SEO/HEO","180","170","33360","32110"
"In post","2022","Analysis","Centre for Environment, Fisheries and Aquaculture Science","South West (England)","AA/AO","10","10","21510","21510"
"In post","2022","Analysis","Centre for Environment, Fisheries and Aquaculture Science","South West (England)","EO","40","40","25280","25010"
"In post","2022","Analysis","Centre for Environment, Fisheries and Aquaculture Science","South West (England)","G6/G7","20","20","53880","49970"
"In post","2022","Analysis","Centre for Environment, Fisheries and Aquaculture Science","South West (England)","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Centre for Environment, Fisheries and Aquaculture Science","South West (England)","SEO/HEO","65","65","32680","30220"
