"Status","Year","Organisation","Region_london","Responsibility_level_grouped","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Accountant in Bankruptcy","Outside London","AA/AO","Female","20","15","[c]","[c]"
"In post","2022","Accountant in Bankruptcy","Outside London","AA/AO","Male","10","10","[c]","[c]"
"In post","2022","Accountant in Bankruptcy","Outside London","EO","Female","25","20","[c]","[c]"
"In post","2022","Accountant in Bankruptcy","Outside London","EO","Male","15","15","[c]","[c]"
"In post","2022","Accountant in Bankruptcy","Outside London","G6/G7","Female","[c]","[c]","[c]","[c]"
"In post","2022","Accountant in Bankruptcy","Outside London","G6/G7","Male","[c]","[c]","[c]","[c]"
"In post","2022","Accountant in Bankruptcy","Outside London","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2022","Accountant in Bankruptcy","Outside London","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2022","Accountant in Bankruptcy","Outside London","SEO/HEO","Female","25","20","[c]","[c]"
"In post","2022","Accountant in Bankruptcy","Outside London","SEO/HEO","Male","10","10","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","London","AA/AO","Female","5","5","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","London","AA/AO","Male","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","London","EO","Female","20","15","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","London","EO","Male","15","15","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","London","G6/G7","Female","15","10","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","London","G6/G7","Male","10","10","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","London","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","London","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","London","SEO/HEO","Female","60","60","40040","38670"
"In post","2022","Advisory, Conciliation and Arbitration Service","London","SEO/HEO","Male","55","55","42790","43750"
"In post","2022","Advisory, Conciliation and Arbitration Service","Outside London","AA/AO","Female","35","30","20510","20140"
"In post","2022","Advisory, Conciliation and Arbitration Service","Outside London","AA/AO","Male","5","5","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Outside London","EO","Female","170","155","24740","24250"
"In post","2022","Advisory, Conciliation and Arbitration Service","Outside London","EO","Male","115","110","24590","24250"
"In post","2022","Advisory, Conciliation and Arbitration Service","Outside London","G6/G7","Female","15","15","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Outside London","G6/G7","Male","15","15","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Outside London","SEO/HEO","Female","285","260","33930","31640"
"In post","2022","Advisory, Conciliation and Arbitration Service","Outside London","SEO/HEO","Male","195","185","35070","34500"
"In post","2022","Animal and Plant Health Agency","London","AA/AO","Female","5","5","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","London","AA/AO","Male","[c]","[c]","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","London","EO","Female","25","20","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","London","EO","Male","30","30","30700","31460"
"In post","2022","Animal and Plant Health Agency","London","G6/G7","Female","10","10","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","London","G6/G7","Male","[c]","[c]","[c]","[c]"
