"Status","Year","Disability","Organisation","Parent_department","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Declared disabled","Accountant in Bankruptcy","Scottish Government","10","5","[c]","[c]"
"In post","2022","Declared disabled","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","180","170","32480","30950"
"In post","2022","Declared disabled","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","400","375","28860","25190"
"In post","2022","Declared disabled","Attorney General's Office","Attorney General's Departments","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Cabinet Office (excl. agencies)","Cabinet Office","805","785","44150","38890"
"In post","2022","Declared disabled","Centre for Environment, Fisheries and Aquaculture Science","Department for Environment, Food and Rural Affairs","40","40","28810","29270"
"In post","2022","Declared disabled","Charity Commission","Charity Commission","30","25","[c]","[c]"
"In post","2022","Declared disabled","Companies House","Department for Business, Energy and Industrial Strategy","90","80","31770","24950"
"In post","2022","Declared disabled","Competition and Markets Authority","Competition and Markets Authority","50","45","55990","55480"
"In post","2022","Declared disabled","Criminal Injuries Compensation Authority","Ministry of Justice","35","30","24330","25120"
"In post","2022","Declared disabled","Crown Commercial Service","Cabinet Office","65","65","39920","38330"
"In post","2022","Declared disabled","Crown Office and Procurator Fiscal Service","Scottish Government","135","125","35620","30040"
"In post","2022","Declared disabled","Crown Prosecution Service","Attorney General's Departments","825","760","41680","36240"
"In post","2022","Declared disabled","Defence Electronics and Components Agency","Ministry of Defence","30","25","[c]","[c]"
"In post","2022","Declared disabled","Defence Equipment and Support","Ministry of Defence","1060","1015","35370","33170"
"In post","2022","Declared disabled","Defence Science and Technology Laboratory","Ministry of Defence","250","240","39780","38070"
"In post","2022","Declared disabled","Department for Business, Energy and Industrial Strategy (excl. agencies)","Department for Business, Energy and Industrial Strategy","565","550","47020","41660"
"In post","2022","Declared disabled","Department for Digital, Culture, Media and Sport","Department for Digital, Culture, Media and Sport","170","165","46210","38020"
"In post","2022","Declared disabled","Department for Education (excl. agencies)","Department for Education","565","535","41750","37100"
"In post","2022","Declared disabled","Department for Environment, Food and Rural Affairs (excl. agencies)","Department for Environment, Food and Rural Affairs","770","740","40980","36970"
"In post","2022","Declared disabled","Department for International Trade","Department for International Trade","240","235","46100","41760"
"In post","2022","Declared disabled","Department for Levelling Up, Housing and Communities (excl. agencies)","Department for Levelling Up, Housing and Communities","380","370","42100","36630"
"In post","2022","Declared disabled","Department for Transport (excl. agencies)","Department for Transport","210","205","47210","46300"
"In post","2022","Declared disabled","Department for Work and Pensions (excl. agencies)","Department for Work and Pensions","15790","13885","27320","27570"
"In post","2022","Declared disabled","Department of Health and Social Care (excl. agencies)","Department of Health and Social Care","225","220","45410","40650"
"In post","2022","Declared disabled","Disclosure Scotland","Scottish Government","35","30","28190","25930"
"In post","2022","Declared disabled","Driver and Vehicle Licensing Agency","Department for Transport","650","535","24270","21840"
