"Status","Year","Function_of_post","Region_ITL3","Region_london","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Analysis","Angus and Dundee City","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Ards and North Down","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Barking & Dagenham and Havering","London","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Barnet","London","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Barnsley, Doncaster and Rotherham","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Bath and North East Somerset, North Somerset and South Gloucestershire","Outside London","75","70","38340","36000"
"In post","2022","Analysis","Bedford","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Berkshire","Outside London","5","5","[c]","[c]"
"In post","2022","Analysis","Birmingham","Outside London","55","50","42550","39000"
"In post","2022","Analysis","Blackpool","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Bournemouth, Christchurch and Poole","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Bristol, City of","Outside London","135","130","39430","36700"
"In post","2022","Analysis","Buckinghamshire","Outside London","10","10","35440","29850"
"In post","2022","Analysis","Calderdale and Kirklees","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Cambridgeshire CC","Outside London","10","10","[c]","[c]"
"In post","2022","Analysis","Camden and City of London","London","230","215","68370","65350"
"In post","2022","Analysis","Cardiff and Vale of Glamorgan","Outside London","40","35","39370","36480"
"In post","2022","Analysis","Central Bedfordshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Central Hampshire","Outside London","400","385","41420","38960"
"In post","2022","Analysis","Central Valleys","Outside London","5","5","[c]","[c]"
"In post","2022","Analysis","Cheshire East","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","City of Edinburgh","Outside London","70","65","48340","45000"
"In post","2022","Analysis","Clackmannanshire and Fife","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Cornwall and Isles of Scilly","Outside London","10","10","[c]","[c]"
"In post","2022","Analysis","Coventry","Outside London","10","10","[c]","[c]"
"In post","2022","Analysis","Croydon","London","60","60","51370","46470"
"In post","2022","Analysis","Darlington","Outside London","30","30","35240","30710"
"In post","2022","Analysis","Devon CC","Outside London","10","10","31210","29190"
"In post","2022","Analysis","Dorset","Outside London","125","120","34310","30220"
"In post","2022","Analysis","Durham","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","East Ayrshire and North Ayrshire mainland","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","East Cumbria","Outside London","10","10","32600","33700"
"In post","2022","Analysis","East Derbyshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","East Kent","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","East Lancashire","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","East Lothian and Midlothian","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","East Merseyside","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","East Riding of Yorkshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","East Sussex CC","Outside London","5","5","[c]","[c]"
"In post","2022","Analysis","Essex Haven Gateway","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Flintshire and Wrexham","Outside London","10","10","[c]","[c]"
"In post","2022","Analysis","Glasgow City","Outside London","70","70","40170","36000"
"In post","2022","Analysis","Greater Manchester North East","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Greater Manchester South West","Outside London","25","25","37660","34180"
"In post","2022","Analysis","Gwent Valleys","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Hackney and Newham","London","165","160","47020","43430"
"In post","2022","Analysis","Haringey and Islington","London","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Harrow and Hillingdon","London","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Hartlepool and Stockton-on-Tees","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Heart of Essex","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Hertfordshire CC","Outside London","5","5","[c]","[c]"
"In post","2022","Analysis","Kent Thames Gateway","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Lambeth","London","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Leeds","Outside London","255","245","40110","36820"
"In post","2022","Analysis","Leicester","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Leicestershire CC and Rutland","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Lewisham and Southwark","London","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Lincolnshire CC","Outside London","5","5","[c]","[c]"
"In post","2022","Analysis","Liverpool","Outside London","100","95","41020","40180"
