"Status","Year","Age","Function_of_post","Profession_of_post","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","16-19","Analysis","Economics","Heterosexual / straight","15","15","[c]","[c]"
"In post","2022","16-19","Analysis","Economics","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Analysis","Economics","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Analysis","Economics","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Analysis","Operational Delivery","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Analysis","Operational Delivery","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Analysis","Operational Delivery","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Analysis","Operational Research","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Analysis","Operational Research","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Analysis","Policy","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Analysis","Policy","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Analysis","Science and Engineering","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Analysis","Science and Engineering","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Analysis","Science and Engineering","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Analysis","Science and Engineering","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Analysis","Statistics","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Analysis","Statistics","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Analysis","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Analysis","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Analysis","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Commercial","Commercial","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Commercial","Commercial","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Commercial","Commercial","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Commercial","Operational Delivery","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Commercial","Operational Delivery","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Communications","Communications","Heterosexual / straight","5","5","[c]","[c]"
"In post","2022","16-19","Communications","Communications","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Communications","Communications","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Communications","Communications","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Communications","Operational Delivery","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Communications","Operational Delivery","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Communications","Operational Delivery","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Communications","Operational Delivery","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Communications","Tax","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Communications","Tax","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Communications","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Communications","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Communications","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Counter Fraud","Counter Fraud","Heterosexual / straight","5","5","[c]","[c]"
"In post","2022","16-19","Counter Fraud","Counter Fraud","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Counter Fraud","Legal","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Counter Fraud","Legal","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Counter Fraud","Legal","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Counter Fraud","Operational Delivery","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Counter Fraud","Operational Delivery","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Counter Fraud","Operational Delivery","Unknown","5","5","[c]","[c]"
"In post","2022","16-19","Counter Fraud","Tax","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Counter Fraud","Tax","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Counter Fraud","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Counter Fraud","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Counter Fraud","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Counter Fraud","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Debt","Operational Delivery","Heterosexual / straight","10","10","[c]","[c]"
