"Status","Year","Organisation","Responsibility_level_grouped","Responsibility_level_ungrouped","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Accountant in Bankruptcy","AA/AO","AA","Female","20","15","[c]","[c]"
"In post","2022","Accountant in Bankruptcy","AA/AO","AA","Male","10","10","[c]","[c]"
"In post","2022","Accountant in Bankruptcy","EO","EO","Female","25","20","[c]","[c]"
"In post","2022","Accountant in Bankruptcy","EO","EO","Male","15","15","[c]","[c]"
"In post","2022","Accountant in Bankruptcy","G6/G7","G6","Female","[c]","[c]","[c]","[c]"
"In post","2022","Accountant in Bankruptcy","G6/G7","G6","Male","[c]","[c]","[c]","[c]"
"In post","2022","Accountant in Bankruptcy","G6/G7","G7","Female","[c]","[c]","[c]","[c]"
"In post","2022","Accountant in Bankruptcy","G6/G7","G7","Male","[c]","[c]","[c]","[c]"
"In post","2022","Accountant in Bankruptcy","SCS level","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2022","Accountant in Bankruptcy","SCS level","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2022","Accountant in Bankruptcy","SEO/HEO","HEO","Female","20","15","[c]","[c]"
"In post","2022","Accountant in Bankruptcy","SEO/HEO","HEO","Male","10","10","[c]","[c]"
"In post","2022","Accountant in Bankruptcy","SEO/HEO","SEO","Female","5","5","[c]","[c]"
"In post","2022","Accountant in Bankruptcy","SEO/HEO","SEO","Male","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","AA/AO","AO","Female","40","35","21190","21100"
"In post","2022","Advisory, Conciliation and Arbitration Service","AA/AO","AO","Male","10","10","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","EO","EO","Female","190","175","25100","24250"
"In post","2022","Advisory, Conciliation and Arbitration Service","EO","EO","Male","130","125","25010","24250"
"In post","2022","Advisory, Conciliation and Arbitration Service","G6/G7","G6","Female","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","G6/G7","G6","Male","5","5","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","G6/G7","G7","Female","25","25","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","G6/G7","G7","Male","20","20","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","SCS level","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","SCS level","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","SEO/HEO","HEO","Female","270","250","33010","31430"
"In post","2022","Advisory, Conciliation and Arbitration Service","SEO/HEO","HEO","Male","165","155","33420","34270"
"In post","2022","Advisory, Conciliation and Arbitration Service","SEO/HEO","SEO","Female","75","70","42250","41840"
"In post","2022","Advisory, Conciliation and Arbitration Service","SEO/HEO","SEO","Male","85","80","43060","43440"
"In post","2022","Animal and Plant Health Agency","AA/AO","AA","Female","[c]","[c]","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","AA/AO","AA","Male","5","5","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","AA/AO","AO","Female","565","515","22020","21300"
"In post","2022","Animal and Plant Health Agency","AA/AO","AO","Male","290","280","22230","21300"
"In post","2022","Animal and Plant Health Agency","EO","EO","Female","485","460","26260","25320"
"In post","2022","Animal and Plant Health Agency","EO","EO","Male","340","325","26540","25730"
"In post","2022","Animal and Plant Health Agency","G6/G7","G6","Female","30","30","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","G6/G7","G6","Male","35","30","63220","62200"
"In post","2022","Animal and Plant Health Agency","G6/G7","G7","Female","85","85","51150","50600"
"In post","2022","Animal and Plant Health Agency","G6/G7","G7","Male","85","85","52570","52290"
"In post","2022","Animal and Plant Health Agency","SCS level","SCS level","Female","5","5","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","SCS level","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","SEO/HEO","HEO","Female","270","260","30870","30230"
"In post","2022","Animal and Plant Health Agency","SEO/HEO","HEO","Male","205","200","31340","30970"
"In post","2022","Animal and Plant Health Agency","SEO/HEO","SEO","Female","280","260","39210","37630"
"In post","2022","Animal and Plant Health Agency","SEO/HEO","SEO","Male","225","215","39630","37910"
"In post","2022","Attorney General's Office","EO","EO","Female","5","5","[c]","[c]"
"In post","2022","Attorney General's Office","EO","EO","Male","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Office","G6/G7","G6","Female","5","5","[c]","[c]"
"In post","2022","Attorney General's Office","G6/G7","G6","Male","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Office","G6/G7","G7","Female","5","5","[c]","[c]"
"In post","2022","Attorney General's Office","G6/G7","G7","Male","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Office","SCS level","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Office","SCS level","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Office","SEO/HEO","HEO","Female","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Office","SEO/HEO","HEO","Male","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Office","SEO/HEO","SEO","Female","5","5","[c]","[c]"
"In post","2022","Attorney General's Office","SEO/HEO","SEO","Male","[c]","[c]","[c]","[c]"
"In post","2022","Cabinet Office (excl. agencies)","AA/AO","AA","Female","[c]","[c]","[c]","[c]"
"In post","2022","Cabinet Office (excl. agencies)","AA/AO","AA","Male","[c]","[c]","[c]","[c]"
"In post","2022","Cabinet Office (excl. agencies)","AA/AO","AO","Female","275","245","21790","21050"
"In post","2022","Cabinet Office (excl. agencies)","AA/AO","AO","Male","190","185","21940","21170"
"In post","2022","Cabinet Office (excl. agencies)","EO","EO","Female","555","530","26650","27500"
"In post","2022","Cabinet Office (excl. agencies)","EO","EO","Male","360","355","26730","27500"
"In post","2022","Cabinet Office (excl. agencies)","G6/G7","G6","Female","510","500","68910","64840"
"In post","2022","Cabinet Office (excl. agencies)","G6/G7","G6","Male","515","515","70300","66440"
"In post","2022","Cabinet Office (excl. agencies)","G6/G7","G7","Female","1325","1285","56050","54700"
