"Status","Year","Age","Disability","Profession_of_post","Region_london","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","16-19","Declared disabled","Commercial","London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Commercial","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Communications","London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Communications","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Counter Fraud","London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Counter Fraud","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Digital, Data and Technology","London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Digital, Data and Technology","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Economics","London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Economics","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Finance","London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Finance","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Human Resources","London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Human Resources","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Internal Audit","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","International Trade","London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Knowledge and Information Management","London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Legal","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Operational Delivery","London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Operational Delivery","Outside London","20","20","[c]","[c]"
"In post","2022","16-19","Declared disabled","Operational Research","London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Operational Research","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Other","London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Other","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Other","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Policy","London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Policy","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Project Delivery","London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Project Delivery","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Property","London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Property","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Science and Engineering","Outside London","5","5","[c]","[c]"
"In post","2022","16-19","Declared disabled","Security","London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Security","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Statistics","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Tax","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Unknown","London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Unknown","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Veterinarian","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","Commercial","London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","Commercial","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","Communications","London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","Communications","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","Counter Fraud","London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","Counter Fraud","Outside London","5","5","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","Digital, Data and Technology","London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","Digital, Data and Technology","Outside London","15","15","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","Economics","London","15","15","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","Economics","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","Finance","London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","Finance","Outside London","15","15","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","Human Resources","London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","Human Resources","Outside London","5","5","[c]","[c]"
