"Status","Year","Disability","Region_ITL2","Responsibility_level_grouped","Responsibility_level_ungrouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Declared disabled","Bedfordshire and Hertfordshire","AA/AO","AA","30","30","20630","21480"
"In post","2022","Declared disabled","Bedfordshire and Hertfordshire","AA/AO","AO","90","80","24930","24250"
"In post","2022","Declared disabled","Bedfordshire and Hertfordshire","EO","EO","225","205","29080","29290"
"In post","2022","Declared disabled","Bedfordshire and Hertfordshire","G6/G7","G6","10","10","[c]","[c]"
"In post","2022","Declared disabled","Bedfordshire and Hertfordshire","G6/G7","G7","25","25","[c]","[c]"
"In post","2022","Declared disabled","Bedfordshire and Hertfordshire","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Bedfordshire and Hertfordshire","SEO/HEO","HEO","55","50","35240","35120"
"In post","2022","Declared disabled","Bedfordshire and Hertfordshire","SEO/HEO","SEO","40","40","45600","45090"
"In post","2022","Declared disabled","Bedfordshire and Hertfordshire","Unknown","Unknown","70","65","29160","28200"
"In post","2022","Declared disabled","Berkshire, Buckinghamshire and Oxfordshire","AA/AO","AA","55","50","21690","21480"
"In post","2022","Declared disabled","Berkshire, Buckinghamshire and Oxfordshire","AA/AO","AO","265","250","26340","25000"
"In post","2022","Declared disabled","Berkshire, Buckinghamshire and Oxfordshire","EO","EO","295","275","29130","27760"
"In post","2022","Declared disabled","Berkshire, Buckinghamshire and Oxfordshire","G6/G7","G6","15","10","[c]","[c]"
"In post","2022","Declared disabled","Berkshire, Buckinghamshire and Oxfordshire","G6/G7","G7","50","45","57070","55260"
"In post","2022","Declared disabled","Berkshire, Buckinghamshire and Oxfordshire","SCS level","SCS level","5","5","[c]","[c]"
"In post","2022","Declared disabled","Berkshire, Buckinghamshire and Oxfordshire","SEO/HEO","HEO","160","155","34650","34110"
"In post","2022","Declared disabled","Berkshire, Buckinghamshire and Oxfordshire","SEO/HEO","SEO","85","80","43300","41690"
