"Status","Year","Function_of_post","Profession_of_post","Sex","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Analysis","Commercial","Female","Heterosexual / straight","5","5","[c]","[c]"
"In post","2022","Analysis","Commercial","Female","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Commercial","Female","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Commercial","Female","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Commercial","Male","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Commercial","Male","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Commercial","Male","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Commercial","Male","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Commercial","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Commercial","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Communications","Female","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Communications","Female","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Communications","Female","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Communications","Female","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Communications","Male","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Communications","Male","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Communications","Male","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Communications","Male","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Communications","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Communications","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Corporate Finance","Female","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Corporate Finance","Female","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Corporate Finance","Female","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Corporate Finance","Female","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Corporate Finance","Male","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Corporate Finance","Male","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Corporate Finance","Male","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Corporate Finance","Male","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Corporate Finance","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Corporate Finance","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Digital, Data and Technology","Female","Heterosexual / straight","55","55","42750","41870"
"In post","2022","Analysis","Digital, Data and Technology","Female","LGBO","10","10","[c]","[c]"
"In post","2022","Analysis","Digital, Data and Technology","Female","Undeclared","10","10","[c]","[c]"
"In post","2022","Analysis","Digital, Data and Technology","Female","Unknown","5","5","[c]","[c]"
"In post","2022","Analysis","Digital, Data and Technology","Male","Heterosexual / straight","55","55","46160","45250"
"In post","2022","Analysis","Digital, Data and Technology","Male","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Digital, Data and Technology","Male","Undeclared","5","5","[c]","[c]"
"In post","2022","Analysis","Digital, Data and Technology","Male","Unknown","20","20","[c]","[c]"
"In post","2022","Analysis","Digital, Data and Technology","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Digital, Data and Technology","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Economics","Female","Heterosexual / straight","340","320","46800","39700"
"In post","2022","Analysis","Economics","Female","LGBO","35","35","41460","34710"
"In post","2022","Analysis","Economics","Female","Undeclared","45","40","45160","40650"
"In post","2022","Analysis","Economics","Female","Unknown","65","65","42400","37610"
"In post","2022","Analysis","Economics","Male","Heterosexual / straight","615","610","47970","43430"
"In post","2022","Analysis","Economics","Male","LGBO","50","50","43810","37970"
"In post","2022","Analysis","Economics","Male","Undeclared","75","70","49850","53050"
"In post","2022","Analysis","Economics","Male","Unknown","150","150","45440","37610"
"In post","2022","Analysis","Economics","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Economics","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Finance","Female","Heterosexual / straight","20","20","[c]","[c]"
"In post","2022","Analysis","Finance","Female","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Finance","Female","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Finance","Female","Unknown","5","5","[c]","[c]"
"In post","2022","Analysis","Finance","Male","Heterosexual / straight","20","20","[c]","[c]"
"In post","2022","Analysis","Finance","Male","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Finance","Male","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Finance","Male","Unknown","10","10","[c]","[c]"
"In post","2022","Analysis","Finance","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Finance","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Geography","Female","Heterosexual / straight","20","20","[c]","[c]"
"In post","2022","Analysis","Geography","Female","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Geography","Female","Undeclared","5","5","[c]","[c]"
"In post","2022","Analysis","Geography","Female","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Geography","Male","Heterosexual / straight","20","20","[c]","[c]"
"In post","2022","Analysis","Geography","Male","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Geography","Male","Undeclared","5","5","[c]","[c]"
"In post","2022","Analysis","Geography","Male","Unknown","5","5","[c]","[c]"
"In post","2022","Analysis","Geography","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Geography","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Human Resources","Female","Heterosexual / straight","15","15","[c]","[c]"
"In post","2022","Analysis","Human Resources","Female","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Human Resources","Female","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Human Resources","Female","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Human Resources","Male","Heterosexual / straight","15","15","[c]","[c]"
"In post","2022","Analysis","Human Resources","Male","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Human Resources","Male","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Human Resources","Male","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Human Resources","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Human Resources","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Intelligence Analysis","Female","Heterosexual / straight","35","35","36020","34870"
"In post","2022","Analysis","Intelligence Analysis","Female","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Intelligence Analysis","Female","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Intelligence Analysis","Female","Unknown","10","5","[c]","[c]"
"In post","2022","Analysis","Intelligence Analysis","Male","Heterosexual / straight","40","40","43490","43050"
"In post","2022","Analysis","Intelligence Analysis","Male","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Intelligence Analysis","Male","Undeclared","5","5","[c]","[c]"
"In post","2022","Analysis","Intelligence Analysis","Male","Unknown","15","15","[c]","[c]"
"In post","2022","Analysis","Intelligence Analysis","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Intelligence Analysis","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Internal Audit","Female","Heterosexual / straight","[c]","[c]","[c]","[c]"
