"Status","Year","Region_ITL1","Region_ITL3","Responsibility_level_grouped","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","East Midlands (England)","Derby","AA/AO","Female","320","260","21070","21260"
"In post","2022","East Midlands (England)","Derby","AA/AO","Male","185","180","23810","21260"
"In post","2022","East Midlands (England)","Derby","EO","Female","190","165","27200","27570"
"In post","2022","East Midlands (England)","Derby","EO","Male","105","100","28660","27570"
"In post","2022","East Midlands (England)","Derby","G6/G7","Female","10","10","[c]","[c]"
"In post","2022","East Midlands (England)","Derby","G6/G7","Male","20","20","[c]","[c]"
"In post","2022","East Midlands (England)","Derby","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2022","East Midlands (England)","Derby","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2022","East Midlands (England)","Derby","SEO/HEO","Female","40","35","35610","33100"
"In post","2022","East Midlands (England)","Derby","SEO/HEO","Male","20","20","[c]","[c]"
"In post","2022","East Midlands (England)","Derby","Unknown","Female","170","150","28900","28200"
"In post","2022","East Midlands (England)","Derby","Unknown","Male","60","60","31760","28200"
"In post","2022","East Midlands (England)","East Derbyshire","AA/AO","Female","85","70","20850","21260"
"In post","2022","East Midlands (England)","East Derbyshire","AA/AO","Male","20","20","[c]","[c]"
"In post","2022","East Midlands (England)","East Derbyshire","EO","Female","110","90","27260","27570"
"In post","2022","East Midlands (England)","East Derbyshire","EO","Male","65","60","27430","27570"
"In post","2022","East Midlands (England)","East Derbyshire","G6/G7","Female","10","5","[c]","[c]"
"In post","2022","East Midlands (England)","East Derbyshire","G6/G7","Male","10","10","[c]","[c]"
"In post","2022","East Midlands (England)","East Derbyshire","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2022","East Midlands (England)","East Derbyshire","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2022","East Midlands (England)","East Derbyshire","SEO/HEO","Female","25","25","[c]","[c]"
"In post","2022","East Midlands (England)","East Derbyshire","SEO/HEO","Male","15","15","[c]","[c]"
"In post","2022","East Midlands (England)","East Derbyshire","Unknown","Female","60","55","27630","26310"
"In post","2022","East Midlands (England)","East Derbyshire","Unknown","Male","15","15","[c]","[c]"
"In post","2022","East Midlands (England)","Leicester","AA/AO","Female","670","565","21470","21260"
"In post","2022","East Midlands (England)","Leicester","AA/AO","Male","455","435","22180","21260"
"In post","2022","East Midlands (England)","Leicester","EO","Female","400","355","27290","27570"
"In post","2022","East Midlands (England)","Leicester","EO","Male","320","305","27450","27570"
"In post","2022","East Midlands (England)","Leicester","G6/G7","Female","75","65","53930","53020"
"In post","2022","East Midlands (England)","Leicester","G6/G7","Male","40","40","57060","55610"
"In post","2022","East Midlands (England)","Leicester","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2022","East Midlands (England)","Leicester","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2022","East Midlands (England)","Leicester","SEO/HEO","Female","205","190","35630","33840"
"In post","2022","East Midlands (England)","Leicester","SEO/HEO","Male","160","155","36650","33840"
"In post","2022","East Midlands (England)","Leicester","Unknown","Female","225","205","28340","24800"
"In post","2022","East Midlands (England)","Leicester","Unknown","Male","65","60","31150","28200"
"In post","2022","East Midlands (England)","Leicestershire CC and Rutland","AA/AO","Female","485","435","22380","21140"
"In post","2022","East Midlands (England)","Leicestershire CC and Rutland","AA/AO","Male","395","385","24950","24260"
"In post","2022","East Midlands (England)","Leicestershire CC and Rutland","EO","Female","300","270","27460","27380"
"In post","2022","East Midlands (England)","Leicestershire CC and Rutland","EO","Male","275","265","28520","27380"
"In post","2022","East Midlands (England)","Leicestershire CC and Rutland","G6/G7","Female","35","30","61680","58280"
"In post","2022","East Midlands (England)","Leicestershire CC and Rutland","G6/G7","Male","45","45","63550","59000"
"In post","2022","East Midlands (England)","Leicestershire CC and Rutland","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2022","East Midlands (England)","Leicestershire CC and Rutland","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2022","East Midlands (England)","Leicestershire CC and Rutland","SEO/HEO","Female","185","170","37290","36050"
"In post","2022","East Midlands (England)","Leicestershire CC and Rutland","SEO/HEO","Male","215","210","39290","38160"
"In post","2022","East Midlands (England)","Leicestershire CC and Rutland","Unknown","Female","40","40","33750","33030"
"In post","2022","East Midlands (England)","Leicestershire CC and Rutland","Unknown","Male","5","5","[c]","[c]"
"In post","2022","East Midlands (England)","Lincolnshire CC","AA/AO","Female","695","630","21680","21260"
"In post","2022","East Midlands (England)","Lincolnshire CC","AA/AO","Male","615","600","23480","21430"
"In post","2022","East Midlands (England)","Lincolnshire CC","EO","Female","400","365","27340","27570"
"In post","2022","East Midlands (England)","Lincolnshire CC","EO","Male","350","335","28150","27570"
"In post","2022","East Midlands (England)","Lincolnshire CC","G6/G7","Female","50","50","58560","54350"
"In post","2022","East Midlands (England)","Lincolnshire CC","G6/G7","Male","70","65","60250","57720"
"In post","2022","East Midlands (England)","Lincolnshire CC","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2022","East Midlands (England)","Lincolnshire CC","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2022","East Midlands (England)","Lincolnshire CC","SEO/HEO","Female","265","250","36070","34170"
"In post","2022","East Midlands (England)","Lincolnshire CC","SEO/HEO","Male","355","345","37440","36470"
"In post","2022","East Midlands (England)","Lincolnshire CC","Unknown","Female","160","150","29850","28200"
"In post","2022","East Midlands (England)","Lincolnshire CC","Unknown","Male","50","50","31210","28200"
"In post","2022","East Midlands (England)","North Northamptonshire","AA/AO","Female","190","155","21280","21260"
"In post","2022","East Midlands (England)","North Northamptonshire","AA/AO","Male","65","60","22260","21260"
"In post","2022","East Midlands (England)","North Northamptonshire","EO","Female","130","115","27450","27570"
"In post","2022","East Midlands (England)","North Northamptonshire","EO","Male","70","70","27950","27570"
"In post","2022","East Midlands (England)","North Northamptonshire","G6/G7","Female","[c]","[c]","[c]","[c]"
"In post","2022","East Midlands (England)","North Northamptonshire","G6/G7","Male","[c]","[c]","[c]","[c]"
"In post","2022","East Midlands (England)","North Northamptonshire","SCS level","Female","[c]","[c]","[c]","[c]"
