"Status","Year","Age","Profession_of_post","Region_ITL1","Region_ITL2","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","16-19","Commercial","London","Inner London - West","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Commercial","North West (England)","Merseyside","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Commercial","Scotland","Eastern Scotland","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Commercial","South West (England)","Gloucestershire, Wiltshire and Bath/Bristol area","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Commercial","West Midlands (England)","West Midlands","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Communications","London","Inner London - East","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Communications","London","Inner London - West","10","10","[c]","[c]"
"In post","2022","16-19","Communications","London","Outer London - South","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Communications","Wales","East Wales","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Counter Fraud","London","Outer London - East and North East","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Counter Fraud","North West (England)","Greater Manchester","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Counter Fraud","Scotland","Southern Scotland","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Counter Fraud","South East (England)","Kent","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Counter Fraud","South West (England)","Cornwall and Isles of Scilly","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Digital, Data and Technology","London","Inner London - East","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Digital, Data and Technology","London","Inner London - West","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Digital, Data and Technology","North East (England)","Northumberland, and Tyne and Wear","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Digital, Data and Technology","Scotland","Eastern Scotland","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Digital, Data and Technology","South East (England)","Berkshire, Buckinghamshire and Oxfordshire","5","5","[c]","[c]"
"In post","2022","16-19","Digital, Data and Technology","South East (England)","Hampshire and Isle of Wight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Digital, Data and Technology","South West (England)","Devon","10","10","18800","19380"
"In post","2022","16-19","Digital, Data and Technology","South West (England)","Gloucestershire, Wiltshire and Bath/Bristol area","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Digital, Data and Technology","Wales","West Wales and The Valleys","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Digital, Data and Technology","West Midlands (England)","West Midlands","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Digital, Data and Technology","Yorkshire and The Humber","West Yorkshire","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Economics","London","Inner London - East","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Economics","London","Inner London - West","15","15","25610","24300"
"In post","2022","16-19","Economics","North West (England)","Merseyside","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Economics","Wales","East Wales","5","5","[c]","[c]"
"In post","2022","16-19","Finance","London","Inner London - West","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Finance","North West (England)","Greater Manchester","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Finance","Scotland","Eastern Scotland","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Finance","Scotland","West Central Scotland","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Finance","South East (England)","Berkshire, Buckinghamshire and Oxfordshire","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Finance","South West (England)","Gloucestershire, Wiltshire and Bath/Bristol area","15","15","19730","19460"
"In post","2022","16-19","Finance","West Midlands (England)","West Midlands","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Finance","Yorkshire and The Humber","South Yorkshire","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Finance","Yorkshire and The Humber","West Yorkshire","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Human Resources","East Midlands (England)","Derbyshire and Nottinghamshire","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Human Resources","London","Inner London - West","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Human Resources","North West (England)","Greater Manchester","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Human Resources","North West (England)","Merseyside","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Human Resources","Scotland","Eastern Scotland","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Human Resources","South East (England)","Hampshire and Isle of Wight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Human Resources","South West (England)","Gloucestershire, Wiltshire and Bath/Bristol area","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Human Resources","Wales","East Wales","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Human Resources","West Midlands (England)","Shropshire and Staffordshire","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Internal Audit","South East (England)","Hampshire and Isle of Wight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","International Trade","London","Inner London - West","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Knowledge and Information Management","London","Inner London - West","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Legal","East of England","Bedfordshire and Hertfordshire","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Legal","South West (England)","Gloucestershire, Wiltshire and Bath/Bristol area","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Operational Delivery","East Midlands (England)","Derbyshire and Nottinghamshire","20","20","22330","21250"
"In post","2022","16-19","Operational Delivery","East Midlands (England)","Leicestershire, Rutland and Northamptonshire","20","15","22060","21110"
"In post","2022","16-19","Operational Delivery","East Midlands (England)","Lincolnshire","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Operational Delivery","East of England","Bedfordshire and Hertfordshire","10","10","[c]","[c]"
"In post","2022","16-19","Operational Delivery","East of England","East Anglia","25","20","22910","21820"
"In post","2022","16-19","Operational Delivery","East of England","Essex","10","10","[c]","[c]"
"In post","2022","16-19","Operational Delivery","London","Inner London - East","10","10","26740","25220"
"In post","2022","16-19","Operational Delivery","London","Inner London - West","15","15","24100","22710"
"In post","2022","16-19","Operational Delivery","London","Outer London - East and North East","5","5","[c]","[c]"
"In post","2022","16-19","Operational Delivery","London","Outer London - South","5","5","[c]","[c]"
"In post","2022","16-19","Operational Delivery","London","Outer London - West and North West","10","5","[c]","[c]"
"In post","2022","16-19","Operational Delivery","North East (England)","Northumberland, and Tyne and Wear","30","30","21430","21260"
"In post","2022","16-19","Operational Delivery","North East (England)","Tees Valley and Durham","15","15","22110","23140"
"In post","2022","16-19","Operational Delivery","North West (England)","Cheshire","5","5","[c]","[c]"
"In post","2022","16-19","Operational Delivery","North West (England)","Cumbria","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Operational Delivery","North West (England)","Greater Manchester","35","30","21560","21250"
"In post","2022","16-19","Operational Delivery","North West (England)","Lancashire","25","25","22040","21260"
