"Status","Year","Ethnicity","Region_ITL1","Region_london","Responsibility_level_grouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Asian","East Midlands (England)","Outside London","AA/AO","765","665","21580","21250"
"In post","2022","Asian","East Midlands (England)","Outside London","EO","605","565","27110","27570"
"In post","2022","Asian","East Midlands (England)","Outside London","G6/G7","100","95","57200","55210"
"In post","2022","Asian","East Midlands (England)","Outside London","SCS level","5","5","[c]","[c]"
"In post","2022","Asian","East Midlands (England)","Outside London","SEO/HEO","390","370","35250","33370"
"In post","2022","Asian","East Midlands (England)","Outside London","Unknown","80","70","29300","28200"
"In post","2022","Asian","East of England","Outside London","AA/AO","365","315","23050","21680"
"In post","2022","Asian","East of England","Outside London","EO","450","420","28130","27570"
"In post","2022","Asian","East of England","Outside London","G6/G7","75","70","61320","59410"
"In post","2022","Asian","East of England","Outside London","SCS level","15","10","[c]","[c]"
"In post","2022","Asian","East of England","Outside London","SEO/HEO","220","210","38250","37000"
"In post","2022","Asian","East of England","Outside London","Unknown","50","45","26920","24800"
"In post","2022","Asian","London","London","AA/AO","2355","2085","25150","25110"
"In post","2022","Asian","London","London","EO","4585","4275","29980","30500"
"In post","2022","Asian","London","London","G6/G7","2555","2485","59910","58010"
"In post","2022","Asian","London","London","SCS level","230","225","90640","82870"
"In post","2022","Asian","London","London","SEO/HEO","4890","4780","38650","37930"
"In post","2022","Asian","London","London","Unknown","185","180","32880","32090"
"In post","2022","Asian","North East (England)","Outside London","AA/AO","220","195","21450","21260"
"In post","2022","Asian","North East (England)","Outside London","EO","160","150","26710","26820"
"In post","2022","Asian","North East (England)","Outside London","G6/G7","55","55","55480","55000"
"In post","2022","Asian","North East (England)","Outside London","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Asian","North East (England)","Outside London","SEO/HEO","140","135","36390","34500"
"In post","2022","Asian","North East (England)","Outside London","Unknown","10","10","[c]","[c]"
"In post","2022","Asian","North West (England)","Outside London","AA/AO","1155","1020","21280","21260"
"In post","2022","Asian","North West (England)","Outside London","EO","1020","965","26860","27570"
"In post","2022","Asian","North West (England)","Outside London","G6/G7","205","200","55890","55160"
"In post","2022","Asian","North West (England)","Outside London","SCS level","15","15","[c]","[c]"
"In post","2022","Asian","North West (England)","Outside London","SEO/HEO","745","725","35120","33370"
"In post","2022","Asian","North West (England)","Outside London","Unknown","95","90","28860","24800"
"In post","2022","Asian","Northern Ireland","Outside London","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Northern Ireland","Outside London","EO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Northern Ireland","Outside London","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Northern Ireland","Outside London","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Northern Ireland","Outside London","SEO/HEO","10","5","[c]","[c]"
