"Status","Year","Age","Ethnicity","Responsibility_level_grouped","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","16-19","Asian","AA/AO","Female","25","25","[c]","[c]"
"In post","2022","16-19","Asian","AA/AO","Male","40","35","21340","21250"
"In post","2022","16-19","Asian","AA/AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","EO","Female","15","15","[c]","[c]"
"In post","2022","16-19","Asian","EO","Male","15","15","[c]","[c]"
"In post","2022","16-19","Asian","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","SEO/HEO","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","SEO/HEO","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","SEO/HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Black","AA/AO","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Black","AA/AO","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Black","AA/AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Black","EO","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Black","EO","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Black","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Black","SEO/HEO","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Black","SEO/HEO","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Black","SEO/HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Black","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Black","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Black","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Mixed","AA/AO","Female","10","10","[c]","[c]"
"In post","2022","16-19","Mixed","AA/AO","Male","10","5","[c]","[c]"
"In post","2022","16-19","Mixed","AA/AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Mixed","EO","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Mixed","EO","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Mixed","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Mixed","SEO/HEO","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Mixed","SEO/HEO","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Mixed","SEO/HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Mixed","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Mixed","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Mixed","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Other ethnicity","AA/AO","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Other ethnicity","AA/AO","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Other ethnicity","AA/AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Other ethnicity","EO","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Other ethnicity","EO","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Other ethnicity","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Other ethnicity","SEO/HEO","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Other ethnicity","SEO/HEO","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Other ethnicity","SEO/HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Other ethnicity","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Other ethnicity","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Other ethnicity","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Undeclared","AA/AO","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Undeclared","AA/AO","Male","5","5","[c]","[c]"
"In post","2022","16-19","Undeclared","EO","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Undeclared","EO","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Undeclared","SEO/HEO","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Undeclared","SEO/HEO","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Undeclared","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Undeclared","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Unknown","AA/AO","Female","170","165","21580","21250"
"In post","2022","16-19","Unknown","AA/AO","Male","175","165","21500","21250"
"In post","2022","16-19","Unknown","EO","Female","30","30","25530","25080"
"In post","2022","16-19","Unknown","EO","Male","70","70","21250","18030"
"In post","2022","16-19","Unknown","SEO/HEO","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Unknown","SEO/HEO","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Unknown","Unknown","Female","15","15","[c]","[c]"
"In post","2022","16-19","Unknown","Unknown","Male","30","30","17850","16720"
"In post","2022","16-19","White","AA/AO","Female","260","250","21510","21250"
"In post","2022","16-19","White","AA/AO","Male","185","180","21130","21260"
"In post","2022","16-19","White","AA/AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","White","EO","Female","65","65","24620","25000"
"In post","2022","16-19","White","EO","Male","85","85","22550","23880"
"In post","2022","16-19","White","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","White","SEO/HEO","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","White","SEO/HEO","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","White","SEO/HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","White","Unknown","Female","5","5","[c]","[c]"
"In post","2022","16-19","White","Unknown","Male","25","25","[c]","[c]"
"In post","2022","16-19","White","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Asian","AA/AO","Female","995","940","22080","21260"
"In post","2022","20-29","Asian","AA/AO","Male","865","835","22290","21260"
"In post","2022","20-29","Asian","AA/AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Asian","EO","Female","1390","1370","28040","27570"
"In post","2022","20-29","Asian","EO","Male","1145","1135","27890","27570"
"In post","2022","20-29","Asian","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Asian","G6/G7","Female","180","180","54110","53380"
"In post","2022","20-29","Asian","G6/G7","Male","160","160","56160","55210"
"In post","2022","20-29","Asian","G6/G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Asian","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Asian","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Asian","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Asian","SEO/HEO","Female","1110","1100","35390","34610"
"In post","2022","20-29","Asian","SEO/HEO","Male","900","900","35320","34020"
"In post","2022","20-29","Asian","SEO/HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Asian","Unknown","Female","125","125","25260","24090"
"In post","2022","20-29","Asian","Unknown","Male","40","40","26280","25560"
"In post","2022","20-29","Asian","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Black","AA/AO","Female","335","330","24250","23720"
"In post","2022","20-29","Black","AA/AO","Male","185","185","24140","23720"
"In post","2022","20-29","Black","AA/AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Black","EO","Female","700","690","28830","28650"
"In post","2022","20-29","Black","EO","Male","265","265","28550","28310"
"In post","2022","20-29","Black","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Black","G6/G7","Female","70","70","54180","53380"
"In post","2022","20-29","Black","G6/G7","Male","30","30","[c]","[c]"
"In post","2022","20-29","Black","G6/G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Black","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Black","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Black","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Black","SEO/HEO","Female","440","435","35600","34710"
"In post","2022","20-29","Black","SEO/HEO","Male","200","200","35430","34260"
"In post","2022","20-29","Black","SEO/HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Black","Unknown","Female","120","120","27110","27060"
"In post","2022","20-29","Black","Unknown","Male","25","25","[c]","[c]"
"In post","2022","20-29","Black","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Mixed","AA/AO","Female","365","350","23370","21840"
"In post","2022","20-29","Mixed","AA/AO","Male","270","265","23760","21840"
"In post","2022","20-29","Mixed","AA/AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Mixed","EO","Female","420","405","27940","27570"
"In post","2022","20-29","Mixed","EO","Male","265","265","27910","27570"
"In post","2022","20-29","Mixed","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Mixed","G6/G7","Female","110","110","55270","53530"
"In post","2022","20-29","Mixed","G6/G7","Male","85","85","54710","53970"
"In post","2022","20-29","Mixed","G6/G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Mixed","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Mixed","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Mixed","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Mixed","SEO/HEO","Female","475","475","34970","34020"
"In post","2022","20-29","Mixed","SEO/HEO","Male","330","330","35610","34550"
"In post","2022","20-29","Mixed","SEO/HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Mixed","Unknown","Female","85","85","25190","23170"
"In post","2022","20-29","Mixed","Unknown","Male","25","25","[c]","[c]"
"In post","2022","20-29","Mixed","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Other ethnicity","AA/AO","Female","65","65","23020","21840"
"In post","2022","20-29","Other ethnicity","AA/AO","Male","50","50","24820","23740"
"In post","2022","20-29","Other ethnicity","AA/AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Other ethnicity","EO","Female","115","110","28310","27760"
"In post","2022","20-29","Other ethnicity","EO","Male","60","60","28290","27570"
"In post","2022","20-29","Other ethnicity","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Other ethnicity","G6/G7","Female","10","10","[c]","[c]"
"In post","2022","20-29","Other ethnicity","G6/G7","Male","25","25","[c]","[c]"
"In post","2022","20-29","Other ethnicity","G6/G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Other ethnicity","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Other ethnicity","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Other ethnicity","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Other ethnicity","SEO/HEO","Female","95","95","36840","36450"
"In post","2022","20-29","Other ethnicity","SEO/HEO","Male","70","70","35510","34550"
"In post","2022","20-29","Other ethnicity","SEO/HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Other ethnicity","Unknown","Female","15","15","[c]","[c]"
"In post","2022","20-29","Other ethnicity","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Other ethnicity","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Undeclared","AA/AO","Female","135","125","22730","21680"
"In post","2022","20-29","Undeclared","AA/AO","Male","200","195","23820","21840"
"In post","2022","20-29","Undeclared","EO","Female","140","140","28420","27570"
"In post","2022","20-29","Undeclared","EO","Male","235","235","27960","27570"
"In post","2022","20-29","Undeclared","G6/G7","Female","30","30","54840","54130"
"In post","2022","20-29","Undeclared","G6/G7","Male","70","70","55250","54700"
"In post","2022","20-29","Undeclared","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Undeclared","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Undeclared","SEO/HEO","Female","155","150","35510","34250"
"In post","2022","20-29","Undeclared","SEO/HEO","Male","335","335","35660","35000"
"In post","2022","20-29","Undeclared","Unknown","Female","20","20","[c]","[c]"
"In post","2022","20-29","Undeclared","Unknown","Male","25","25","[c]","[c]"
"In post","2022","20-29","Unknown","AA/AO","Female","3940","3790","22590","21300"
"In post","2022","20-29","Unknown","AA/AO","Male","3775","3720","23000","21640"
"In post","2022","20-29","Unknown","EO","Female","2625","2590","27320","27130"
"In post","2022","20-29","Unknown","EO","Male","2290","2280","27140","26820"
"In post","2022","20-29","Unknown","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Unknown","G6/G7","Female","520","520","55540","54400"
"In post","2022","20-29","Unknown","G6/G7","Male","515","515","56110","54700"
"In post","2022","20-29","Unknown","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Unknown","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Unknown","SEO/HEO","Female","3315","3300","33710","33080"
"In post","2022","20-29","Unknown","SEO/HEO","Male","3075","3065","34120","33250"
"In post","2022","20-29","Unknown","SEO/HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Unknown","Unknown","Female","725","700","24650","24090"
"In post","2022","20-29","Unknown","Unknown","Male","480","480","27280","26110"
"In post","2022","20-29","White","AA/AO","Female","8375","8085","22600","21260"
"In post","2022","20-29","White","AA/AO","Male","7000","6935","23250","21680"
"In post","2022","20-29","White","AA/AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","20-29","White","EO","Female","7780","7660","27180","27230"
"In post","2022","20-29","White","EO","Male","5725","5700","27050","27130"
"In post","2022","20-29","White","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","20-29","White","G6/G7","Female","1770","1765","54340","53380"
"In post","2022","20-29","White","G6/G7","Male","1455","1450","54980","54110"
"In post","2022","20-29","White","G6/G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","20-29","White","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2022","20-29","White","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2022","20-29","White","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","20-29","White","SEO/HEO","Female","8320","8260","34830","33500"
"In post","2022","20-29","White","SEO/HEO","Male","6725","6710","34930","33570"
"In post","2022","20-29","White","SEO/HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","20-29","White","Unknown","Female","1980","1950","25960","24090"
"In post","2022","20-29","White","Unknown","Male","585","580","26480","25750"
"In post","2022","20-29","White","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","30-39","Asian","AA/AO","Female","1035","855","22030","21260"
"In post","2022","30-39","Asian","AA/AO","Male","925","890","22960","21260"
"In post","2022","30-39","Asian","AA/AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","30-39","Asian","EO","Female","1435","1305","27960","27570"
"In post","2022","30-39","Asian","EO","Male","1350","1335","28050","27570"
"In post","2022","30-39","Asian","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","30-39","Asian","G6/G7","Female","700","680","57510","54850"
"In post","2022","30-39","Asian","G6/G7","Male","620","615","58240","55210"
"In post","2022","30-39","Asian","G6/G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","30-39","Asian","SCS level","Female","25","25","[c]","[c]"
"In post","2022","30-39","Asian","SCS level","Male","35","35","83700","75700"
"In post","2022","30-39","Asian","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","30-39","Asian","SEO/HEO","Female","1425","1370","36890","36050"
"In post","2022","30-39","Asian","SEO/HEO","Male","1450","1435","36910","35770"
"In post","2022","30-39","Asian","SEO/HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","30-39","Asian","Unknown","Female","140","125","28600","27980"
"In post","2022","30-39","Asian","Unknown","Male","80","75","29330","27340"
"In post","2022","30-39","Asian","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","30-39","Black","AA/AO","Female","400","355","23200","21490"
"In post","2022","30-39","Black","AA/AO","Male","345","340","26330","24780"
"In post","2022","30-39","Black","AA/AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","30-39","Black","EO","Female","715","675","28850","28670"
"In post","2022","30-39","Black","EO","Male","360","360","28860","28670"
"In post","2022","30-39","Black","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","30-39","Black","G6/G7","Female","240","235","55690","53610"
"In post","2022","30-39","Black","G6/G7","Male","135","135","55590","54110"
"In post","2022","30-39","Black","G6/G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","30-39","Black","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2022","30-39","Black","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2022","30-39","Black","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","30-39","Black","SEO/HEO","Female","730","715","36610","36470"
"In post","2022","30-39","Black","SEO/HEO","Male","365","365","36780","36330"
"In post","2022","30-39","Black","SEO/HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","30-39","Black","Unknown","Female","195","185","29800","27980"
"In post","2022","30-39","Black","Unknown","Male","40","40","30860","31420"
"In post","2022","30-39","Black","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","30-39","Mixed","AA/AO","Female","255","225","23130","21430"
"In post","2022","30-39","Mixed","AA/AO","Male","200","195","24610","23230"
"In post","2022","30-39","Mixed","AA/AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","30-39","Mixed","EO","Female","370","345","28030","27570"
"In post","2022","30-39","Mixed","EO","Male","225","220","28590","27570"
"In post","2022","30-39","Mixed","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","30-39","Mixed","G6/G7","Female","295","285","57090","55110"
"In post","2022","30-39","Mixed","G6/G7","Male","245","240","57960","56160"
"In post","2022","30-39","Mixed","G6/G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","30-39","Mixed","SCS level","Female","20","20","[c]","[c]"
"In post","2022","30-39","Mixed","SCS level","Male","25","25","[c]","[c]"
"In post","2022","30-39","Mixed","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","30-39","Mixed","SEO/HEO","Female","470","450","37110","36320"
"In post","2022","30-39","Mixed","SEO/HEO","Male","345","340","37260","36780"
"In post","2022","30-39","Mixed","SEO/HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","30-39","Mixed","Unknown","Female","130","125","29520","28200"
"In post","2022","30-39","Mixed","Unknown","Male","35","35","28870","29090"
"In post","2022","30-39","Mixed","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","30-39","Other ethnicity","AA/AO","Female","60","55","23200","21840"
"In post","2022","30-39","Other ethnicity","AA/AO","Male","50","50","24940","22600"
"In post","2022","30-39","Other ethnicity","AA/AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","30-39","Other ethnicity","EO","Female","85","80","28870","28660"
"In post","2022","30-39","Other ethnicity","EO","Male","55","55","28510","27850"
"In post","2022","30-39","Other ethnicity","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","30-39","Other ethnicity","G6/G7","Female","85","85","58460","55810"
"In post","2022","30-39","Other ethnicity","G6/G7","Male","55","55","57760","54700"
"In post","2022","30-39","Other ethnicity","G6/G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","30-39","Other ethnicity","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2022","30-39","Other ethnicity","SCS level","Male","5","5","[c]","[c]"
"In post","2022","30-39","Other ethnicity","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","30-39","Other ethnicity","SEO/HEO","Female","110","105","36490","36390"
"In post","2022","30-39","Other ethnicity","SEO/HEO","Male","90","90","37440","37530"
"In post","2022","30-39","Other ethnicity","SEO/HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","30-39","Other ethnicity","Unknown","Female","15","10","[c]","[c]"
"In post","2022","30-39","Other ethnicity","Unknown","Male","5","5","[c]","[c]"
"In post","2022","30-39","Other ethnicity","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","30-39","Undeclared","AA/AO","Female","270","225","22560","21410"
"In post","2022","30-39","Undeclared","AA/AO","Male","395","385","24120","21680"
"In post","2022","30-39","Undeclared","EO","Female","360","335","28200","27570"
"In post","2022","30-39","Undeclared","EO","Male","495","490","28470","27570"
"In post","2022","30-39","Undeclared","G6/G7","Female","200","190","58030","55210"
"In post","2022","30-39","Undeclared","G6/G7","Male","450","445","56710","55210"
"In post","2022","30-39","Undeclared","SCS level","Female","15","15","[c]","[c]"
"In post","2022","30-39","Undeclared","SCS level","Male","15","15","[c]","[c]"
"In post","2022","30-39","Undeclared","SEO/HEO","Female","365","345","36920","36520"
"In post","2022","30-39","Undeclared","SEO/HEO","Male","775","775","37450","36960"
"In post","2022","30-39","Undeclared","Unknown","Female","60","55","32370","32040"
"In post","2022","30-39","Undeclared","Unknown","Male","45","45","34930","34870"
