"Status","Year","Age","Region_ITL2","Region_london","Responsibility_level_ungrouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","16-19","Bedfordshire and Hertfordshire","Outside London","AA","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Bedfordshire and Hertfordshire","Outside London","AO","5","5","[c]","[c]"
"In post","2022","16-19","Bedfordshire and Hertfordshire","Outside London","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Berkshire, Buckinghamshire and Oxfordshire","Outside London","AA","5","5","[c]","[c]"
"In post","2022","16-19","Berkshire, Buckinghamshire and Oxfordshire","Outside London","AO","10","10","23970","22600"
"In post","2022","16-19","Berkshire, Buckinghamshire and Oxfordshire","Outside London","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Berkshire, Buckinghamshire and Oxfordshire","Outside London","Unknown","25","25","19200","19110"
"In post","2022","16-19","Cheshire","Outside London","AA","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Cheshire","Outside London","AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Cornwall and Isles of Scilly","Outside London","AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Cornwall and Isles of Scilly","Outside London","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Cumbria","Outside London","AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Derbyshire and Nottinghamshire","Outside London","AA","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Derbyshire and Nottinghamshire","Outside London","AO","20","20","21840","21250"
"In post","2022","16-19","Derbyshire and Nottinghamshire","Outside London","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Devon","Outside London","AA","10","10","18240","19380"
"In post","2022","16-19","Devon","Outside London","AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Devon","Outside London","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Devon","Outside London","Unknown","10","10","18010","18030"
"In post","2022","16-19","Dorset and Somerset","Outside London","AA","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Dorset and Somerset","Outside London","AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","East Anglia","Outside London","AA","[c]","[c]","[c]","[c]"
"In post","2022","16-19","East Anglia","Outside London","AO","25","25","22240","21680"
"In post","2022","16-19","East Anglia","Outside London","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","East Wales","Outside London","AA","15","15","18390","17450"
"In post","2022","16-19","East Wales","Outside London","AO","25","25","21020","21250"
"In post","2022","16-19","East Wales","Outside London","EO","10","10","25260","23880"
"In post","2022","16-19","East Yorkshire and Northern Lincolnshire","Outside London","AA","[c]","[c]","[c]","[c]"
"In post","2022","16-19","East Yorkshire and Northern Lincolnshire","Outside London","AO","5","5","[c]","[c]"
"In post","2022","16-19","East Yorkshire and Northern Lincolnshire","Outside London","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Eastern Scotland","Outside London","AA","30","30","21380","21050"
"In post","2022","16-19","Eastern Scotland","Outside London","AO","25","25","21750","21250"
"In post","2022","16-19","Eastern Scotland","Outside London","EO","5","5","[c]","[c]"
"In post","2022","16-19","Essex","Outside London","AA","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Essex","Outside London","AO","5","5","[c]","[c]"
"In post","2022","16-19","Gloucestershire, Wiltshire and Bath/Bristol area","Outside London","AA","15","15","18070","18710"
"In post","2022","16-19","Gloucestershire, Wiltshire and Bath/Bristol area","Outside London","AO","25","25","22000","22220"
"In post","2022","16-19","Gloucestershire, Wiltshire and Bath/Bristol area","Outside London","EO","95","95","19020","18030"
"In post","2022","16-19","Gloucestershire, Wiltshire and Bath/Bristol area","Outside London","Unknown","5","5","[c]","[c]"
