"Status","Year","Profession_of_post","Region_ITL3","Responsibility_level_ungrouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Commercial","Aberdeen City and Aberdeenshire","AO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Aberdeen City and Aberdeenshire","EO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Aberdeen City and Aberdeenshire","HEO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Aberdeen City and Aberdeenshire","SEO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Angus and Dundee City","HEO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Antrim and Newtownabbey","HEO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Barking & Dagenham and Havering","HEO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Barnet","EO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Barnet","G6","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Barnet","G7","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Barnet","HEO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Barnet","SEO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Barnet","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Barnsley, Doncaster and Rotherham","EO","5","5","[c]","[c]"
"In post","2022","Commercial","Barnsley, Doncaster and Rotherham","HEO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Barnsley, Doncaster and Rotherham","SEO","5","5","[c]","[c]"
"In post","2022","Commercial","Bath and North East Somerset, North Somerset and South Gloucestershire","AO","5","5","[c]","[c]"
"In post","2022","Commercial","Bath and North East Somerset, North Somerset and South Gloucestershire","EO","150","145","24170","24000"
"In post","2022","Commercial","Bath and North East Somerset, North Somerset and South Gloucestershire","G6","70","65","69800","68320"
"In post","2022","Commercial","Bath and North East Somerset, North Somerset and South Gloucestershire","G7","140","135","52960","53500"
"In post","2022","Commercial","Bath and North East Somerset, North Somerset and South Gloucestershire","HEO","340","330","31330","32890"
"In post","2022","Commercial","Bath and North East Somerset, North Somerset and South Gloucestershire","SCS level","20","15","105120","103620"
