"Status","Year","Region_ITL1","Responsibility_level_grouped","Responsibility_level_ungrouped","Headcount","FTE","Mean_salary","Median_salary"
"Leaver CS","2022","Northern Ireland","G6/G7","G6","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Northern Ireland","G6/G7","G7","10","[c]","[c]","[c]"
"Leaver CS","2022","Northern Ireland","SCS level","SCS level","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Northern Ireland","SEO/HEO","HEO","30","[c]","34160","33380"
"Leaver CS","2022","Northern Ireland","SEO/HEO","SEO","15","[c]","[c]","[c]"
"Leaver CS","2022","Overseas","EO","EO","10","[c]","[c]","[c]"
"Leaver CS","2022","Overseas","G6/G7","G6","15","[c]","72280","71830"
"Leaver CS","2022","Overseas","G6/G7","G7","20","[c]","59750","54540"
"Leaver CS","2022","Overseas","SCS level","SCS level","10","[c]","[c]","[c]"
"Leaver CS","2022","Overseas","SEO/HEO","HEO","55","[c]","39560","39030"
"Leaver CS","2022","Overseas","SEO/HEO","SEO","20","[c]","45880","44990"
"Leaver CS","2022","Overseas","Unknown","Unknown","10","[c]","[c]","[c]"
"Leaver CS","2022","Scotland","AA/AO","AA","250","[c]","21680","21050"
"Leaver CS","2022","Scotland","AA/AO","AO","1555","[c]","23410","21310"
"Leaver CS","2022","Scotland","EO","EO","940","[c]","28860","27570"
"Leaver CS","2022","Scotland","G6/G7","G6","95","[c]","73950","75340"
"Leaver CS","2022","Scotland","G6/G7","G7","155","[c]","57150","57190"
"Leaver CS","2022","Scotland","SCS level","SCS level","30","[c]","91950","83230"
"Leaver CS","2022","Scotland","SEO/HEO","HEO","390","[c]","35040","34400"
"Leaver CS","2022","Scotland","SEO/HEO","SEO","310","[c]","44790","45970"
"Leaver CS","2022","Scotland","Unknown","Unknown","15","[c]","34490","33000"
"Leaver CS","2022","South East (England)","AA/AO","AA","490","[c]","19330","19050"
"Leaver CS","2022","South East (England)","AA/AO","AO","1695","[c]","22800","21260"
"Leaver CS","2022","South East (England)","EO","EO","1150","[c]","27730","27570"
"Leaver CS","2022","South East (England)","G6/G7","G6","55","[c]","72190","68440"
"Leaver CS","2022","South East (England)","G6/G7","G7","185","[c]","55950","54540"
"Leaver CS","2022","South East (England)","SCS level","SCS level","25","[c]","102580","100850"
"Leaver CS","2022","South East (England)","SEO/HEO","HEO","430","[c]","33550","33300"
"Leaver CS","2022","South East (England)","SEO/HEO","SEO","310","[c]","42540","40580"
"Leaver CS","2022","South East (England)","Unknown","Unknown","235","[c]","26860","24090"
"Leaver CS","2022","South West (England)","AA/AO","AA","300","[c]","19250","19100"
"Leaver CS","2022","South West (England)","AA/AO","AO","965","[c]","22130","21170"
"Leaver CS","2022","South West (England)","EO","EO","930","[c]","25830","26780"
"Leaver CS","2022","South West (England)","G6/G7","G6","90","[c]","69840","67220"
"Leaver CS","2022","South West (England)","G6/G7","G7","265","[c]","53960","54190"
"Leaver CS","2022","South West (England)","SCS level","SCS level","40","[c]","101270","94780"
"Leaver CS","2022","South West (England)","SEO/HEO","HEO","660","[c]","32440","33000"
"Leaver CS","2022","South West (England)","SEO/HEO","SEO","555","[c]","41240","40580"
"Leaver CS","2022","South West (England)","Unknown","Unknown","265","[c]","38530","37610"
"Leaver CS","2022","Unknown","AA/AO","AA","115","[c]","18480","18310"
"Leaver CS","2022","Unknown","AA/AO","AO","270","[c]","21830","21840"
"Leaver CS","2022","Unknown","EO","EO","125","[c]","27330","27570"
"Leaver CS","2022","Unknown","G6/G7","G6","25","[c]","72780","67940"
"Leaver CS","2022","Unknown","G6/G7","G7","55","[c]","58450","56520"
"Leaver CS","2022","Unknown","SCS level","SCS level","20","[c]","99780","84560"
"Leaver CS","2022","Unknown","SEO/HEO","HEO","70","[c]","33890","33350"
"Leaver CS","2022","Unknown","SEO/HEO","SEO","70","[c]","42070","41090"
"Leaver CS","2022","Unknown","Unknown","Unknown","485","[c]","35910","33270"
"Leaver CS","2022","Wales","AA/AO","AA","85","[c]","18900","19200"
"Leaver CS","2022","Wales","AA/AO","AO","970","[c]","21100","21260"
"Leaver CS","2022","Wales","EO","EO","485","[c]","26950","27570"
"Leaver CS","2022","Wales","G6/G7","G6","35","[c]","71170","74730"
"Leaver CS","2022","Wales","G6/G7","G7","95","[c]","57120","59220"
"Leaver CS","2022","Wales","SCS level","SCS level","30","[c]","96350","92900"
"Leaver CS","2022","Wales","SEO/HEO","HEO","235","[c]","33200","33090"
"Leaver CS","2022","Wales","SEO/HEO","SEO","155","[c]","41720","41080"
"Leaver CS","2022","Wales","Unknown","Unknown","110","[c]","[c]","[c]"
"Leaver CS","2022","West Midlands (England)","AA/AO","AA","150","[c]","19040","19050"
"Leaver CS","2022","West Midlands (England)","AA/AO","AO","1040","[c]","21380","21010"
"Leaver CS","2022","West Midlands (England)","EO","EO","765","[c]","27070","27570"
"Leaver CS","2022","West Midlands (England)","G6/G7","G6","55","[c]","70240","68720"
"Leaver CS","2022","West Midlands (England)","G6/G7","G7","130","[c]","54970","53470"
"Leaver CS","2022","West Midlands (England)","SCS level","SCS level","35","[c]","109600","101430"
"Leaver CS","2022","West Midlands (England)","SEO/HEO","HEO","240","[c]","33480","33190"
"Leaver CS","2022","West Midlands (England)","SEO/HEO","SEO","180","[c]","42410","40130"
"Leaver CS","2022","West Midlands (England)","Unknown","Unknown","125","[c]","[c]","[c]"
"Leaver CS","2022","Yorkshire and The Humber","AA/AO","AA","245","[c]","18890","19050"
"Leaver CS","2022","Yorkshire and The Humber","AA/AO","AO","1265","[c]","21730","21260"
"Leaver CS","2022","Yorkshire and The Humber","EO","EO","935","[c]","26990","27570"
"Leaver CS","2022","Yorkshire and The Humber","G6/G7","G6","75","[c]","67300","65930"
"Leaver CS","2022","Yorkshire and The Humber","G6/G7","G7","185","[c]","55640","53740"
"Leaver CS","2022","Yorkshire and The Humber","SCS level","SCS level","25","[c]","104130","95140"
"Leaver CS","2022","Yorkshire and The Humber","SEO/HEO","HEO","335","[c]","32980","32740"
"Leaver CS","2022","Yorkshire and The Humber","SEO/HEO","SEO","260","[c]","39680","39110"
"Leaver CS","2022","Yorkshire and The Humber","Unknown","Unknown","180","[c]","34360","32190"
"Leaver Dept.","2022","East Midlands (England)","AA/AO","AA","10","[c]","[c]","[c]"
"Leaver Dept.","2022","East Midlands (England)","AA/AO","AO","160","[c]","20640","20970"
"Leaver Dept.","2022","East Midlands (England)","EO","EO","180","[c]","25870","26780"
"Leaver Dept.","2022","East Midlands (England)","G6/G7","G6","15","[c]","71500","67630"
"Leaver Dept.","2022","East Midlands (England)","G6/G7","G7","35","[c]","51600","50210"
"Leaver Dept.","2022","East Midlands (England)","SCS level","SCS level","15","[c]","97870","99900"
"Leaver Dept.","2022","East Midlands (England)","SEO/HEO","HEO","135","[c]","31180","31040"
"Leaver Dept.","2022","East Midlands (England)","SEO/HEO","SEO","80","[c]","39010","37720"
"Leaver Dept.","2022","East Midlands (England)","Unknown","Unknown","5","[c]","[c]","[c]"
"Leaver Dept.","2022","East of England","AA/AO","AA","5","[c]","[c]","[c]"
"Leaver Dept.","2022","East of England","AA/AO","AO","120","[c]","21790","21820"
"Leaver Dept.","2022","East of England","EO","EO","175","[c]","26920","27370"
"Leaver Dept.","2022","East of England","G6/G7","G6","25","[c]","71030","67060"
"Leaver Dept.","2022","East of England","G6/G7","G7","60","[c]","51790","50730"
"Leaver Dept.","2022","East of England","SCS level","SCS level","30","[c]","109690","111640"
"Leaver Dept.","2022","East of England","SEO/HEO","HEO","125","[c]","32340","32000"
"Leaver Dept.","2022","East of England","SEO/HEO","SEO","110","[c]","39850","39380"
"Leaver Dept.","2022","East of England","Unknown","Unknown","10","[c]","[c]","[c]"
"Leaver Dept.","2022","London","AA/AO","AA","95","[c]","21330","22350"
"Leaver Dept.","2022","London","AA/AO","AO","410","[c]","23880","23780"
"Leaver Dept.","2022","London","EO","EO","1620","[c]","28610","28310"
"Leaver Dept.","2022","London","G6/G7","G6","840","[c]","68880","66690"
"Leaver Dept.","2022","London","G6/G7","G7","2075","[c]","54890","54400"
"Leaver Dept.","2022","London","SCS level","SCS level","560","[c]","95470","91530"
"Leaver Dept.","2022","London","SEO/HEO","HEO","2775","[c]","33490","33300"
"Leaver Dept.","2022","London","SEO/HEO","SEO","1760","[c]","41180","40600"
"Leaver Dept.","2022","London","Unknown","Unknown","145","[c]","42750","38190"
"Leaver Dept.","2022","North East (England)","AA/AO","AO","355","[c]","21170","21260"
"Leaver Dept.","2022","North East (England)","EO","EO","270","[c]","26910","27570"
"Leaver Dept.","2022","North East (England)","G6/G7","G6","15","[c]","64640","63030"
"Leaver Dept.","2022","North East (England)","G6/G7","G7","70","[c]","51930","50730"
"Leaver Dept.","2022","North East (England)","SCS level","SCS level","20","[c]","104190","103990"
"Leaver Dept.","2022","North East (England)","SEO/HEO","HEO","145","[c]","31350","31990"
"Leaver Dept.","2022","North East (England)","SEO/HEO","SEO","105","[c]","38330","37300"
"Leaver Dept.","2022","North East (England)","Unknown","Unknown","15","[c]","[c]","[c]"
"Leaver Dept.","2022","North West (England)","AA/AO","AA","40","[c]","19180","19100"
"Leaver Dept.","2022","North West (England)","AA/AO","AO","470","[c]","21100","21260"
"Leaver Dept.","2022","North West (England)","EO","EO","685","[c]","26260","27370"
"Leaver Dept.","2022","North West (England)","G6/G7","G6","60","[c]","66940","63490"
"Leaver Dept.","2022","North West (England)","G6/G7","G7","155","[c]","51430","50390"
"Leaver Dept.","2022","North West (England)","SCS level","SCS level","35","[c]","108000","107110"
"Leaver Dept.","2022","North West (England)","SEO/HEO","HEO","330","[c]","31420","31500"
"Leaver Dept.","2022","North West (England)","SEO/HEO","SEO","260","[c]","38730","37880"
"Leaver Dept.","2022","North West (England)","Unknown","Unknown","35","[c]","[c]","[c]"
"Leaver Dept.","2022","Northern Ireland","AA/AO","AA","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Northern Ireland","AA/AO","AO","10","[c]","[c]","[c]"
"Leaver Dept.","2022","Northern Ireland","EO","EO","20","[c]","25480","24970"
"Leaver Dept.","2022","Northern Ireland","G6/G7","G7","5","[c]","[c]","[c]"
"Leaver Dept.","2022","Northern Ireland","SEO/HEO","HEO","10","[c]","[c]","[c]"
"Leaver Dept.","2022","Northern Ireland","SEO/HEO","SEO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Overseas","AA/AO","AO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Overseas","EO","EO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Overseas","G6/G7","G6","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Overseas","G6/G7","G7","20","[c]","[c]","[c]"
"Leaver Dept.","2022","Overseas","SCS level","SCS level","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Overseas","SEO/HEO","HEO","20","[c]","[c]","[c]"
"Leaver Dept.","2022","Overseas","SEO/HEO","SEO","5","[c]","[c]","[c]"
"Leaver Dept.","2022","Overseas","Unknown","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Scotland","AA/AO","AA","10","[c]","21080","20950"
"Leaver Dept.","2022","Scotland","AA/AO","AO","415","[c]","21660","21260"
"Leaver Dept.","2022","Scotland","EO","EO","500","[c]","26950","27570"
"Leaver Dept.","2022","Scotland","G6/G7","G6","25","[c]","66320","67840"
"Leaver Dept.","2022","Scotland","G6/G7","G7","55","[c]","52350","52010"
"Leaver Dept.","2022","Scotland","SCS level","SCS level","5","[c]","[c]","[c]"
"Leaver Dept.","2022","Scotland","SEO/HEO","HEO","155","[c]","32880","32320"
"Leaver Dept.","2022","Scotland","SEO/HEO","SEO","85","[c]","41530","40580"
"Leaver Dept.","2022","Scotland","Unknown","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","South East (England)","AA/AO","AA","20","[c]","20410","20080"
"Leaver Dept.","2022","South East (England)","AA/AO","AO","165","[c]","22020","21820"
"Leaver Dept.","2022","South East (England)","EO","EO","255","[c]","27190","27570"
"Leaver Dept.","2022","South East (England)","G6/G7","G6","55","[c]","71460","70210"
"Leaver Dept.","2022","South East (England)","G6/G7","G7","160","[c]","53640","52330"
"Leaver Dept.","2022","South East (England)","SCS level","SCS level","35","[c]","103500","107490"
"Leaver Dept.","2022","South East (England)","SEO/HEO","HEO","175","[c]","32120","31300"
"Leaver Dept.","2022","South East (England)","SEO/HEO","SEO","190","[c]","40210","40030"
"Leaver Dept.","2022","South East (England)","Unknown","Unknown","20","[c]","[c]","[c]"
"Leaver Dept.","2022","South West (England)","AA/AO","AA","55","[c]","19290","19100"
"Leaver Dept.","2022","South West (England)","AA/AO","AO","255","[c]","21080","21050"
"Leaver Dept.","2022","South West (England)","EO","EO","400","[c]","25110","25060"
"Leaver Dept.","2022","South West (England)","G6/G7","G6","100","[c]","70910","67880"
"Leaver Dept.","2022","South West (England)","G6/G7","G7","300","[c]","52290","51150"
"Leaver Dept.","2022","South West (England)","SCS level","SCS level","50","[c]","104570","1e+05"
"Leaver Dept.","2022","South West (England)","SEO/HEO","HEO","490","[c]","30580","29960"
"Leaver Dept.","2022","South West (England)","SEO/HEO","SEO","460","[c]","39460","39400"
"Leaver Dept.","2022","South West (England)","Unknown","Unknown","25","[c]","37260","38210"
"Leaver Dept.","2022","Unknown","AA/AO","AA","10","[c]","[c]","[c]"
"Leaver Dept.","2022","Unknown","AA/AO","AO","65","[c]","21830","21840"
"Leaver Dept.","2022","Unknown","EO","EO","105","[c]","27280","27500"
"Leaver Dept.","2022","Unknown","G6/G7","G6","50","[c]","65640","64500"
"Leaver Dept.","2022","Unknown","G6/G7","G7","80","[c]","54540","54700"
"Leaver Dept.","2022","Unknown","SCS level","SCS level","35","[c]","89010","78420"
"Leaver Dept.","2022","Unknown","SEO/HEO","HEO","290","[c]","32160","32000"
"Leaver Dept.","2022","Unknown","SEO/HEO","SEO","90","[c]","40230","40050"
"Leaver Dept.","2022","Unknown","Unknown","Unknown","20","[c]","[c]","[c]"
"Leaver Dept.","2022","Wales","AA/AO","AA","10","[c]","19160","19200"
"Leaver Dept.","2022","Wales","AA/AO","AO","140","[c]","21430","21260"
"Leaver Dept.","2022","Wales","EO","EO","240","[c]","26760","27570"
"Leaver Dept.","2022","Wales","G6/G7","G6","25","[c]","66240","65270"
"Leaver Dept.","2022","Wales","G6/G7","G7","70","[c]","53330","51610"
"Leaver Dept.","2022","Wales","SCS level","SCS level","5","[c]","[c]","[c]"
"Leaver Dept.","2022","Wales","SEO/HEO","HEO","155","[c]","32070","31790"
"Leaver Dept.","2022","Wales","SEO/HEO","SEO","80","[c]","39580","38360"
"Leaver Dept.","2022","Wales","Unknown","Unknown","10","[c]","[c]","[c]"
"Leaver Dept.","2022","West Midlands (England)","AA/AO","AA","20","[c]","19250","19520"
"Leaver Dept.","2022","West Midlands (England)","AA/AO","AO","295","[c]","20740","20970"
"Leaver Dept.","2022","West Midlands (England)","EO","EO","430","[c]","26090","27570"
"Leaver Dept.","2022","West Midlands (England)","G6/G7","G6","45","[c]","70200","67510"
