"Status","Year","Profession_of_post","Region_ITL1","Region_ITL2","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Commercial","East Midlands (England)","Derbyshire and Nottinghamshire","90","85","42150","39010"
"In post","2022","Commercial","East Midlands (England)","Leicestershire, Rutland and Northamptonshire","20","20","43970","38150"
"In post","2022","Commercial","East Midlands (England)","Lincolnshire","15","15","39820","38550"
"In post","2022","Commercial","East of England","Bedfordshire and Hertfordshire","15","15","47820","36710"
"In post","2022","Commercial","East of England","East Anglia","185","175","37940","36820"
"In post","2022","Commercial","East of England","Essex","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","London","Inner London - East","100","100","46370","44420"
"In post","2022","Commercial","London","Inner London - West","815","795","47790","42470"
"In post","2022","Commercial","London","Outer London - East and North East","10","10","[c]","[c]"
"In post","2022","Commercial","London","Outer London - South","115","110","43200","41950"
"In post","2022","Commercial","London","Outer London - West and North West","65","60","36850","32090"
"In post","2022","Commercial","North East (England)","Northumberland, and Tyne and Wear","85","80","37520","36320"
"In post","2022","Commercial","North East (England)","Tees Valley and Durham","95","95","38780","36500"
"In post","2022","Commercial","North West (England)","Cheshire","25","25","41710","38940"
"In post","2022","Commercial","North West (England)","Cumbria","20","20","39670","35900"
"In post","2022","Commercial","North West (England)","Greater Manchester","240","235","39180","36630"
"In post","2022","Commercial","North West (England)","Lancashire","65","60","37070","32170"
"In post","2022","Commercial","North West (England)","Merseyside","275","265","34950","31990"
"In post","2022","Commercial","Northern Ireland","Northern Ireland","10","10","31730","30960"
"In post","2022","Commercial","Overseas","Overseas","40","40","48740","42130"
"In post","2022","Commercial","Scotland","Eastern Scotland","105","100","34560","29550"
"In post","2022","Commercial","Scotland","Highlands and Islands","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Scotland","North Eastern Scotland","10","5","[c]","[c]"
"In post","2022","Commercial","Scotland","Southern Scotland","50","50","39680","39630"
"In post","2022","Commercial","Scotland","West Central Scotland","130","130","33930","33000"
"In post","2022","Commercial","South East (England)","Berkshire, Buckinghamshire and Oxfordshire","180","175","38740","36970"
"In post","2022","Commercial","South East (England)","Hampshire and Isle of Wight","245","235","36150","34800"
"In post","2022","Commercial","South East (England)","Kent","15","15","42540","37460"
"In post","2022","Commercial","South East (England)","Surrey, East and West Sussex","35","35","42780","39330"
"In post","2022","Commercial","South West (England)","Cornwall and Isles of Scilly","5","5","[c]","[c]"
"In post","2022","Commercial","South West (England)","Devon","235","225","43350","43280"
"In post","2022","Commercial","South West (England)","Dorset and Somerset","130","125","41130","42220"
"In post","2022","Commercial","South West (England)","Gloucestershire, Wiltshire and Bath/Bristol area","1490","1430","38990","37400"
"In post","2022","Commercial","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Wales","East Wales","170","165","37480","32890"
"In post","2022","Commercial","Wales","West Wales and The Valleys","200","185","33260","31040"
"In post","2022","Commercial","West Midlands (England)","Herefordshire, Worcestershire and Warwickshire","15","15","40770","36910"
"In post","2022","Commercial","West Midlands (England)","Shropshire and Staffordshire","120","115","38280","33370"
"In post","2022","Commercial","West Midlands (England)","West Midlands","150","145","37940","36500"
"In post","2022","Commercial","Yorkshire and The Humber","East Yorkshire and Northern Lincolnshire","10","10","36670","34800"
"In post","2022","Commercial","Yorkshire and The Humber","North Yorkshire","55","55","38290","37350"
"In post","2022","Commercial","Yorkshire and The Humber","South Yorkshire","255","240","35610","33650"
"In post","2022","Commercial","Yorkshire and The Humber","West Yorkshire","310","295","41510","36820"
"In post","2022","Communications","East Midlands (England)","Derbyshire and Nottinghamshire","75","75","40000","40350"
"In post","2022","Communications","East Midlands (England)","Leicestershire, Rutland and Northamptonshire","10","10","[c]","[c]"
"In post","2022","Communications","East Midlands (England)","Lincolnshire","20","15","33200","33300"
"In post","2022","Communications","East of England","Bedfordshire and Hertfordshire","20","20","35780","33200"
"In post","2022","Communications","East of England","East Anglia","55","50","33290","31170"
"In post","2022","Communications","East of England","Essex","10","10","[c]","[c]"
"In post","2022","Communications","London","Inner London - East","245","235","47220","41550"
"In post","2022","Communications","London","Inner London - West","1885","1840","47000","43400"
"In post","2022","Communications","London","Outer London - East and North East","[c]","[c]","[c]","[c]"
"In post","2022","Communications","London","Outer London - South","40","40","43270","40450"
"In post","2022","Communications","London","Outer London - West and North West","40","40","34830","34770"
"In post","2022","Communications","North East (England)","Northumberland, and Tyne and Wear","70","65","38130","34010"
"In post","2022","Communications","North East (England)","Tees Valley and Durham","35","35","31500","29360"
"In post","2022","Communications","North West (England)","Cheshire","15","15","37680","36860"
"In post","2022","Communications","North West (England)","Cumbria","5","5","[c]","[c]"
"In post","2022","Communications","North West (England)","Greater Manchester","105","105","34860","30450"
"In post","2022","Communications","North West (England)","Lancashire","30","30","34650","33300"
"In post","2022","Communications","North West (England)","Merseyside","80","80","40610","39160"
"In post","2022","Communications","Northern Ireland","Northern Ireland","30","30","41910","37910"
"In post","2022","Communications","Overseas","Overseas","10","10","43080","40610"
"In post","2022","Communications","Scotland","Eastern Scotland","45","45","40220","37710"
"In post","2022","Communications","Scotland","Highlands and Islands","[c]","[c]","[c]","[c]"
"In post","2022","Communications","Scotland","Southern Scotland","5","5","[c]","[c]"
"In post","2022","Communications","Scotland","West Central Scotland","30","30","34860","33370"
"In post","2022","Communications","South East (England)","Berkshire, Buckinghamshire and Oxfordshire","85","80","34150","33000"
"In post","2022","Communications","South East (England)","Hampshire and Isle of Wight","170","165","34060","33000"
"In post","2022","Communications","South East (England)","Kent","5","5","[c]","[c]"
"In post","2022","Communications","South East (England)","Surrey, East and West Sussex","20","20","39980","38430"
"In post","2022","Communications","South West (England)","Cornwall and Isles of Scilly","15","10","23600","21380"
"In post","2022","Communications","South West (England)","Devon","45","45","39060","37420"
"In post","2022","Communications","South West (England)","Dorset and Somerset","50","50","36010","33290"
"In post","2022","Communications","South West (England)","Gloucestershire, Wiltshire and Bath/Bristol area","195","180","36640","34860"
"In post","2022","Communications","Unknown","Unknown","10","10","[c]","[c]"
"In post","2022","Communications","Wales","East Wales","275","260","39920","38160"
"In post","2022","Communications","Wales","West Wales and The Valleys","105","100","32450","29430"
"In post","2022","Communications","West Midlands (England)","Herefordshire, Worcestershire and Warwickshire","15","15","38610","36960"
"In post","2022","Communications","West Midlands (England)","Shropshire and Staffordshire","55","50","35010","33000"
