"Status","Year","Age","Organisation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","16-19","Animal and Plant Health Agency","10","10","[c]","[c]"
"In post","2022","16-19","Cabinet Office (excl. agencies)","15","15","24960","24300"
"In post","2022","16-19","Centre for Environment, Fisheries and Aquaculture Science","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Companies House","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Criminal Injuries Compensation Authority","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Crown Commercial Service","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Crown Office and Procurator Fiscal Service","10","10","21050","21050"
"In post","2022","16-19","Crown Prosecution Service","35","35","21810","22200"
"In post","2022","16-19","Defence Electronics and Components Agency","15","15","17490","17450"
"In post","2022","16-19","Defence Equipment and Support","105","105","18590","18030"
"In post","2022","16-19","Defence Science and Technology Laboratory","20","20","19760","22160"
"In post","2022","16-19","Department for Business, Energy and Industrial Strategy (excl. agencies)","10","10","26440","27680"
"In post","2022","16-19","Department for Education (excl. agencies)","5","5","[c]","[c]"
"In post","2022","16-19","Department for Environment, Food and Rural Affairs (excl. agencies)","20","20","23720","25170"
"In post","2022","16-19","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Department for Levelling Up, Housing and Communities (excl. agencies)","10","10","25890","24830"
"In post","2022","16-19","Department for Transport (excl. agencies)","10","10","24530","23970"
"In post","2022","16-19","Department for Work and Pensions (excl. agencies)","145","145","23070","21260"
"In post","2022","16-19","Department of Health and Social Care (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Disclosure Scotland","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Driver and Vehicle Licensing Agency","75","60","19130","18310"
"In post","2022","16-19","Driver and Vehicle Standards Agency","10","10","20330","21840"
"In post","2022","16-19","Education and Skills Funding Agency","5","5","[c]","[c]"
"In post","2022","16-19","FCDO Services","25","25","19400","19110"
"In post","2022","16-19","Food Standards Scotland","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Foreign, Commonwealth and Development Office (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Forestry and Land Scotland","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Government Actuary's Department","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Government Legal Department","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Health and Safety Executive","[c]","[c]","[c]","[c]"
"In post","2022","16-19","HM Courts and Tribunals Service","25","25","21480","20970"
"In post","2022","16-19","HM Crown Prosecution Service Inspectorate","[c]","[c]","[c]","[c]"
"In post","2022","16-19","HM Land Registry","10","10","21040","20340"
"In post","2022","16-19","HM Prison and Probation Service","165","165","23250","23140"
"In post","2022","16-19","HM Revenue and Customs (excl. agencies)","200","190","21950","21250"
"In post","2022","16-19","HM Treasury (excl. agencies)","10","10","23980","24300"
"In post","2022","16-19","Home Office","55","50","23480","21680"
"In post","2022","16-19","Intellectual Property Office","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Legal Aid Agency","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Maritime and Coastguard Agency","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Met Office","5","5","[c]","[c]"
"In post","2022","16-19","Ministry of Defence (excl. agencies)","20","20","21780","21170"
"In post","2022","16-19","Ministry of Justice (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","National Crime Agency","[c]","[c]","[c]","[c]"
"In post","2022","16-19","National Savings and Investments","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Northern Ireland Office","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Office for Budget Responsibility","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Office for Standards in Education, Children's Services and Skills","5","5","[c]","[c]"
"In post","2022","16-19","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Office of the Public Guardian","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Registers of Scotland","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Royal Fleet Auxiliary","35","35","17940","16450"
"In post","2022","16-19","Rural Payments Agency","10","10","21070","21300"
"In post","2022","16-19","Scottish Courts and Tribunals Service","10","10","21780","22000"
"In post","2022","16-19","Scottish Government (excl. agencies)","30","30","22550","21050"
"In post","2022","16-19","Scottish Prison Service","5","5","[c]","[c]"
"In post","2022","16-19","Scottish Public Pensions Agency","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Serious Fraud Office","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Social Security Scotland","20","20","21450","21050"
"In post","2022","16-19","Student Awards Agency for Scotland","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Submarine Delivery Agency","15","15","18160","17140"
"In post","2022","16-19","The Insolvency Service","5","5","[c]","[c]"
"In post","2022","16-19","The National Archives","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Transport Scotland","[c]","[c]","[c]","[c]"
"In post","2022","16-19","UK Health Security Agency","15","10","21350","22350"
"In post","2022","16-19","UK Statistics Authority","25","20","21030","19860"
"In post","2022","16-19","Valuation Office Agency","15","15","25100","25000"
"In post","2022","16-19","Vehicle Certification Agency","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Welsh Government (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Accountant in Bankruptcy","10","10","25660","23230"
"In post","2022","20-29","Advisory, Conciliation and Arbitration Service","95","95","27370","24250"
"In post","2022","20-29","Animal and Plant Health Agency","530","520","25630","24920"
"In post","2022","20-29","Attorney General's Office","10","10","38260","31530"
"In post","2022","20-29","Cabinet Office (excl. agencies)","3365","3355","34330","32000"
"In post","2022","20-29","Centre for Environment, Fisheries and Aquaculture Science","115","115","26110","25460"
"In post","2022","20-29","Charity Commission","70","70","26180","24440"
"In post","2022","20-29","Companies House","160","160","25820","24500"
"In post","2022","20-29","Competition and Markets Authority","150","150","39120","33610"
"In post","2022","20-29","Criminal Injuries Compensation Authority","35","35","24300","23040"
"In post","2022","20-29","Crown Commercial Service","155","155","30860","30420"
"In post","2022","20-29","Crown Office and Procurator Fiscal Service","555","545","28200","27230"
"In post","2022","20-29","Crown Prosecution Service","1040","1035","27790","25480"
"In post","2022","20-29","Defence Electronics and Components Agency","35","35","21570","20550"
"In post","2022","20-29","Defence Equipment and Support","1905","1890","27170","27540"
"In post","2022","20-29","Defence Science and Technology Laboratory","1065","1060","29600","29230"
"In post","2022","20-29","Department for Business, Energy and Industrial Strategy (excl. agencies)","2035","2035","41040","40050"
"In post","2022","20-29","Department for Digital, Culture, Media and Sport","765","765","38740","34020"
"In post","2022","20-29","Department for Education (excl. agencies)","1390","1380","35960","32940"
"In post","2022","20-29","Department for Environment, Food and Rural Affairs (excl. agencies)","1460","1450","34710","32560"
"In post","2022","20-29","Department for International Trade","1030","1025","38120","38160"
"In post","2022","20-29","Department for Levelling Up, Housing and Communities (excl. agencies)","965","960","37920","33210"
"In post","2022","20-29","Department for Transport (excl. agencies)","945","940","39030","34710"
"In post","2022","20-29","Department for Work and Pensions (excl. agencies)","10725","10530","26920","27570"
"In post","2022","20-29","Department of Health and Social Care (excl. agencies)","1245","1240","38000","32790"
"In post","2022","20-29","Disclosure Scotland","70","65","23720","21050"
"In post","2022","20-29","Driver and Vehicle Licensing Agency","790","755","22890","21840"
"In post","2022","20-29","Driver and Vehicle Standards Agency","300","295","26140","26130"
"In post","2022","20-29","Education and Skills Funding Agency","335","335","33010","29730"
"In post","2022","20-29","Education Scotland","15","15","27580","27230"
"In post","2022","20-29","Estyn","5","5","[c]","[c]"
"In post","2022","20-29","FCDO Services","150","150","27420","26560"
"In post","2022","20-29","Food Standards Agency","135","135","32380","30350"
"In post","2022","20-29","Food Standards Scotland","45","45","30140","31540"
"In post","2022","20-29","Foreign, Commonwealth and Development Office (excl. agencies)","1100","1100","35520","34550"
"In post","2022","20-29","Forestry and Land Scotland","95","95","27140","25940"
"In post","2022","20-29","Government Actuary's Department","55","55","38530","35980"
"In post","2022","20-29","Government Internal Audit Agency","30","30","32380","33420"
"In post","2022","20-29","Government Legal Department","360","355","36330","30720"
"In post","2022","20-29","Government Property Agency","50","50","37380","34550"
"In post","2022","20-29","Health and Safety Executive","315","310","28850","26370"
"In post","2022","20-29","HM Courts and Tribunals Service","2160","2115","24610","21650"
"In post","2022","20-29","HM Land Registry","1125","1105","26130","25850"
"In post","2022","20-29","HM Prison and Probation Service","12015","11865","26070","24950"
"In post","2022","20-29","HM Revenue and Customs (excl. agencies)","11510","11300","28800","26590"
"In post","2022","20-29","HM Treasury (excl. agencies)","980","970","38650","32820"
"In post","2022","20-29","Home Office","5540","5455","29390","25040"
"In post","2022","20-29","Institute for Apprenticeships and Technical Education","25","25","38020","36570"
"In post","2022","20-29","Intellectual Property Office","335","330","29640","27380"
"In post","2022","20-29","Legal Aid Agency","115","110","22930","20970"
"In post","2022","20-29","Maritime and Coastguard Agency","190","190","29470","26840"
"In post","2022","20-29","Medicines and Healthcare Products Regulatory Agency","145","145","33040","32640"
"In post","2022","20-29","Met Office","315","315","28230","30930"
"In post","2022","20-29","Ministry of Defence (excl. agencies)","3725","3700","30180","27200"
"In post","2022","20-29","Ministry of Justice (excl. agencies)","1110","1105","36460","34260"
"In post","2022","20-29","National Crime Agency","875","870","33610","32770"
"In post","2022","20-29","National Infrastructure Commission","15","15","39200","34710"
"In post","2022","20-29","National Records of Scotland","45","45","28500","27230"
"In post","2022","20-29","National Savings and Investments","20","20","33620","30000"
"In post","2022","20-29","Northern Ireland Office","40","40","40960","41750"
"In post","2022","20-29","Office for Budget Responsibility","15","15","39240","35610"
"In post","2022","20-29","Office for Standards in Education, Children's Services and Skills","135","130","28730","25880"
"In post","2022","20-29","Office of Gas and Electricity Markets","380","375","30580","29040"
"In post","2022","20-29","Office of Qualifications and Examinations Regulation","35","35","31920","31000"
"In post","2022","20-29","Office of Rail and Road","35","35","36330","34410"
"In post","2022","20-29","Office of the Public Guardian","310","290","22320","20970"
"In post","2022","20-29","Office of the Scottish Charity Regulator","5","5","[c]","[c]"
"In post","2022","20-29","Office of the Secretary of State for Scotland (incl. Office of the Advocate General for Scotland)","35","35","33160","33070"
"In post","2022","20-29","Office of the Secretary of State for Wales","15","15","31140","30450"
"In post","2022","20-29","Planning Inspectorate","70","65","24400","21520"
"In post","2022","20-29","Queen Elizabeth II Centre","5","5","[c]","[c]"
"In post","2022","20-29","Registers of Scotland","170","170","28560","25050"
"In post","2022","20-29","Revenue Scotland","15","15","31850","27230"
"In post","2022","20-29","Royal Fleet Auxiliary","365","365","28260","28980"
"In post","2022","20-29","Rural Payments Agency","400","395","22790","21300"
"In post","2022","20-29","Scottish Courts and Tribunals Service","300","290","25030","23780"
"In post","2022","20-29","Scottish Fiscal Commission","10","10","35510","31540"
"In post","2022","20-29","Scottish Forestry","15","15","27680","27360"
"In post","2022","20-29","Scottish Government (excl. agencies)","1595","1575","31590","31540"
"In post","2022","20-29","Scottish Prison Service","695","680","26300","23330"
"In post","2022","20-29","Scottish Public Pensions Agency","35","30","25760","25930"
"In post","2022","20-29","Serious Fraud Office","65","60","32680","32920"
"In post","2022","20-29","Social Security Scotland","555","545","26160","27230"
"In post","2022","20-29","Standards and Testing Agency","20","20","33760","31340"
"In post","2022","20-29","Student Awards Agency for Scotland","55","55","24710","23230"
"In post","2022","20-29","Submarine Delivery Agency","440","440","28630","27540"
"In post","2022","20-29","Teaching Regulation Agency","25","25","26110","25000"
"In post","2022","20-29","The Insolvency Service","185","185","24070","21130"
"In post","2022","20-29","The National Archives","95","90","26580","23810"
"In post","2022","20-29","Transport Scotland","80","80","31270","31540"
"In post","2022","20-29","UK Debt Management Office","15","15","40200","40000"
"In post","2022","20-29","UK Export Finance","110","110","36750","33180"
"In post","2022","20-29","UK Health Security Agency","1475","1405","30640","28590"
"In post","2022","20-29","UK Hydrographic Office","155","155","26770","26740"
"In post","2022","20-29","UK Space Agency","50","50","39130","40050"
"In post","2022","20-29","UK Statistics Authority","1290","1260","30900","30710"
"In post","2022","20-29","UK Supreme Court","10","10","34760","37230"
"In post","2022","20-29","Valuation Office Agency","645","630","28820","26030"
"In post","2022","20-29","Vehicle Certification Agency","35","35","28840","26710"
"In post","2022","20-29","Veterinary Medicines Directorate","20","20","32910","32560"
"In post","2022","20-29","Water Services Regulation Authority","45","45","34540","30000"
"In post","2022","20-29","Welsh Government (excl. agencies)","545","540","28420","25860"
"In post","2022","20-29","Welsh Revenue Authority","15","15","31010","31210"
"In post","2022","20-29","Wilton Park","10","10","25640","24300"
"In post","2022","30-39","Accountant in Bankruptcy","30","25","30150","30040"
"In post","2022","30-39","Advisory, Conciliation and Arbitration Service","220","210","30790","30950"
"In post","2022","30-39","Animal and Plant Health Agency","575","550","29290","28030"
"In post","2022","30-39","Attorney General's Office","20","20","49710","52970"
"In post","2022","30-39","Cabinet Office (excl. agencies)","2520","2475","49410","54700"
"In post","2022","30-39","Centre for Environment, Fisheries and Aquaculture Science","160","155","32960","30220"
"In post","2022","30-39","Charity Commission","110","110","34010","29160"
"In post","2022","30-39","Companies House","260","245","31040","25280"
"In post","2022","30-39","Competition and Markets Authority","305","295","60250","57060"
"In post","2022","30-39","Criminal Injuries Compensation Authority","85","80","27570","25120"
"In post","2022","30-39","Crown Commercial Service","245","240","38430","38330"
"In post","2022","30-39","Crown Office and Procurator Fiscal Service","600","575","38180","34600"
"In post","2022","30-39","Crown Prosecution Service","1200","1130","40340","40000"
"In post","2022","30-39","Defence Electronics and Components Agency","30","30","29800","28150"
"In post","2022","30-39","Defence Equipment and Support","2350","2250","35520","34070"
"In post","2022","30-39","Defence Science and Technology Laboratory","1065","1035","40410","38070"
"In post","2022","30-39","Department for Business, Energy and Industrial Strategy (excl. agencies)","1735","1690","51200","53380"
"In post","2022","30-39","Department for Digital, Culture, Media and Sport","715","705","50270","51730"
"In post","2022","30-39","Department for Education (excl. agencies)","1790","1715","45000","45250"
"In post","2022","30-39","Department for Environment, Food and Rural Affairs (excl. agencies)","1640","1575","42680","38910"
"In post","2022","30-39","Department for International Trade","825","815","50340","51970"
"In post","2022","30-39","Department for Levelling Up, Housing and Communities (excl. agencies)","945","920","48170","52430"
"In post","2022","30-39","Department for Transport (excl. agencies)","985","965","49810","54110"
"In post","2022","30-39","Department for Work and Pensions (excl. agencies)","14990","13835","28230","27570"
"In post","2022","30-39","Department of Health and Social Care (excl. agencies)","1070","1035","48900","51300"
"In post","2022","30-39","Disclosure Scotland","110","105","27390","23230"
"In post","2022","30-39","Driver and Vehicle Licensing Agency","1715","1540","25650","21840"
"In post","2022","30-39","Driver and Vehicle Standards Agency","700","680","28950","26700"
"In post","2022","30-39","Education and Skills Funding Agency","435","415","38880","36500"
"In post","2022","30-39","Education Scotland","60","55","44840","45330"
"In post","2022","30-39","Estyn","15","10","35080","29430"
"In post","2022","30-39","FCDO Services","210","205","37890","36450"
"In post","2022","30-39","Food Standards Agency","320","315","37650","37350"
"In post","2022","30-39","Food Standards Scotland","85","85","34570","33070"
"In post","2022","30-39","Foreign, Commonwealth and Development Office (excl. agencies)","1955","1925","48090","51500"
"In post","2022","30-39","Forestry and Land Scotland","230","225","30830","28980"
"In post","2022","30-39","Government Actuary's Department","70","70","62700","65470"
"In post","2022","30-39","Government Internal Audit Agency","60","55","46920","48780"
"In post","2022","30-39","Government Legal Department","820","780","51130","51250"
"In post","2022","30-39","Government Property Agency","70","70","49060","49700"
"In post","2022","30-39","Health and Safety Executive","420","405","38420","39330"
"In post","2022","30-39","HM Courts and Tribunals Service","2885","2620","26890","23720"
"In post","2022","30-39","HM Crown Prosecution Service Inspectorate","5","5","[c]","[c]"
"In post","2022","30-39","HM Land Registry","1065","1005","29690","27130"
"In post","2022","30-39","HM Prison and Probation Service","14795","14135","29550","28140"
"In post","2022","30-39","HM Revenue and Customs (excl. agencies)","15585","14935","33510","33080"
"In post","2022","30-39","HM Treasury (excl. agencies)","675","660","54900","55840"
"In post","2022","30-39","Home Office","8730","8290","32700","28650"
"In post","2022","30-39","Institute for Apprenticeships and Technical Education","110","110","45390","49960"
"In post","2022","30-39","Intellectual Property Office","440","420","36550","31300"
"In post","2022","30-39","Legal Aid Agency","325","295","26430","25120"
"In post","2022","30-39","Maritime and Coastguard Agency","315","305","36090","33730"
"In post","2022","30-39","Medicines and Healthcare Products Regulatory Agency","295","290","44120","40940"
"In post","2022","30-39","Met Office","595","570","37700","38200"
"In post","2022","30-39","Ministry of Defence (excl. agencies)","6250","6025","34800","33300"
"In post","2022","30-39","Ministry of Justice (excl. agencies)","1585","1545","43690","41750"
"In post","2022","30-39","National Crime Agency","1335","1305","38490","36740"
"In post","2022","30-39","National Infrastructure Commission","20","15","55200","52750"
"In post","2022","30-39","National Records of Scotland","100","95","36990","36130"
"In post","2022","30-39","National Savings and Investments","45","45","42530","42290"
"In post","2022","30-39","Northern Ireland Office","65","60","49050","50430"
"In post","2022","30-39","Office for Budget Responsibility","15","15","58740","56870"
"In post","2022","30-39","Office for Standards in Education, Children's Services and Skills","395","380","42820","39850"
"In post","2022","30-39","Office of Gas and Electricity Markets","480","470","43870","40270"
"In post","2022","30-39","Office of Qualifications and Examinations Regulation","85","80","41280","38000"
"In post","2022","30-39","Office of Rail and Road","95","90","49700","50810"
"In post","2022","30-39","Office of the Public Guardian","505","460","23530","20970"
"In post","2022","30-39","Office of the Scottish Charity Regulator","10","10","[c]","[c]"
"In post","2022","30-39","Office of the Secretary of State for Scotland (incl. Office of the Advocate General for Scotland)","40","40","53360","53480"
"In post","2022","30-39","Office of the Secretary of State for Wales","10","10","46950","43120"
"In post","2022","30-39","Planning Inspectorate","150","140","38230","40720"
"In post","2022","30-39","Queen Elizabeth II Centre","10","10","34010","32750"
"In post","2022","30-39","Registers of Scotland","245","240","33740","30840"
"In post","2022","30-39","Revenue Scotland","15","15","36640","36130"
"In post","2022","30-39","Royal Fleet Auxiliary","390","390","37370","34460"
"In post","2022","30-39","Rural Payments Agency","495","455","25140","21300"
"In post","2022","30-39","Scottish Courts and Tribunals Service","430","400","28540","27080"
"In post","2022","30-39","Scottish Fiscal Commission","5","5","[c]","[c]"
"In post","2022","30-39","Scottish Forestry","40","35","32140","31060"
"In post","2022","30-39","Scottish Government (excl. agencies)","2295","2220","42200","39660"
"In post","2022","30-39","Scottish Housing Regulator","10","10","[c]","[c]"
"In post","2022","30-39","Scottish Prison Service","1175","1145","31100","32170"
"In post","2022","30-39","Scottish Public Pensions Agency","75","70","30260","27230"
"In post","2022","30-39","Serious Fraud Office","120","120","45390","41080"
"In post","2022","30-39","Social Security Scotland","725","705","30610","27230"
"In post","2022","30-39","Standards and Testing Agency","45","40","42310","43730"
"In post","2022","30-39","Student Awards Agency for Scotland","50","50","31230","30040"
"In post","2022","30-39","Submarine Delivery Agency","460","450","38910","39100"
"In post","2022","30-39","Teaching Regulation Agency","25","25","31430","29360"
"In post","2022","30-39","The Insolvency Service","335","320","30930","28280"
"In post","2022","30-39","The National Archives","125","120","34530","34260"
"In post","2022","30-39","Transport Scotland","115","115","41800","39660"
"In post","2022","30-39","UK Debt Management Office","25","25","53430","51980"
"In post","2022","30-39","UK Export Finance","105","105","54310","52050"
"In post","2022","30-39","UK Health Security Agency","1585","1480","40450","37470"
"In post","2022","30-39","UK Hydrographic Office","235","225","34970","33290"
"In post","2022","30-39","UK Space Agency","110","110","44830","40220"
"In post","2022","30-39","UK Statistics Authority","1430","1335","36640","36840"
"In post","2022","30-39","UK Supreme Court","10","10","[c]","[c]"
"In post","2022","30-39","Valuation Office Agency","695","665","34220","31900"
"In post","2022","30-39","Vehicle Certification Agency","60","60","36760","35010"
"In post","2022","30-39","Veterinary Medicines Directorate","35","35","38090","38750"
"In post","2022","30-39","Water Services Regulation Authority","55","55","49480","45900"
"In post","2022","30-39","Welsh Government (excl. agencies)","1235","1175","38290","38160"
"In post","2022","30-39","Welsh Revenue Authority","25","25","46240","47470"
"In post","2022","30-39","Wilton Park","15","10","31140","29790"
"In post","2022","40-49","Accountant in Bankruptcy","40","35","33000","30040"
"In post","2022","40-49","Advisory, Conciliation and Arbitration Service","250","235","33540","30950"
"In post","2022","40-49","Animal and Plant Health Agency","720","680","32550","29180"
"In post","2022","40-49","Attorney General's Office","15","15","64710","59760"
"In post","2022","40-49","Cabinet Office (excl. agencies)","2015","1960","57660","54700"
"In post","2022","40-49","Centre for Environment, Fisheries and Aquaculture Science","180","165","34890","30660"
"In post","2022","40-49","Charity Commission","140","130","38200","29550"
"In post","2022","40-49","Companies House","285","265","33990","30660"
"In post","2022","40-49","Competition and Markets Authority","225","215","72590","72430"
"In post","2022","40-49","Criminal Injuries Compensation Authority","80","70","28950","25120"
"In post","2022","40-49","Crown Commercial Service","185","180","43970","39360"
"In post","2022","40-49","Crown Office and Procurator Fiscal Service","465","430","42730","36130"
"In post","2022","40-49","Crown Prosecution Service","1935","1780","44060","48080"
"In post","2022","40-49","Defence Electronics and Components Agency","75","75","29110","28150"
"In post","2022","40-49","Defence Equipment and Support","2190","2115","40860","39760"
"In post","2022","40-49","Defence Science and Technology Laboratory","1065","1020","46070","47010"
"In post","2022","40-49","Department for Business, Energy and Industrial Strategy (excl. agencies)","1130","1090","56490","53750"
"In post","2022","40-49","Department for Digital, Culture, Media and Sport","310","295","57760","56810"
"In post","2022","40-49","Department for Education (excl. agencies)","1615","1530","48620","49860"
"In post","2022","40-49","Department for Environment, Food and Rural Affairs (excl. agencies)","1685","1600","46260","47550"
"In post","2022","40-49","Department for International Trade","470","460","54650","52110"
"In post","2022","40-49","Department for Levelling Up, Housing and Communities (excl. agencies)","705","675","51560","49540"
"In post","2022","40-49","Department for Transport (excl. agencies)","805","775","55300","54650"
"In post","2022","40-49","Department for Work and Pensions (excl. agencies)","21200","19125","28720","27570"
"In post","2022","40-49","Department of Health and Social Care (excl. agencies)","860","805","53390","53010"
"In post","2022","40-49","Disclosure Scotland","85","80","34470","30040"
"In post","2022","40-49","Driver and Vehicle Licensing Agency","1605","1465","27850","21840"
"In post","2022","40-49","Driver and Vehicle Standards Agency","1185","1145","30540","27930"
"In post","2022","40-49","Education and Skills Funding Agency","565","540","45120","40940"
"In post","2022","40-49","Education Scotland","90","90","58210","65280"
"In post","2022","40-49","Estyn","30","30","57260","64520"
"In post","2022","40-49","FCDO Services","230","225","41960","38990"
"In post","2022","40-49","Food Standards Agency","375","365","41500","37910"
"In post","2022","40-49","Food Standards Scotland","65","65","37670","34600"
"In post","2022","40-49","Foreign, Commonwealth and Development Office (excl. agencies)","1930","1875","54030","55620"
"In post","2022","40-49","Forestry and Land Scotland","240","230","35290","32040"
"In post","2022","40-49","Government Actuary's Department","55","50","82940","82360"
"In post","2022","40-49","Government Internal Audit Agency","120","120","50320","48780"
"In post","2022","40-49","Government Legal Department","775","695","59290","63730"
"In post","2022","40-49","Government Property Agency","90","90","53920","54700"
"In post","2022","40-49","Health and Safety Executive","665","630","45990","44610"
"In post","2022","40-49","HM Courts and Tribunals Service","3615","3235","28060","23720"
"In post","2022","40-49","HM Crown Prosecution Service Inspectorate","10","10","[c]","[c]"
"In post","2022","40-49","HM Land Registry","1265","1185","34010","30600"
"In post","2022","40-49","HM Prison and Probation Service","13045","12405","32630","31550"
"In post","2022","40-49","HM Revenue and Customs (excl. agencies)","14635","13760","35060","33080"
"In post","2022","40-49","HM Treasury (excl. agencies)","245","230","61130","63410"
"In post","2022","40-49","Home Office","9225","8690","34590","29080"
"In post","2022","40-49","Institute for Apprenticeships and Technical Education","70","70","52030","50080"
"In post","2022","40-49","Intellectual Property Office","475","445","43670","41420"
"In post","2022","40-49","Legal Aid Agency","320","300","32130","26900"
"In post","2022","40-49","Maritime and Coastguard Agency","325","315","38950","36040"
"In post","2022","40-49","Medicines and Healthcare Products Regulatory Agency","315","300","54000","53830"
"In post","2022","40-49","Met Office","575","540","43200","40450"
"In post","2022","40-49","Ministry of Defence (excl. agencies)","7665","7400","35160","33000"
"In post","2022","40-49","Ministry of Justice (excl. agencies)","1615","1565","46510","41750"
"In post","2022","40-49","National Crime Agency","1360","1310","43110","40210"
"In post","2022","40-49","National Infrastructure Commission","10","10","[c]","[c]"
"In post","2022","40-49","National Records of Scotland","115","110","40370","36130"
"In post","2022","40-49","National Savings and Investments","65","65","53810","49430"
"In post","2022","40-49","Northern Ireland Office","25","25","47590","41020"
"In post","2022","40-49","Office for Budget Responsibility","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Office for Standards in Education, Children's Services and Skills","560","540","52350","51360"
"In post","2022","40-49","Office of Gas and Electricity Markets","295","285","53090","50030"
"In post","2022","40-49","Office of Qualifications and Examinations Regulation","100","95","50900","46840"
"In post","2022","40-49","Office of Rail and Road","100","95","57960","55700"
"In post","2022","40-49","Office of the Public Guardian","260","235","24870","21410"
"In post","2022","40-49","Office of the Scottish Charity Regulator","15","15","37740","31540"
"In post","2022","40-49","Office of the Secretary of State for Scotland (incl. Office of the Advocate General for Scotland)","20","15","61570","62170"
"In post","2022","40-49","Office of the Secretary of State for Wales","10","10","[c]","[c]"
"In post","2022","40-49","Planning Inspectorate","240","230","43330","42880"
"In post","2022","40-49","Queen Elizabeth II Centre","10","10","[c]","[c]"
"In post","2022","40-49","Registers of Scotland","305","295","35740","30840"
"In post","2022","40-49","Revenue Scotland","25","25","38930","36130"
"In post","2022","40-49","Royal Fleet Auxiliary","350","350","41040","35380"
"In post","2022","40-49","Rural Payments Agency","770","700","26710","24920"
"In post","2022","40-49","Scottish Courts and Tribunals Service","390","360","31320","30450"
"In post","2022","40-49","Scottish Fiscal Commission","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Scottish Forestry","55","50","37450","36700"
"In post","2022","40-49","Scottish Government (excl. agencies)","2290","2170","49830","47490"
"In post","2022","40-49","Scottish Housing Regulator","15","15","57880","59680"
"In post","2022","40-49","Scottish Prison Service","775","750","33700","35000"
"In post","2022","40-49","Scottish Public Pensions Agency","75","70","32640","28990"
"In post","2022","40-49","Serious Fraud Office","105","105","51470","51770"
"In post","2022","40-49","Social Security Scotland","610","590","32930","27940"
"In post","2022","40-49","Standards and Testing Agency","35","35","45520","42220"
"In post","2022","40-49","Student Awards Agency for Scotland","55","55","36850","34600"
"In post","2022","40-49","Submarine Delivery Agency","415","405","45300","42470"
"In post","2022","40-49","Teaching Regulation Agency","15","10","33850","36780"
"In post","2022","40-49","The Insolvency Service","495","470","34810","34390"
"In post","2022","40-49","The National Archives","155","145","40440","36850"
"In post","2022","40-49","Transport Scotland","150","145","51330","49860"
"In post","2022","40-49","UK Debt Management Office","30","25","59010","54100"
"In post","2022","40-49","UK Export Finance","130","125","58420","52860"
"In post","2022","40-49","UK Health Security Agency","1660","1550","47770","41990"
"In post","2022","40-49","UK Hydrographic Office","215","205","38870","33380"
"In post","2022","40-49","UK Space Agency","50","50","50350","49100"
