"Status","Year","Parent_department","Responsibility_level_ungrouped","Sex","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Attorney General's Departments","SCS level","Female","Undeclared","10","10","[c]","[c]"
"In post","2022","Attorney General's Departments","SCS level","Female","Unknown","40","40","89290","81010"
"In post","2022","Attorney General's Departments","SCS level","Male","Heterosexual / straight","80","80","90250","84600"
"In post","2022","Attorney General's Departments","SCS level","Male","LGBO","15","15","[c]","[c]"
"In post","2022","Attorney General's Departments","SCS level","Male","Undeclared","10","10","[c]","[c]"
"In post","2022","Attorney General's Departments","SCS level","Male","Unknown","20","20","[c]","[c]"
"In post","2022","Attorney General's Departments","SCS level","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","SCS level","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","SEO","Female","Heterosexual / straight","170","165","39830","39750"
"In post","2022","Attorney General's Departments","SEO","Female","LGBO","5","5","[c]","[c]"
"In post","2022","Attorney General's Departments","SEO","Female","Undeclared","10","10","[c]","[c]"
"In post","2022","Attorney General's Departments","SEO","Female","Unknown","35","35","39950","39030"
"In post","2022","Attorney General's Departments","SEO","Male","Heterosexual / straight","135","135","40380","40000"
"In post","2022","Attorney General's Departments","SEO","Male","LGBO","10","10","[c]","[c]"
"In post","2022","Attorney General's Departments","SEO","Male","Undeclared","10","10","[c]","[c]"
"In post","2022","Attorney General's Departments","SEO","Male","Unknown","25","25","[c]","[c]"
"In post","2022","Attorney General's Departments","SEO","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","SEO","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Cabinet Office","AA","Female","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Cabinet Office","AA","Female","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Cabinet Office","AA","Female","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Cabinet Office","AA","Female","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Cabinet Office","AA","Male","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Cabinet Office","AA","Male","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Cabinet Office","AA","Male","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Cabinet Office","AA","Male","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Cabinet Office","AA","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Cabinet Office","AA","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Cabinet Office","AO","Female","Heterosexual / straight","200","180","21820","21050"
"In post","2022","Cabinet Office","AO","Female","LGBO","15","15","[c]","[c]"
"In post","2022","Cabinet Office","AO","Female","Undeclared","15","15","[c]","[c]"
"In post","2022","Cabinet Office","AO","Female","Unknown","55","55","21660","21170"
"In post","2022","Cabinet Office","AO","Male","Heterosexual / straight","125","120","21770","21050"
"In post","2022","Cabinet Office","AO","Male","LGBO","15","15","[c]","[c]"
"In post","2022","Cabinet Office","AO","Male","Undeclared","15","15","[c]","[c]"
"In post","2022","Cabinet Office","AO","Male","Unknown","50","50","21900","21170"
"In post","2022","Cabinet Office","AO","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Cabinet Office","AO","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Cabinet Office","EO","Female","Heterosexual / straight","460","435","26470","26670"
"In post","2022","Cabinet Office","EO","Female","LGBO","40","40","26000","26350"
"In post","2022","Cabinet Office","EO","Female","Undeclared","35","35","27020","27500"
"In post","2022","Cabinet Office","EO","Female","Unknown","100","95","26980","27500"
"In post","2022","Cabinet Office","EO","Male","Heterosexual / straight","245","240","26620","27500"
"In post","2022","Cabinet Office","EO","Male","LGBO","35","35","26470","26670"
"In post","2022","Cabinet Office","EO","Male","Undeclared","20","20","[c]","[c]"
"In post","2022","Cabinet Office","EO","Male","Unknown","120","115","26460","26670"
"In post","2022","Cabinet Office","EO","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Cabinet Office","EO","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Cabinet Office","G6","Female","Heterosexual / straight","305","300","66390","64500"
"In post","2022","Cabinet Office","G6","Female","LGBO","20","20","[c]","[c]"
"In post","2022","Cabinet Office","G6","Female","Undeclared","25","25","[c]","[c]"
"In post","2022","Cabinet Office","G6","Female","Unknown","205","200","72410","67500"
"In post","2022","Cabinet Office","G6","Male","Heterosexual / straight","295","295","66870","65310"
"In post","2022","Cabinet Office","G6","Male","LGBO","35","35","65980","64680"
"In post","2022","Cabinet Office","G6","Male","Undeclared","40","40","66080","64500"
"In post","2022","Cabinet Office","G6","Male","Unknown","210","210","75950","73290"
"In post","2022","Cabinet Office","G6","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Cabinet Office","G6","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Cabinet Office","G7","Female","Heterosexual / straight","765","735","54230","54700"
"In post","2022","Cabinet Office","G7","Female","LGBO","75","75","53890","54700"
"In post","2022","Cabinet Office","G7","Female","Undeclared","75","75","54930","54700"
"In post","2022","Cabinet Office","G7","Female","Unknown","530","520","58240","54700"
"In post","2022","Cabinet Office","G7","Male","Heterosexual / straight","670","660","54900","54700"
"In post","2022","Cabinet Office","G7","Male","LGBO","95","95","55040","54700"
"In post","2022","Cabinet Office","G7","Male","Undeclared","90","85","55570","54700"
