"Status","Year","Region_ITL3","Region_london","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Aberdeen City and Aberdeenshire","Outside London","Female","970","885","32990","27940"
"In post","2022","Aberdeen City and Aberdeenshire","Outside London","Male","965","935","40580","35000"
"In post","2022","Angus and Dundee City","Outside London","Female","1280","1170","27460","26110"
"In post","2022","Angus and Dundee City","Outside London","Male","805","780","27090","23230"
"In post","2022","Antrim and Newtownabbey","Outside London","Female","65","60","29400","22500"
"In post","2022","Antrim and Newtownabbey","Outside London","Male","140","140","24730","20560"
"In post","2022","Ards and North Down","Outside London","Female","65","60","30480","25790"
"In post","2022","Ards and North Down","Outside London","Male","175","175","25950","21060"
"In post","2022","Armagh City, Banbridge and Craigavon","Outside London","Female","15","15","[c]","[c]"
"In post","2022","Armagh City, Banbridge and Craigavon","Outside London","Male","5","5","[c]","[c]"
"In post","2022","Barking & Dagenham and Havering","London","Female","440","390","31330","31060"
"In post","2022","Barking & Dagenham and Havering","London","Male","255","245","32180","31060"
"In post","2022","Barnet","London","Female","1135","1045","38240","32330"
"In post","2022","Barnet","London","Male","660","640","42050","36820"
"In post","2022","Barnsley, Doncaster and Rotherham","Outside London","Female","1930","1670","26760","26610"
"In post","2022","Barnsley, Doncaster and Rotherham","Outside London","Male","1195","1135","29430","27570"
"In post","2022","Bath and North East Somerset, North Somerset and South Gloucestershire","Outside London","Female","5575","5165","35140","32990"
"In post","2022","Bath and North East Somerset, North Somerset and South Gloucestershire","Outside London","Male","8170","8010","40080","38150"
"In post","2022","Bedford","Outside London","Female","485","435","29730","27570"
"In post","2022","Bedford","Outside London","Male","375","370","31880","28820"
"In post","2022","Belfast","Outside London","Female","1590","1450","30280","26820"
"In post","2022","Belfast","Outside London","Male","1545","1505","30980","26820"
"In post","2022","Berkshire","Outside London","Female","1390","1280","32630","29290"
"In post","2022","Berkshire","Outside London","Male","1540","1510","36090","33440"
"In post","2022","Bexley and Greenwich","London","Female","945","885","30870","30550"
"In post","2022","Bexley and Greenwich","London","Male","850","825","33730","33490"
"In post","2022","Birmingham","Outside London","Female","7395","6735","30740","27570"
"In post","2022","Birmingham","Outside London","Male","5640","5475","32930","27570"
"In post","2022","Blackburn with Darwen","Outside London","Female","285","245","27220","27570"
"In post","2022","Blackburn with Darwen","Outside London","Male","195","185","27450","27570"
"In post","2022","Blackpool","Outside London","Female","3395","3020","28820","27570"
"In post","2022","Blackpool","Outside London","Male","2160","2095","31700","27570"
"In post","2022","Bournemouth, Christchurch and Poole","Outside London","Female","450","395","28270","27570"
"In post","2022","Bournemouth, Christchurch and Poole","Outside London","Male","330","315","27850","27370"
"In post","2022","Bradford","Outside London","Female","1685","1420","26010","23170"
"In post","2022","Bradford","Outside London","Male","1080","1020","26110","22080"
"In post","2022","Breckland and South Norfolk","Outside London","Female","230","210","29380","26800"
"In post","2022","Breckland and South Norfolk","Outside London","Male","285","275","29650","27120"
"In post","2022","Brent","London","Female","395","360","31220","31060"
"In post","2022","Brent","London","Male","225","215","34350","31060"
