"Status","Year","Age","Ethnicity","Region_ITL1","Region_ITL2","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","16-19","Asian","East Midlands (England)","Derbyshire and Nottinghamshire","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","East Midlands (England)","Leicestershire, Rutland and Northamptonshire","5","5","[c]","[c]"
"In post","2022","16-19","Asian","East Midlands (England)","Lincolnshire","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","East of England","Bedfordshire and Hertfordshire","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","East of England","East Anglia","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","East of England","Essex","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","London","Inner London - East","5","5","[c]","[c]"
"In post","2022","16-19","Asian","London","Inner London - West","15","15","[c]","[c]"
"In post","2022","16-19","Asian","London","Outer London - East and North East","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","London","Outer London - South","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","London","Outer London - West and North West","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","North East (England)","Northumberland, and Tyne and Wear","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","North East (England)","Tees Valley and Durham","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","North West (England)","Cheshire","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","North West (England)","Cumbria","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","North West (England)","Greater Manchester","5","5","[c]","[c]"
"In post","2022","16-19","Asian","North West (England)","Lancashire","10","10","[c]","[c]"
"In post","2022","16-19","Asian","North West (England)","Merseyside","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Northern Ireland","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Scotland","Eastern Scotland","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Scotland","Highlands and Islands","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Scotland","North Eastern Scotland","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Scotland","Southern Scotland","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Scotland","West Central Scotland","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","South East (England)","Berkshire, Buckinghamshire and Oxfordshire","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","South East (England)","Hampshire and Isle of Wight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","South East (England)","Kent","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","South East (England)","Surrey, East and West Sussex","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","South West (England)","Cornwall and Isles of Scilly","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","South West (England)","Devon","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","South West (England)","Dorset and Somerset","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","South West (England)","Gloucestershire, Wiltshire and Bath/Bristol area","5","5","[c]","[c]"
"In post","2022","16-19","Asian","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Wales","East Wales","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Wales","West Wales and The Valleys","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","West Midlands (England)","Herefordshire, Worcestershire and Warwickshire","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","West Midlands (England)","Shropshire and Staffordshire","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","West Midlands (England)","West Midlands","10","10","[c]","[c]"
"In post","2022","16-19","Asian","Yorkshire and The Humber","East Yorkshire and Northern Lincolnshire","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Yorkshire and The Humber","North Yorkshire","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Yorkshire and The Humber","South Yorkshire","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Yorkshire and The Humber","West Yorkshire","20","20","[c]","[c]"
"In post","2022","16-19","Black","East Midlands (England)","Derbyshire and Nottinghamshire","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Black","East Midlands (England)","Leicestershire, Rutland and Northamptonshire","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Black","East Midlands (England)","Lincolnshire","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Black","East of England","Bedfordshire and Hertfordshire","[c]","[c]","[c]","[c]"
