"Status","Year","Age","Ethnicity","Region_ITL3","Region_london","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","16-19","Asian","Aberdeen City and Aberdeenshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Angus and Dundee City","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Barnet","London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Barnsley, Doncaster and Rotherham","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Bath and North East Somerset, North Somerset and South Gloucestershire","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Bedford","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Belfast","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Berkshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Bexley and Greenwich","London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Birmingham","Outside London","5","5","[c]","[c]"
"In post","2022","16-19","Asian","Blackpool","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Bradford","Outside London","10","10","[c]","[c]"
"In post","2022","16-19","Asian","Breckland and South Norfolk","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Brent","London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Bridgend and Neath Port Talbot","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Brighton and Hove","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Bristol, City of","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Buckinghamshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Calderdale and Kirklees","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Cambridgeshire CC","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Camden and City of London","London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Cardiff and Vale of Glamorgan","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Central Hampshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Central Valleys","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Cheshire East","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","City of Edinburgh","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Clackmannanshire and Fife","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Cornwall and Isles of Scilly","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Coventry","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Croydon","London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Devon CC","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Dorset","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Dudley","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Durham","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","East Ayrshire and North Ayrshire mainland","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","East Cumbria","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","East Dunbartonshire, West Dunbartonshire, and Helensburgh and Lomond","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","East Kent","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","East Merseyside","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","East Riding of Yorkshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","East Surrey","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","East Sussex CC","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Enfield","London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Essex Haven Gateway","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Falkirk","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Flintshire and Wrexham","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Glasgow City","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Greater Manchester North West","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Greater Manchester South East","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Greater Manchester South West","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Gwent Valleys","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Hackney and Newham","London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Haringey and Islington","London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Hartlepool and Stockton-on-Tees","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Heart of Essex","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Hertfordshire CC","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Hounslow and Richmond upon Thames","London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Inverclyde, East Renfrewshire, and Renfrewshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Isle of Wight","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Kensington & Chelsea and Hammersmith & Fulham","London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Kent Thames Gateway","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Kingston upon Hull, City of","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Lancaster and Wyre","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Leeds","Outside London","5","5","[c]","[c]"
"In post","2022","16-19","Asian","Leicester","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Leicestershire CC and Rutland","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Lewisham and Southwark","London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Lincolnshire CC","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Lisburn and Castlereagh","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Liverpool","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Lochaber, Skye and Lochalsh, Arran and Cumbrae, and Argyll and Bute","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Manchester","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Medway","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Mid Lancashire","Outside London","10","10","[c]","[c]"
"In post","2022","16-19","Asian","Milton Keynes","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Monmouthshire and Newport","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Newry, Mourne and Down","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","North and North East Lincolnshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","North Lanarkshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","North Northamptonshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","North Nottinghamshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Norwich and East Norfolk","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Nottingham","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Oxfordshire CC","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Perth and Kinross, and Stirling","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Peterborough","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Plymouth","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Portsmouth","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Redbridge and Waltham Forest","London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Scottish Borders","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Sefton","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Sheffield","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Shetland Islands","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Solihull","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","South and West Derbyshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","South Hampshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","South Lanarkshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","South Teesside","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","South West Wales","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Southampton","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Staffordshire CC","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Stoke-on-Trent","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Suffolk CC","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Sunderland","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Swansea","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Thurrock","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Tower Hamlets","London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Tyneside","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Wakefield","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Warrington","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Warwickshire CC","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","West Cumbria","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","West Lothian","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","West Northamptonshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","West Surrey","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","West Sussex (South West)","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Westminster","London","15","15","[c]","[c]"
"In post","2022","16-19","Asian","Wiltshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Wirral","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Wolverhampton","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Worcestershire CC","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","York","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Black","Aberdeen City and Aberdeenshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Black","Angus and Dundee City","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Black","Barnet","London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Black","Barnsley, Doncaster and Rotherham","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Black","Bath and North East Somerset, North Somerset and South Gloucestershire","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Black","Bedford","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Black","Belfast","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Black","Berkshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Black","Bexley and Greenwich","London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Black","Birmingham","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Black","Blackpool","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Black","Bradford","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Black","Breckland and South Norfolk","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Black","Brent","London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Black","Bridgend and Neath Port Talbot","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Black","Brighton and Hove","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Black","Bristol, City of","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Black","Buckinghamshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Black","Calderdale and Kirklees","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Black","Cambridgeshire CC","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Black","Camden and City of London","London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Black","Cardiff and Vale of Glamorgan","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Black","Central Hampshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Black","Central Valleys","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Black","Cheshire East","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Black","City of Edinburgh","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Black","Clackmannanshire and Fife","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Black","Cornwall and Isles of Scilly","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Black","Coventry","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Black","Croydon","London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Black","Devon CC","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Black","Dorset","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Black","Dudley","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Black","Durham","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Black","East Ayrshire and North Ayrshire mainland","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Black","East Cumbria","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Black","East Dunbartonshire, West Dunbartonshire, and Helensburgh and Lomond","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Black","East Kent","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Black","East Merseyside","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Black","East Riding of Yorkshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Black","East Surrey","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Black","East Sussex CC","Outside London","[c]","[c]","[c]","[c]"
