"Status","Year","Ethnicity","Region_london","Responsibility_level_grouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Asian","London","AA/AO","2355","2085","25150","25110"
"In post","2022","Asian","London","EO","4585","4275","29980","30500"
"In post","2022","Asian","London","G6/G7","2555","2485","59910","58010"
"In post","2022","Asian","London","SCS level","230","225","90640","82870"
"In post","2022","Asian","London","SEO/HEO","4890","4780","38650","37930"
"In post","2022","Asian","London","Unknown","185","180","32880","32090"
"In post","2022","Asian","Outside London","AA/AO","6105","5390","21690","21260"
"In post","2022","Asian","Outside London","EO","6120","5765","27100","27570"
"In post","2022","Asian","Outside London","G6/G7","1230","1195","56610","55000"
"In post","2022","Asian","Outside London","SCS level","90","85","94970","93430"
"In post","2022","Asian","Outside London","SEO/HEO","4345","4210","35790","33370"
"In post","2022","Asian","Outside London","Unknown","625","580","29120","26310"
"In post","2022","Asian","Overseas","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Overseas","EO","25","25","[c]","[c]"
"In post","2022","Asian","Overseas","G6/G7","45","45","59840","58030"
"In post","2022","Asian","Overseas","SCS level","10","10","[c]","[c]"
"In post","2022","Asian","Overseas","SEO/HEO","60","60","38320","34770"
"In post","2022","Asian","Overseas","Unknown","25","25","[c]","[c]"
"In post","2022","Asian","Unknown","AA/AO","50","40","24040","25110"
"In post","2022","Asian","Unknown","EO","80","75","29930","30330"
"In post","2022","Asian","Unknown","G6/G7","5","5","[c]","[c]"
"In post","2022","Asian","Unknown","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Unknown","SEO/HEO","25","25","[c]","[c]"
"In post","2022","Asian","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Black","London","AA/AO","2205","2055","26200","25110"
"In post","2022","Black","London","EO","3540","3395","30340","31060"
"In post","2022","Black","London","G6/G7","1090","1080","58880","57430"
"In post","2022","Black","London","SCS level","70","70","88830","79510"
"In post","2022","Black","London","SEO/HEO","2935","2895","38580","37930"
"In post","2022","Black","London","Unknown","660","645","33460","32090"
"In post","2022","Black","Outside London","AA/AO","1925","1780","22690","21260"
"In post","2022","Black","Outside London","EO","2080","1985","27470","27570"
"In post","2022","Black","Outside London","G6/G7","360","355","55380","53050"
"In post","2022","Black","Outside London","SCS level","25","25","[c]","[c]"
"In post","2022","Black","Outside London","SEO/HEO","1530","1495","36020","34010"
"In post","2022","Black","Outside London","Unknown","525","500","29230","28200"
"In post","2022","Black","Overseas","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Black","Overseas","EO","15","15","[c]","[c]"
"In post","2022","Black","Overseas","G6/G7","25","25","[c]","[c]"
"In post","2022","Black","Overseas","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Black","Overseas","SEO/HEO","25","25","[c]","[c]"
"In post","2022","Black","Overseas","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Black","Unknown","AA/AO","10","10","[c]","[c]"
"In post","2022","Black","Unknown","EO","30","30","29860","31060"
"In post","2022","Black","Unknown","G6/G7","5","5","[c]","[c]"
"In post","2022","Black","Unknown","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Black","Unknown","SEO/HEO","10","10","[c]","[c]"
"In post","2022","Black","Unknown","Unknown","5","5","[c]","[c]"
"In post","2022","Mixed","London","AA/AO","410","385","26200","25110"
"In post","2022","Mixed","London","EO","765","730","29950","30500"
"In post","2022","Mixed","London","G6/G7","925","895","59160","57460"
"In post","2022","Mixed","London","SCS level","105","100","85320","79390"
"In post","2022","Mixed","London","SEO/HEO","1265","1240","38320","37790"
"In post","2022","Mixed","London","Unknown","130","125","33860","33700"
"In post","2022","Mixed","Outside London","AA/AO","1600","1470","22860","21260"
"In post","2022","Mixed","Outside London","EO","1530","1445","27440","27570"
"In post","2022","Mixed","Outside London","G6/G7","505","480","57290","55210"
"In post","2022","Mixed","Outside London","SCS level","35","35","84180","77840"
"In post","2022","Mixed","Outside London","SEO/HEO","1340","1295","36060","34540"
"In post","2022","Mixed","Outside London","Unknown","420","400","29930","28200"
"In post","2022","Mixed","Overseas","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","Overseas","EO","10","10","[c]","[c]"
"In post","2022","Mixed","Overseas","G6/G7","40","40","59180","55620"
"In post","2022","Mixed","Overseas","SCS level","15","15","[c]","[c]"
"In post","2022","Mixed","Overseas","SEO/HEO","45","45","36910","34220"
"In post","2022","Mixed","Overseas","Unknown","5","5","[c]","[c]"
"In post","2022","Mixed","Unknown","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","Unknown","EO","20","15","[c]","[c]"
"In post","2022","Mixed","Unknown","G6/G7","5","5","[c]","[c]"
"In post","2022","Mixed","Unknown","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","Unknown","SEO/HEO","5","5","[c]","[c]"
"In post","2022","Mixed","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","London","AA/AO","185","170","26200","25110"
"In post","2022","Other ethnicity","London","EO","345","330","30010","30510"
"In post","2022","Other ethnicity","London","G6/G7","305","290","60950","58730"
"In post","2022","Other ethnicity","London","SCS level","30","30","85660","82440"
"In post","2022","Other ethnicity","London","SEO/HEO","390","380","38860","38160"
"In post","2022","Other ethnicity","London","Unknown","50","50","33990","34100"
"In post","2022","Other ethnicity","Outside London","AA/AO","375","345","22960","21260"
"In post","2022","Other ethnicity","Outside London","EO","370","350","27430","27570"
"In post","2022","Other ethnicity","Outside London","G6/G7","125","120","56430","55210"
"In post","2022","Other ethnicity","Outside London","SCS level","15","15","[c]","[c]"
"In post","2022","Other ethnicity","Outside London","SEO/HEO","360","350","37360","36330"
"In post","2022","Other ethnicity","Outside London","Unknown","50","50","28210","26510"
"In post","2022","Other ethnicity","Overseas","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Overseas","EO","5","5","[c]","[c]"
"In post","2022","Other ethnicity","Overseas","G6/G7","10","10","[c]","[c]"
"In post","2022","Other ethnicity","Overseas","SCS level","5","5","[c]","[c]"
"In post","2022","Other ethnicity","Overseas","SEO/HEO","15","15","[c]","[c]"
"In post","2022","Other ethnicity","Overseas","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Unknown","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Unknown","EO","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Unknown","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Unknown","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Unknown","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","London","AA/AO","535","490","25300","25110"
"In post","2022","Undeclared","London","EO","1140","1065","30590","30780"
"In post","2022","Undeclared","London","G6/G7","1145","1115","61980","61090"
"In post","2022","Undeclared","London","SCS level","115","110","87320","79930"
"In post","2022","Undeclared","London","SEO/HEO","1395","1345","39910","39600"
"In post","2022","Undeclared","London","Unknown","105","100","35720","33700"
"In post","2022","Undeclared","Outside London","AA/AO","4100","3645","22700","21260"
"In post","2022","Undeclared","Outside London","EO","4435","4055","28060","27570"
"In post","2022","Undeclared","Outside London","G6/G7","1675","1610","57580","55210"
"In post","2022","Undeclared","Outside London","SCS level","70","70","88720","82890"
"In post","2022","Undeclared","Outside London","SEO/HEO","4740","4525","37310","36300"
"In post","2022","Undeclared","Outside London","Unknown","475","440","34100","33160"
"In post","2022","Undeclared","Overseas","AA/AO","5","5","[c]","[c]"
"In post","2022","Undeclared","Overseas","EO","25","25","[c]","[c]"
"In post","2022","Undeclared","Overseas","G6/G7","80","75","58630","56300"
"In post","2022","Undeclared","Overseas","SCS level","20","20","[c]","[c]"
"In post","2022","Undeclared","Overseas","SEO/HEO","95","95","37750","36270"
"In post","2022","Undeclared","Overseas","Unknown","15","15","[c]","[c]"
"In post","2022","Undeclared","Unknown","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Unknown","EO","15","15","[c]","[c]"
"In post","2022","Undeclared","Unknown","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Unknown","SEO/HEO","20","20","[c]","[c]"
"In post","2022","Undeclared","Unknown","Unknown","5","5","[c]","[c]"
"In post","2022","Unknown","London","AA/AO","1890","1810","26550","25330"
"In post","2022","Unknown","London","EO","2770","2690","29790","29970"
"In post","2022","Unknown","London","G6/G7","4640","4535","60500","58590"
"In post","2022","Unknown","London","SCS level","625","610","96480","89000"
"In post","2022","Unknown","London","SEO/HEO","6450","6360","36830","36650"
"In post","2022","Unknown","London","Unknown","405","375","32820","29810"
"In post","2022","Unknown","Outside London","AA/AO","20875","19305","22480","21260"
"In post","2022","Unknown","Outside London","EO","13095","12440","27640","26820"
"In post","2022","Unknown","Outside London","G6/G7","4200","4060","58590","55210"
"In post","2022","Unknown","Outside London","SCS level","285","275","95750","87210"
"In post","2022","Unknown","Outside London","SEO/HEO","11150","10775","35830","33430"
"In post","2022","Unknown","Outside London","Unknown","3370","3045","28110","26310"
"In post","2022","Unknown","Overseas","AA/AO","10","10","[c]","[c]"
"In post","2022","Unknown","Overseas","EO","15","15","[c]","[c]"
"In post","2022","Unknown","Overseas","G6/G7","215","215","58310","56110"
"In post","2022","Unknown","Overseas","SCS level","15","15","[c]","[c]"
"In post","2022","Unknown","Overseas","SEO/HEO","255","250","41880","41600"
"In post","2022","Unknown","Overseas","Unknown","10","10","[c]","[c]"
"In post","2022","Unknown","Unknown","AA/AO","20","20","[c]","[c]"
"In post","2022","Unknown","Unknown","EO","60","60","27540","27570"
"In post","2022","Unknown","Unknown","G6/G7","55","50","59870","58690"
"In post","2022","Unknown","Unknown","SCS level","10","10","[c]","[c]"
"In post","2022","Unknown","Unknown","SEO/HEO","285","280","31740","29250"
"In post","2022","Unknown","Unknown","Unknown","1790","1785","37370","33630"
"In post","2022","White","London","AA/AO","4295","4000","26360","25110"
"In post","2022","White","London","EO","7980","7605","30370","30330"
"In post","2022","White","London","G6/G7","18675","17990","60940","59290"
"In post","2022","White","London","SCS level","3310","3185","90600","82240"
"In post","2022","White","London","SEO/HEO","18265","17810","39400","39320"
"In post","2022","White","London","Unknown","895","850","36720","34100"
"In post","2022","White","Outside London","AA/AO","90040","80610","22710","21260"
"In post","2022","White","Outside London","EO","81785","75175","27560","27570"
"In post","2022","White","Outside London","G6/G7","30550","29370","57920","55210"
"In post","2022","White","Outside London","SCS level","1905","1855","89570","83020"
"In post","2022","White","Outside London","SEO/HEO","80360","76700","36760","35900"
"In post","2022","White","Outside London","Unknown","13455","12560","31350","28320"
"In post","2022","White","Overseas","AA/AO","45","40","21930","21830"
"In post","2022","White","Overseas","EO","190","190","27690","26930"
"In post","2022","White","Overseas","G6/G7","900","895","60110","58030"
"In post","2022","White","Overseas","SCS level","225","225","86220","77510"
"In post","2022","White","Overseas","SEO/HEO","1030","1030","38950","34770"
"In post","2022","White","Overseas","Unknown","140","140","40940","33050"
"In post","2022","White","Unknown","AA/AO","115","105","21510","21260"
"In post","2022","White","Unknown","EO","230","220","27780","27570"
"In post","2022","White","Unknown","G6/G7","95","90","56230","54700"
"In post","2022","White","Unknown","SCS level","15","10","[c]","[c]"
"In post","2022","White","Unknown","SEO/HEO","250","245","37190","36540"
"In post","2022","White","Unknown","Unknown","80","80","29620","27370"
"Leaver CS","2022","Asian","London","AA/AO","260","[c]","23520","23720"
"Leaver CS","2022","Asian","London","EO","355","[c]","29430","30750"
"Leaver CS","2022","Asian","London","G6/G7","170","[c]","59190","57580"
"Leaver CS","2022","Asian","London","SCS level","30","[c]","[c]","[c]"
"Leaver CS","2022","Asian","London","SEO/HEO","305","[c]","37600","37230"
