"Status","Year","Ethnicity","Profession_of_post","Responsibility_level_grouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Asian","Economics","AA/AO","15","15","[c]","[c]"
"In post","2022","Asian","Economics","EO","25","25","[c]","[c]"
"In post","2022","Asian","Economics","G6/G7","90","85","59520","58130"
"In post","2022","Asian","Economics","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Economics","SEO/HEO","95","95","35280","33880"
"In post","2022","Asian","Economics","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Finance","AA/AO","50","45","22970","22420"
"In post","2022","Asian","Finance","EO","195","190","27470","27270"
"In post","2022","Asian","Finance","G6/G7","200","195","59160","57880"
"In post","2022","Asian","Finance","SCS level","25","20","[c]","[c]"
"In post","2022","Asian","Finance","SEO/HEO","530","515","38210","37610"
"In post","2022","Asian","Finance","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Geography","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Geography","EO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Geography","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Geography","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Geography","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Human Resources","AA/AO","60","55","22450","21530"
"In post","2022","Asian","Human Resources","EO","125","120","28100","27570"
"In post","2022","Asian","Human Resources","G6/G7","95","95","58580","57460"
"In post","2022","Asian","Human Resources","SCS level","10","10","[c]","[c]"
"In post","2022","Asian","Human Resources","SEO/HEO","265","260","36830","36650"
"In post","2022","Asian","Human Resources","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Inspector of Education and Training","G6/G7","10","10","[c]","[c]"
"In post","2022","Asian","Inspector of Education and Training","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Inspector of Education and Training","SEO/HEO","15","15","[c]","[c]"
"In post","2022","Asian","Intelligence Analysis","AA/AO","15","15","[c]","[c]"
"In post","2022","Asian","Intelligence Analysis","EO","115","110","28360","28850"
"In post","2022","Asian","Intelligence Analysis","G6/G7","10","10","[c]","[c]"
"In post","2022","Asian","Intelligence Analysis","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Intelligence Analysis","SEO/HEO","55","50","36990","35200"
"In post","2022","Asian","Intelligence Analysis","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Internal Audit","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Internal Audit","EO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Internal Audit","G6/G7","20","20","[c]","[c]"
"In post","2022","Asian","Internal Audit","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Internal Audit","SEO/HEO","55","55","41240","40180"
"In post","2022","Asian","International Trade","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","International Trade","EO","10","10","[c]","[c]"
"In post","2022","Asian","International Trade","G6/G7","40","40","56840","55010"
"In post","2022","Asian","International Trade","SCS level","10","10","[c]","[c]"
"In post","2022","Asian","International Trade","SEO/HEO","80","80","36440","36580"
"In post","2022","Asian","Knowledge and Information Management","AA/AO","20","15","[c]","[c]"
"In post","2022","Asian","Knowledge and Information Management","EO","30","30","27850","27760"
"In post","2022","Asian","Knowledge and Information Management","G6/G7","15","15","[c]","[c]"
"In post","2022","Asian","Knowledge and Information Management","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Knowledge and Information Management","SEO/HEO","55","50","35900","35000"
"In post","2022","Asian","Knowledge and Information Management","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Legal","AA/AO","10","10","[c]","[c]"
"In post","2022","Asian","Legal","EO","135","130","28880","28440"
"In post","2022","Asian","Legal","G6/G7","585","545","57490","54400"
"In post","2022","Asian","Legal","SCS level","15","15","[c]","[c]"
"In post","2022","Asian","Legal","SEO/HEO","295","280","39180","38590"
"In post","2022","Asian","Legal","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Medicine","AA/AO","30","30","24240","23280"
"In post","2022","Asian","Medicine","EO","10","10","[c]","[c]"
"In post","2022","Asian","Medicine","G6/G7","75","65","74890","74070"
"In post","2022","Asian","Medicine","SCS level","55","55","107960","107700"
"In post","2022","Asian","Medicine","SEO/HEO","20","20","[c]","[c]"
"In post","2022","Asian","Operational Delivery","AA/AO","6510","5710","22670","21260"
"In post","2022","Asian","Operational Delivery","EO","7350","6815","28450","27570"
"In post","2022","Asian","Operational Delivery","G6/G7","340","335","57800","55140"
"In post","2022","Asian","Operational Delivery","SCS level","30","30","95310","90680"
"In post","2022","Asian","Operational Delivery","SEO/HEO","2450","2355","37000","35200"
"In post","2022","Asian","Operational Delivery","Unknown","750","695","29320","27980"
"In post","2022","Asian","Operational Research","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Operational Research","EO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Operational Research","G6/G7","15","15","[c]","[c]"
"In post","2022","Asian","Operational Research","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Operational Research","SEO/HEO","35","35","37980","37930"
"In post","2022","Asian","Operational Research","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Other","AA/AO","565","495","22070","21260"
"In post","2022","Asian","Other","EO","645","615","28110","27570"
"In post","2022","Asian","Other","G6/G7","110","105","60860","58030"
"In post","2022","Asian","Other","SCS level","10","10","[c]","[c]"
"In post","2022","Asian","Other","SEO/HEO","325","310","36670","35200"
"In post","2022","Asian","Other","Unknown","25","25","[c]","[c]"
"In post","2022","Asian","Planning","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Planning","EO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Planning","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Planning","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Planning","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Planning Inspectors","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Planning Inspectors","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Planning Inspectors","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Planning Inspectors","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Policy","AA/AO","65","60","24090","24370"
"In post","2022","Asian","Policy","EO","270","260","28430","28310"
"In post","2022","Asian","Policy","G6/G7","740","725","57780","55500"
"In post","2022","Asian","Policy","SCS level","85","80","82920","76920"
"In post","2022","Asian","Policy","SEO/HEO","1255","1230","37170","36650"
"In post","2022","Asian","Policy","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Project Delivery","AA/AO","60","40","23510","23460"
"In post","2022","Asian","Project Delivery","EO","120","115","28030","27890"
"In post","2022","Asian","Project Delivery","G6/G7","220","220","58470","57430"
"In post","2022","Asian","Project Delivery","SCS level","15","15","[c]","[c]"
"In post","2022","Asian","Project Delivery","SEO/HEO","535","525","37750","37610"
"In post","2022","Asian","Project Delivery","Unknown","15","15","[c]","[c]"
"In post","2022","Asian","Property","AA/AO","20","15","[c]","[c]"
"In post","2022","Asian","Property","EO","105","100","28490","28410"
"In post","2022","Asian","Property","G6/G7","60","60","58050","55000"
"In post","2022","Asian","Property","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Property","SEO/HEO","135","135","38070","37590"
"In post","2022","Asian","Property","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Psychology","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Psychology","EO","10","10","[c]","[c]"
"In post","2022","Asian","Psychology","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Psychology","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Psychology","SEO/HEO","25","25","[c]","[c]"
"In post","2022","Asian","Psychology","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Science and Engineering","AA/AO","30","30","22710","23080"
"In post","2022","Asian","Science and Engineering","EO","95","90","26680","26880"
"In post","2022","Asian","Science and Engineering","G6/G7","95","90","57170","55130"
"In post","2022","Asian","Science and Engineering","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Science and Engineering","SEO/HEO","355","345","37210","37640"
"In post","2022","Asian","Science and Engineering","Unknown","25","25","[c]","[c]"
"In post","2022","Asian","Security","AA/AO","170","165","24640","22460"
"In post","2022","Asian","Security","EO","50","50","29120","28780"
"In post","2022","Asian","Security","G6/G7","25","25","[c]","[c]"
"In post","2022","Asian","Security","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Security","SEO/HEO","100","100","38490","37640"
"In post","2022","Asian","Security","Unknown","5","5","[c]","[c]"
"In post","2022","Asian","Social Research","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Social Research","EO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Social Research","G6/G7","15","15","[c]","[c]"
"In post","2022","Asian","Social Research","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Social Research","SEO/HEO","35","35","36130","37180"
"In post","2022","Asian","Statistics","AA/AO","5","5","[c]","[c]"
"In post","2022","Asian","Statistics","EO","20","20","[c]","[c]"
"In post","2022","Asian","Statistics","G6/G7","55","50","59060","59630"
"In post","2022","Asian","Statistics","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Statistics","SEO/HEO","100","100","38580","38340"
"In post","2022","Asian","Tax","AA/AO","365","335","21430","21250"
"In post","2022","Asian","Tax","EO","535","510","27960","26820"
"In post","2022","Asian","Tax","G6/G7","200","195","58980","57130"
"In post","2022","Asian","Tax","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Tax","SEO/HEO","875","850","36360","33370"
"In post","2022","Asian","Unknown","AA/AO","230","220","22190","21250"
"In post","2022","Asian","Unknown","EO","305","295","28020","27500"
"In post","2022","Asian","Unknown","G6/G7","310","310","59200","57610"
"In post","2022","Asian","Unknown","SCS level","35","35","92150","90000"
"In post","2022","Asian","Unknown","SEO/HEO","565","560","37010","36130"
"In post","2022","Asian","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Veterinarian","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Veterinarian","EO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Veterinarian","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Veterinarian","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Veterinarian","SEO/HEO","5","5","[c]","[c]"
"In post","2022","Black","Commercial","AA/AO","15","15","[c]","[c]"
"In post","2022","Black","Commercial","EO","35","35","27370","27230"
"In post","2022","Black","Commercial","G6/G7","25","25","[c]","[c]"
"In post","2022","Black","Commercial","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Black","Commercial","SEO/HEO","115","115","37790","37040"
"In post","2022","Black","Commercial","Unknown","5","5","[c]","[c]"
"In post","2022","Black","Communications","AA/AO","10","10","[c]","[c]"
"In post","2022","Black","Communications","EO","25","25","[c]","[c]"
"In post","2022","Black","Communications","G6/G7","20","20","[c]","[c]"
"In post","2022","Black","Communications","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Black","Communications","SEO/HEO","60","60","37950","37470"
"In post","2022","Black","Communications","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Black","Corporate Finance","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Black","Corporate Finance","EO","[c]","[c]","[c]","[c]"
"In post","2022","Black","Corporate Finance","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Black","Corporate Finance","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Black","Corporate Finance","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Black","Counter Fraud","AA/AO","110","95","24060","25110"
"In post","2022","Black","Counter Fraud","EO","160","150","30170","31060"
"In post","2022","Black","Counter Fraud","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Black","Counter Fraud","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Black","Counter Fraud","SEO/HEO","40","40","36990","36650"
"In post","2022","Black","Digital, Data and Technology","AA/AO","15","15","[c]","[c]"
"In post","2022","Black","Digital, Data and Technology","EO","115","110","28310","28170"
"In post","2022","Black","Digital, Data and Technology","G6/G7","125","125","57930","57430"
"In post","2022","Black","Digital, Data and Technology","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Black","Digital, Data and Technology","SEO/HEO","345","340","38010","37290"
"In post","2022","Black","Digital, Data and Technology","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Black","Economics","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Black","Economics","EO","10","10","[c]","[c]"
"In post","2022","Black","Economics","G6/G7","20","20","[c]","[c]"
"In post","2022","Black","Economics","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Black","Economics","SEO/HEO","35","35","34070","33570"
"In post","2022","Black","Economics","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Black","Finance","AA/AO","30","30","24010","23940"
"In post","2022","Black","Finance","EO","85","80","28570","28860"
"In post","2022","Black","Finance","G6/G7","85","85","57970","57220"
"In post","2022","Black","Finance","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Black","Finance","SEO/HEO","240","240","38860","37930"
"In post","2022","Black","Finance","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Black","Geography","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Black","Geography","EO","[c]","[c]","[c]","[c]"
"In post","2022","Black","Geography","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Black","Geography","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Black","Geography","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Black","Human Resources","AA/AO","30","30","23840","23770"
"In post","2022","Black","Human Resources","EO","80","80","28170","27720"
"In post","2022","Black","Human Resources","G6/G7","55","55","57540","56630"
"In post","2022","Black","Human Resources","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Black","Human Resources","SEO/HEO","180","175","37250","36370"
"In post","2022","Black","Human Resources","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Black","Inspector of Education and Training","G6/G7","10","10","[c]","[c]"
"In post","2022","Black","Inspector of Education and Training","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Black","Inspector of Education and Training","SEO/HEO","20","20","[c]","[c]"
"In post","2022","Black","Intelligence Analysis","AA/AO","5","5","[c]","[c]"
"In post","2022","Black","Intelligence Analysis","EO","35","30","29690","29390"
"In post","2022","Black","Intelligence Analysis","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Black","Intelligence Analysis","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Black","Intelligence Analysis","SEO/HEO","15","15","[c]","[c]"
"In post","2022","Black","Intelligence Analysis","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Black","Internal Audit","AA/AO","5","5","[c]","[c]"
"In post","2022","Black","Internal Audit","EO","[c]","[c]","[c]","[c]"
"In post","2022","Black","Internal Audit","G6/G7","5","5","[c]","[c]"
"In post","2022","Black","Internal Audit","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Black","Internal Audit","SEO/HEO","20","20","[c]","[c]"
"In post","2022","Black","International Trade","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Black","International Trade","EO","15","15","[c]","[c]"
"In post","2022","Black","International Trade","G6/G7","20","20","[c]","[c]"
"In post","2022","Black","International Trade","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Black","International Trade","SEO/HEO","35","35","36380","38040"
"In post","2022","Black","Knowledge and Information Management","AA/AO","10","10","[c]","[c]"
"In post","2022","Black","Knowledge and Information Management","EO","25","25","[c]","[c]"
"In post","2022","Black","Knowledge and Information Management","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Black","Knowledge and Information Management","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Black","Knowledge and Information Management","SEO/HEO","25","25","[c]","[c]"
"In post","2022","Black","Knowledge and Information Management","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Black","Legal","AA/AO","10","10","[c]","[c]"
"In post","2022","Black","Legal","EO","70","70","29880","31020"
"In post","2022","Black","Legal","G6/G7","245","235","59030","57570"
"In post","2022","Black","Legal","SCS level","15","15","[c]","[c]"
"In post","2022","Black","Legal","SEO/HEO","150","145","39410","39470"
"In post","2022","Black","Legal","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Black","Medicine","AA/AO","10","10","[c]","[c]"
"In post","2022","Black","Medicine","EO","[c]","[c]","[c]","[c]"
"In post","2022","Black","Medicine","G6/G7","15","15","[c]","[c]"
"In post","2022","Black","Medicine","SCS level","10","10","[c]","[c]"
"In post","2022","Black","Medicine","SEO/HEO","20","20","[c]","[c]"
"In post","2022","Black","Operational Delivery","AA/AO","3310","3065","24870","24080"
"In post","2022","Black","Operational Delivery","EO","3850","3660","29470","29290"
"In post","2022","Black","Operational Delivery","G6/G7","150","150","57870","54850"
"In post","2022","Black","Operational Delivery","SCS level","10","10","[c]","[c]"
"In post","2022","Black","Operational Delivery","SEO/HEO","1110","1085","37660","36300"
"In post","2022","Black","Operational Delivery","Unknown","1170","1125","31520","28690"
"In post","2022","Black","Operational Research","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Black","Operational Research","EO","[c]","[c]","[c]","[c]"
"In post","2022","Black","Operational Research","G6/G7","5","5","[c]","[c]"
"In post","2022","Black","Operational Research","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Black","Operational Research","SEO/HEO","10","10","[c]","[c]"
"In post","2022","Black","Operational Research","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Black","Other","AA/AO","200","190","22360","21380"
"In post","2022","Black","Other","EO","390","380","28830","29290"
"In post","2022","Black","Other","G6/G7","30","30","58390","57460"
"In post","2022","Black","Other","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Black","Other","SEO/HEO","180","175","36630","35600"
"In post","2022","Black","Other","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Black","Planning","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Black","Planning","EO","[c]","[c]","[c]","[c]"
"In post","2022","Black","Planning","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Black","Planning","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Black","Planning","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Black","Planning Inspectors","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Black","Planning Inspectors","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Black","Planning Inspectors","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Black","Planning Inspectors","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Black","Policy","AA/AO","75","70","25080","24370"
"In post","2022","Black","Policy","EO","235","230","29030","28990"
"In post","2022","Black","Policy","G6/G7","290","290","56800","54400"
"In post","2022","Black","Policy","SCS level","25","25","[c]","[c]"
"In post","2022","Black","Policy","SEO/HEO","670","665","37000","36580"
"In post","2022","Black","Policy","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Black","Project Delivery","AA/AO","35","30","23220","23380"
"In post","2022","Black","Project Delivery","EO","70","70","28450","28670"
"In post","2022","Black","Project Delivery","G6/G7","120","120","58210","57430"
"In post","2022","Black","Project Delivery","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Black","Project Delivery","SEO/HEO","330","325","37540","37610"
"In post","2022","Black","Project Delivery","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Black","Property","AA/AO","10","10","[c]","[c]"
"In post","2022","Black","Property","EO","45","45","28850","29370"
"In post","2022","Black","Property","G6/G7","25","25","[c]","[c]"
"In post","2022","Black","Property","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Black","Property","SEO/HEO","80","80","38580","37220"
"In post","2022","Black","Property","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Black","Psychology","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Black","Psychology","EO","5","5","[c]","[c]"
"In post","2022","Black","Psychology","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Black","Psychology","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Black","Psychology","SEO/HEO","15","15","[c]","[c]"
"In post","2022","Black","Psychology","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Black","Science and Engineering","AA/AO","20","20","[c]","[c]"
"In post","2022","Black","Science and Engineering","EO","40","40","26960","27150"
"In post","2022","Black","Science and Engineering","G6/G7","45","45","55240","53850"
"In post","2022","Black","Science and Engineering","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Black","Science and Engineering","SEO/HEO","165","155","37490","38630"
"In post","2022","Black","Science and Engineering","Unknown","5","5","[c]","[c]"
"In post","2022","Black","Security","AA/AO","70","65","24540","22900"
"In post","2022","Black","Security","EO","15","15","[c]","[c]"
"In post","2022","Black","Security","G6/G7","10","10","[c]","[c]"
"In post","2022","Black","Security","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Black","Security","SEO/HEO","40","40","39270","37360"
"In post","2022","Black","Security","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Black","Social Research","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Black","Social Research","EO","[c]","[c]","[c]","[c]"
"In post","2022","Black","Social Research","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Black","Social Research","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Black","Social Research","SEO/HEO","25","25","[c]","[c]"
"In post","2022","Black","Statistics","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Black","Statistics","EO","15","15","[c]","[c]"
"In post","2022","Black","Statistics","G6/G7","10","10","[c]","[c]"
"In post","2022","Black","Statistics","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Black","Statistics","SEO/HEO","35","30","39170","40180"
"In post","2022","Black","Tax","AA/AO","105","100","21610","21250"
"In post","2022","Black","Tax","EO","190","185","28800","26820"
"In post","2022","Black","Tax","G6/G7","25","25","[c]","[c]"
"In post","2022","Black","Tax","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Black","Tax","SEO/HEO","260","260","37590","37930"
"In post","2022","Black","Unknown","AA/AO","65","60","22770","22110"
"In post","2022","Black","Unknown","EO","150","150","28420","27570"
"In post","2022","Black","Unknown","G6/G7","125","125","59190","56340"
"In post","2022","Black","Unknown","SCS level","15","15","[c]","[c]"
"In post","2022","Black","Unknown","SEO/HEO","275","275","37700","37610"
"In post","2022","Black","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Black","Veterinarian","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Black","Veterinarian","EO","[c]","[c]","[c]","[c]"
"In post","2022","Black","Veterinarian","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Black","Veterinarian","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Black","Veterinarian","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","Commercial","AA/AO","5","5","[c]","[c]"
"In post","2022","Mixed","Commercial","EO","20","20","[c]","[c]"
"In post","2022","Mixed","Commercial","G6/G7","15","10","[c]","[c]"
"In post","2022","Mixed","Commercial","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","Commercial","SEO/HEO","65","65","38130","38070"
"In post","2022","Mixed","Commercial","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","Communications","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","Communications","EO","20","20","[c]","[c]"
"In post","2022","Mixed","Communications","G6/G7","30","30","58860","57460"
"In post","2022","Mixed","Communications","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","Communications","SEO/HEO","55","50","38750","38160"
"In post","2022","Mixed","Communications","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","Corporate Finance","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","Corporate Finance","EO","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","Corporate Finance","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","Corporate Finance","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","Corporate Finance","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","Counter Fraud","AA/AO","30","25","[c]","[c]"
"In post","2022","Mixed","Counter Fraud","EO","55","50","28790","27570"
"In post","2022","Mixed","Counter Fraud","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","Counter Fraud","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","Counter Fraud","SEO/HEO","20","20","[c]","[c]"
"In post","2022","Mixed","Digital, Data and Technology","AA/AO","10","10","[c]","[c]"
"In post","2022","Mixed","Digital, Data and Technology","EO","50","45","27780","26820"
"In post","2022","Mixed","Digital, Data and Technology","G6/G7","85","85","57240","56060"
"In post","2022","Mixed","Digital, Data and Technology","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","Digital, Data and Technology","SEO/HEO","140","140","37590","37100"
"In post","2022","Mixed","Digital, Data and Technology","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","Economics","AA/AO","10","10","[c]","[c]"
"In post","2022","Mixed","Economics","EO","5","5","[c]","[c]"
"In post","2022","Mixed","Economics","G6/G7","35","30","56530","54960"
"In post","2022","Mixed","Economics","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","Economics","SEO/HEO","35","35","36270","34710"
