"Status","Year","Parent_department","Region_ITL1","Responsibility_level_grouped","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Attorney General's Departments","East Midlands (England)","AA/AO","Heterosexual / straight","80","75","21890","22200"
"In post","2022","Attorney General's Departments","East Midlands (England)","AA/AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","East Midlands (England)","AA/AO","Undeclared","5","5","[c]","[c]"
"In post","2022","Attorney General's Departments","East Midlands (England)","AA/AO","Unknown","15","15","[c]","[c]"
"In post","2022","Attorney General's Departments","East Midlands (England)","EO","Heterosexual / straight","70","65","26630","25920"
"In post","2022","Attorney General's Departments","East Midlands (England)","EO","LGBO","5","5","[c]","[c]"
"In post","2022","Attorney General's Departments","East Midlands (England)","EO","Undeclared","5","5","[c]","[c]"
"In post","2022","Attorney General's Departments","East Midlands (England)","EO","Unknown","15","15","[c]","[c]"
"In post","2022","Attorney General's Departments","East Midlands (England)","G6/G7","Heterosexual / straight","165","150","53190","51470"
"In post","2022","Attorney General's Departments","East Midlands (England)","G6/G7","LGBO","5","5","[c]","[c]"
"In post","2022","Attorney General's Departments","East Midlands (England)","G6/G7","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","East Midlands (England)","G6/G7","Unknown","45","40","54700","55610"
"In post","2022","Attorney General's Departments","East Midlands (England)","SCS level","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","East Midlands (England)","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","East Midlands (England)","SEO/HEO","Heterosexual / straight","50","50","34690","34480"
"In post","2022","Attorney General's Departments","East Midlands (England)","SEO/HEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","East Midlands (England)","SEO/HEO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","East Midlands (England)","SEO/HEO","Unknown","15","15","[c]","[c]"
"In post","2022","Attorney General's Departments","East of England","AA/AO","Heterosexual / straight","90","80","22900","23770"
"In post","2022","Attorney General's Departments","East of England","AA/AO","LGBO","5","5","[c]","[c]"
"In post","2022","Attorney General's Departments","East of England","AA/AO","Undeclared","5","5","[c]","[c]"
"In post","2022","Attorney General's Departments","East of England","AA/AO","Unknown","15","15","[c]","[c]"
"In post","2022","Attorney General's Departments","East of England","EO","Heterosexual / straight","85","80","28110","27760"
"In post","2022","Attorney General's Departments","East of England","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","East of England","EO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","East of England","EO","Unknown","25","20","[c]","[c]"
"In post","2022","Attorney General's Departments","East of England","G6/G7","Heterosexual / straight","150","140","58060","55610"
"In post","2022","Attorney General's Departments","East of England","G6/G7","LGBO","5","5","[c]","[c]"
"In post","2022","Attorney General's Departments","East of England","G6/G7","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","East of England","G6/G7","Unknown","50","40","60860","62120"
"In post","2022","Attorney General's Departments","East of England","SCS level","Heterosexual / straight","5","5","[c]","[c]"
"In post","2022","Attorney General's Departments","East of England","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","East of England","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","East of England","SEO/HEO","Heterosexual / straight","55","50","37420","38000"
"In post","2022","Attorney General's Departments","East of England","SEO/HEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","East of England","SEO/HEO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","East of England","SEO/HEO","Unknown","10","10","[c]","[c]"
"In post","2022","Attorney General's Departments","London","AA/AO","Heterosexual / straight","305","290","23440","23770"
"In post","2022","Attorney General's Departments","London","AA/AO","LGBO","20","20","[c]","[c]"
"In post","2022","Attorney General's Departments","London","AA/AO","Undeclared","15","15","[c]","[c]"
"In post","2022","Attorney General's Departments","London","AA/AO","Unknown","85","75","23770","23770"
"In post","2022","Attorney General's Departments","London","EO","Heterosexual / straight","555","530","28430","27580"
"In post","2022","Attorney General's Departments","London","EO","LGBO","50","50","28740","27510"
"In post","2022","Attorney General's Departments","London","EO","Undeclared","45","45","28410","27580"
"In post","2022","Attorney General's Departments","London","EO","Unknown","130","120","28620","28890"
"In post","2022","Attorney General's Departments","London","G6/G7","Heterosexual / straight","1790","1675","59260","57660"
"In post","2022","Attorney General's Departments","London","G6/G7","LGBO","145","140","60110","58970"
"In post","2022","Attorney General's Departments","London","G6/G7","Undeclared","155","145","61090","62890"
"In post","2022","Attorney General's Departments","London","G6/G7","Unknown","560","505","62760","63780"
"In post","2022","Attorney General's Departments","London","SCS level","Heterosexual / straight","170","160","87400","82110"
"In post","2022","Attorney General's Departments","London","SCS level","LGBO","20","20","[c]","[c]"
"In post","2022","Attorney General's Departments","London","SCS level","Undeclared","20","15","[c]","[c]"
"In post","2022","Attorney General's Departments","London","SCS level","Unknown","55","50","88470","79880"
"In post","2022","Attorney General's Departments","London","SEO/HEO","Heterosexual / straight","500","485","37180","37730"
"In post","2022","Attorney General's Departments","London","SEO/HEO","LGBO","35","35","37730","39750"
"In post","2022","Attorney General's Departments","London","SEO/HEO","Undeclared","30","30","37960","39420"
"In post","2022","Attorney General's Departments","London","SEO/HEO","Unknown","125","120","36880","36510"
"In post","2022","Attorney General's Departments","North East (England)","AA/AO","Heterosexual / straight","55","50","22410","22200"
"In post","2022","Attorney General's Departments","North East (England)","AA/AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","North East (England)","AA/AO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","North East (England)","AA/AO","Unknown","25","20","[c]","[c]"
"In post","2022","Attorney General's Departments","North East (England)","EO","Heterosexual / straight","50","45","26970","26450"
"In post","2022","Attorney General's Departments","North East (England)","EO","LGBO","5","5","[c]","[c]"
"In post","2022","Attorney General's Departments","North East (England)","EO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","North East (England)","EO","Unknown","15","10","[c]","[c]"
"In post","2022","Attorney General's Departments","North East (England)","G6/G7","Heterosexual / straight","105","100","54240","54200"
"In post","2022","Attorney General's Departments","North East (England)","G6/G7","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","North East (England)","G6/G7","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","North East (England)","G6/G7","Unknown","35","30","56370","55610"
"In post","2022","Attorney General's Departments","North East (England)","SCS level","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","North East (England)","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","North East (England)","SEO/HEO","Heterosexual / straight","35","35","35170","34480"
"In post","2022","Attorney General's Departments","North East (England)","SEO/HEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","North East (England)","SEO/HEO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","North East (England)","SEO/HEO","Unknown","10","10","[c]","[c]"
"In post","2022","Attorney General's Departments","North West (England)","AA/AO","Heterosexual / straight","160","150","22050","22200"
"In post","2022","Attorney General's Departments","North West (England)","AA/AO","LGBO","10","10","[c]","[c]"
"In post","2022","Attorney General's Departments","North West (England)","AA/AO","Undeclared","5","5","[c]","[c]"
"In post","2022","Attorney General's Departments","North West (England)","AA/AO","Unknown","40","35","22390","22200"
"In post","2022","Attorney General's Departments","North West (England)","EO","Heterosexual / straight","175","165","27140","28430"
"In post","2022","Attorney General's Departments","North West (England)","EO","LGBO","5","5","[c]","[c]"
"In post","2022","Attorney General's Departments","North West (England)","EO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","North West (England)","EO","Unknown","40","35","28200","28430"
"In post","2022","Attorney General's Departments","North West (England)","G6/G7","Heterosexual / straight","310","290","54640","54200"
"In post","2022","Attorney General's Departments","North West (England)","G6/G7","LGBO","15","15","[c]","[c]"
"In post","2022","Attorney General's Departments","North West (England)","G6/G7","Undeclared","10","10","[c]","[c]"
"In post","2022","Attorney General's Departments","North West (England)","G6/G7","Unknown","90","80","57410","55610"
"In post","2022","Attorney General's Departments","North West (England)","SCS level","Heterosexual / straight","5","5","[c]","[c]"
"In post","2022","Attorney General's Departments","North West (England)","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","North West (England)","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","North West (England)","SEO/HEO","Heterosexual / straight","110","105","34660","34480"
"In post","2022","Attorney General's Departments","North West (England)","SEO/HEO","LGBO","5","5","[c]","[c]"
"In post","2022","Attorney General's Departments","North West (England)","SEO/HEO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","North West (England)","SEO/HEO","Unknown","15","15","[c]","[c]"
"In post","2022","Attorney General's Departments","Overseas","G6/G7","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Overseas","G6/G7","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Overseas","G6/G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Scotland","G6/G7","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Scotland","G6/G7","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","South East (England)","AA/AO","Heterosexual / straight","125","115","23640","23770"
"In post","2022","Attorney General's Departments","South East (England)","AA/AO","LGBO","5","5","[c]","[c]"
"In post","2022","Attorney General's Departments","South East (England)","AA/AO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","South East (England)","AA/AO","Unknown","25","25","[c]","[c]"
"In post","2022","Attorney General's Departments","South East (England)","EO","Heterosexual / straight","115","105","28120","27050"
"In post","2022","Attorney General's Departments","South East (England)","EO","LGBO","10","10","[c]","[c]"
"In post","2022","Attorney General's Departments","South East (England)","EO","Undeclared","5","5","[c]","[c]"
"In post","2022","Attorney General's Departments","South East (England)","EO","Unknown","35","30","28960","30110"
"In post","2022","Attorney General's Departments","South East (England)","G6/G7","Heterosexual / straight","220","205","59060","55000"
"In post","2022","Attorney General's Departments","South East (England)","G6/G7","LGBO","5","5","[c]","[c]"
"In post","2022","Attorney General's Departments","South East (England)","G6/G7","Undeclared","10","10","[c]","[c]"
"In post","2022","Attorney General's Departments","South East (England)","G6/G7","Unknown","80","70","62420","62590"
"In post","2022","Attorney General's Departments","South East (England)","SCS level","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","South East (England)","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","South East (England)","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","South East (England)","SEO/HEO","Heterosexual / straight","70","65","37290","39540"
"In post","2022","Attorney General's Departments","South East (England)","SEO/HEO","LGBO","5","5","[c]","[c]"
"In post","2022","Attorney General's Departments","South East (England)","SEO/HEO","Undeclared","5","5","[c]","[c]"
"In post","2022","Attorney General's Departments","South East (England)","SEO/HEO","Unknown","10","10","[c]","[c]"
"In post","2022","Attorney General's Departments","South West (England)","AA/AO","Heterosexual / straight","40","40","22220","22200"
"In post","2022","Attorney General's Departments","South West (England)","AA/AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","South West (England)","AA/AO","Undeclared","5","5","[c]","[c]"
"In post","2022","Attorney General's Departments","South West (England)","AA/AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","South West (England)","EO","Heterosexual / straight","50","45","26750","26090"
"In post","2022","Attorney General's Departments","South West (England)","EO","LGBO","5","5","[c]","[c]"
"In post","2022","Attorney General's Departments","South West (England)","EO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","South West (England)","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","South West (England)","G6/G7","Heterosexual / straight","120","110","54570","55310"
"In post","2022","Attorney General's Departments","South West (England)","G6/G7","LGBO","10","5","[c]","[c]"
"In post","2022","Attorney General's Departments","South West (England)","G6/G7","Undeclared","5","5","[c]","[c]"
"In post","2022","Attorney General's Departments","South West (England)","G6/G7","Unknown","45","40","55330","55610"
"In post","2022","Attorney General's Departments","South West (England)","SCS level","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","South West (England)","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","South West (England)","SCS level","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","South West (England)","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","South West (England)","SEO/HEO","Heterosexual / straight","45","45","35070","34480"
"In post","2022","Attorney General's Departments","South West (England)","SEO/HEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","South West (England)","SEO/HEO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","South West (England)","SEO/HEO","Unknown","10","10","[c]","[c]"
"In post","2022","Attorney General's Departments","Wales","AA/AO","Heterosexual / straight","55","50","21900","22200"
"In post","2022","Attorney General's Departments","Wales","AA/AO","LGBO","5","5","[c]","[c]"
"In post","2022","Attorney General's Departments","Wales","AA/AO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Wales","AA/AO","Unknown","10","10","[c]","[c]"
"In post","2022","Attorney General's Departments","Wales","EO","Heterosexual / straight","50","45","26870","26090"
"In post","2022","Attorney General's Departments","Wales","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Wales","EO","Undeclared","5","5","[c]","[c]"
"In post","2022","Attorney General's Departments","Wales","EO","Unknown","15","15","[c]","[c]"
"In post","2022","Attorney General's Departments","Wales","G6/G7","Heterosexual / straight","125","120","53810","51400"
"In post","2022","Attorney General's Departments","Wales","G6/G7","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Wales","G6/G7","Undeclared","10","10","[c]","[c]"
"In post","2022","Attorney General's Departments","Wales","G6/G7","Unknown","50","40","56130","55610"
"In post","2022","Attorney General's Departments","Wales","SCS level","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Wales","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Wales","SEO/HEO","Heterosexual / straight","50","50","35570","37780"
"In post","2022","Attorney General's Departments","Wales","SEO/HEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Wales","SEO/HEO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Wales","SEO/HEO","Unknown","10","10","[c]","[c]"
"In post","2022","Attorney General's Departments","West Midlands (England)","AA/AO","Heterosexual / straight","75","70","22420","22200"
"In post","2022","Attorney General's Departments","West Midlands (England)","AA/AO","LGBO","5","5","[c]","[c]"
"In post","2022","Attorney General's Departments","West Midlands (England)","AA/AO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","West Midlands (England)","AA/AO","Unknown","30","30","22250","22200"
"In post","2022","Attorney General's Departments","West Midlands (England)","EO","Heterosexual / straight","85","80","26810","26090"
"In post","2022","Attorney General's Departments","West Midlands (England)","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","West Midlands (England)","EO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","West Midlands (England)","EO","Unknown","25","25","[c]","[c]"
"In post","2022","Attorney General's Departments","West Midlands (England)","G6/G7","Heterosexual / straight","195","185","53990","51470"
"In post","2022","Attorney General's Departments","West Midlands (England)","G6/G7","LGBO","5","5","[c]","[c]"
"In post","2022","Attorney General's Departments","West Midlands (England)","G6/G7","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","West Midlands (England)","G6/G7","Unknown","75","70","57370","55610"
"In post","2022","Attorney General's Departments","West Midlands (England)","SCS level","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","West Midlands (England)","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","West Midlands (England)","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","West Midlands (England)","SEO/HEO","Heterosexual / straight","60","60","34540","34480"
"In post","2022","Attorney General's Departments","West Midlands (England)","SEO/HEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","West Midlands (England)","SEO/HEO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","West Midlands (England)","SEO/HEO","Unknown","5","5","[c]","[c]"
"In post","2022","Attorney General's Departments","Yorkshire and The Humber","AA/AO","Heterosexual / straight","115","105","22090","22200"
"In post","2022","Attorney General's Departments","Yorkshire and The Humber","AA/AO","LGBO","10","10","[c]","[c]"
"In post","2022","Attorney General's Departments","Yorkshire and The Humber","AA/AO","Undeclared","5","5","[c]","[c]"
"In post","2022","Attorney General's Departments","Yorkshire and The Humber","AA/AO","Unknown","40","30","22160","22200"
"In post","2022","Attorney General's Departments","Yorkshire and The Humber","EO","Heterosexual / straight","125","115","26820","26090"
"In post","2022","Attorney General's Departments","Yorkshire and The Humber","EO","LGBO","10","10","[c]","[c]"
"In post","2022","Attorney General's Departments","Yorkshire and The Humber","EO","Undeclared","5","5","[c]","[c]"
"In post","2022","Attorney General's Departments","Yorkshire and The Humber","EO","Unknown","40","30","27660","28430"
