"Status","Year","Organisation","Parent_department","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Accountant in Bankruptcy","Scottish Government","110","100","32650","30040"
"In post","2022","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","1030","955","33290","30950"
"In post","2022","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","2910","2755","30550","27960"
"In post","2022","Attorney General's Office","Attorney General's Departments","45","45","51580","51250"
"In post","2022","Cabinet Office (excl. agencies)","Cabinet Office","9930","9745","47220","40600"
"In post","2022","Centre for Environment, Fisheries and Aquaculture Science","Department for Environment, Food and Rural Affairs","650","615","34110","30220"
"In post","2022","Charity Commission","Charity Commission","465","440","34000","29160"
"In post","2022","Companies House","Department for Business, Energy and Industrial Strategy","1175","1090","30980","25100"
"In post","2022","Competition and Markets Authority","Competition and Markets Authority","860","835","61280","57000"
"In post","2022","Criminal Injuries Compensation Authority","Ministry of Justice","320","300","27600","25120"
"In post","2022","Crown Commercial Service","Cabinet Office","810","790","40080","38600"
"In post","2022","Crown Office and Procurator Fiscal Service","Scottish Government","2350","2210","36710","31540"
"In post","2022","Crown Prosecution Service","Attorney General's Departments","7040","6565","41400","38000"
"In post","2022","Defence Electronics and Components Agency","Ministry of Defence","435","420","29380","29470"
"In post","2022","Defence Equipment and Support","Ministry of Defence","10745","10355","36770","34000"
"In post","2022","Defence Science and Technology Laboratory","Ministry of Defence","4655","4485","41080","38110"
"In post","2022","Department for Business, Energy and Industrial Strategy (excl. agencies)","Department for Business, Energy and Industrial Strategy","6010","5880","48830","49080"
"In post","2022","Department for Digital, Culture, Media and Sport","Department for Digital, Culture, Media and Sport","2010","1980","46970","51730"
"In post","2022","Department for Education (excl. agencies)","Department for Education","6300","6075","44190","40300"
"In post","2022","Department for Environment, Food and Rural Affairs (excl. agencies)","Department for Environment, Food and Rural Affairs","6490","6265","42030","38060"
"In post","2022","Department for International Trade","Department for International Trade","2880","2850","46590","42310"
"In post","2022","Department for Levelling Up, Housing and Communities (excl. agencies)","Department for Levelling Up, Housing and Communities","3310","3230","45690","40600"
"In post","2022","Department for Transport (excl. agencies)","Department for Transport","3665","3570","48480","43360"
"In post","2022","Department for Work and Pensions (excl. agencies)","Department for Work and Pensions","91450","82100","28080","27570"
"In post","2022","Department of Health and Social Care (excl. agencies)","Department of Health and Social Care","4075","3940","47460","43480"
"In post","2022","Disclosure Scotland","Scottish Government","355","335","29150","23230"
"In post","2022","Driver and Vehicle Licensing Agency","Department for Transport","6360","5640","26330","21840"
"In post","2022","Driver and Vehicle Standards Agency","Department for Transport","4925","4645","29590","26830"
"In post","2022","Education and Skills Funding Agency","Department for Education","1905","1840","41390","36960"
"In post","2022","Education Scotland","Scottish Government","330","320","57430","62170"
"In post","2022","Estyn","Estyn","115","105","59220","75480"
"In post","2022","FCDO Services","Foreign, Commonwealth and Development Office","1085","1040","40200","37480"
"In post","2022","Food Standards Agency","Food Standards Agency","1455","1415","37600","32830"
"In post","2022","Food Standards Scotland","Scottish Government","305","295","35950","31540"
"In post","2022","Foreign, Commonwealth and Development Office (excl. agencies)","Foreign, Commonwealth and Development Office","7075","6940","49220","48400"
"In post","2022","Forestry and Land Scotland","Scottish Government","1015","980","32880","31060"
"In post","2022","Government Actuary's Department","Chancellor's other departments","225","210","65910","57250"
"In post","2022","Government Internal Audit Agency","HM Treasury","455","430","48780","46370"
"In post","2022","Government Legal Department","Attorney General's Departments","2630","2450","54200","51830"
"In post","2022","Government Property Agency","Cabinet Office","310","305","50830","49700"
"In post","2022","Health and Safety Executive","Department for Work and Pensions","2705","2555","42780","39500"
"In post","2022","HM Courts and Tribunals Service","Ministry of Justice","16110","14605","26770","23720"
"In post","2022","HM Crown Prosecution Service Inspectorate","Attorney General's Departments","30","30","58800","58020"
"In post","2022","HM Land Registry","HM Land Registry","6635","6040","31310","27130"
"In post","2022","HM Prison and Probation Service","Ministry of Justice","61710","58160","30330","28200"
"In post","2022","HM Revenue and Customs (excl. agencies)","HM Revenue and Customs","67505","62710","33310","30750"
"In post","2022","HM Treasury (excl. agencies)","HM Treasury","2110","2065","47470","49500"
"In post","2022","Home Office","Home Office","36535","34230","32660","28650"
"In post","2022","Institute for Apprenticeships and Technical Education","Department for Education","280","275","48740","49960"
