"Status","Year","Disability","Region_ITL2","Responsibility_level_ungrouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Declared disabled","Bedfordshire and Hertfordshire","AA","30","30","20630","21480"
"In post","2022","Declared disabled","Bedfordshire and Hertfordshire","AO","90","80","24930","24250"
"In post","2022","Declared disabled","Bedfordshire and Hertfordshire","EO","225","205","29080","29290"
"In post","2022","Declared disabled","Bedfordshire and Hertfordshire","G6","10","10","[c]","[c]"
"In post","2022","Declared disabled","Bedfordshire and Hertfordshire","G7","25","25","[c]","[c]"
"In post","2022","Declared disabled","Bedfordshire and Hertfordshire","HEO","55","50","35240","35120"
"In post","2022","Declared disabled","Bedfordshire and Hertfordshire","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Bedfordshire and Hertfordshire","SEO","40","40","45600","45090"
"In post","2022","Declared disabled","Bedfordshire and Hertfordshire","Unknown","70","65","29160","28200"
"In post","2022","Declared disabled","Berkshire, Buckinghamshire and Oxfordshire","AA","55","50","21690","21480"
"In post","2022","Declared disabled","Berkshire, Buckinghamshire and Oxfordshire","AO","265","250","26340","25000"
"In post","2022","Declared disabled","Berkshire, Buckinghamshire and Oxfordshire","EO","295","275","29130","27760"
"In post","2022","Declared disabled","Berkshire, Buckinghamshire and Oxfordshire","G6","15","10","[c]","[c]"
"In post","2022","Declared disabled","Berkshire, Buckinghamshire and Oxfordshire","G7","50","45","57070","55260"
"In post","2022","Declared disabled","Berkshire, Buckinghamshire and Oxfordshire","HEO","160","155","34650","34110"
"In post","2022","Declared disabled","Berkshire, Buckinghamshire and Oxfordshire","SCS level","5","5","[c]","[c]"
"In post","2022","Declared disabled","Berkshire, Buckinghamshire and Oxfordshire","SEO","85","80","43300","41690"
"In post","2022","Declared disabled","Berkshire, Buckinghamshire and Oxfordshire","Unknown","115","110","30580","28200"
"In post","2022","Declared disabled","Cheshire","AA","15","15","[c]","[c]"
"In post","2022","Declared disabled","Cheshire","AO","120","105","22830","21260"
"In post","2022","Declared disabled","Cheshire","EO","165","150","28330","27570"
"In post","2022","Declared disabled","Cheshire","G6","10","10","[c]","[c]"
"In post","2022","Declared disabled","Cheshire","G7","20","20","[c]","[c]"
"In post","2022","Declared disabled","Cheshire","HEO","55","50","34320","33240"
"In post","2022","Declared disabled","Cheshire","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Cheshire","SEO","30","30","40910","39920"
"In post","2022","Declared disabled","Cheshire","Unknown","45","40","28700","28200"
"In post","2022","Declared disabled","Cornwall and Isles of Scilly","AA","10","10","[c]","[c]"
"In post","2022","Declared disabled","Cornwall and Isles of Scilly","AO","95","80","21250","21260"
"In post","2022","Declared disabled","Cornwall and Isles of Scilly","EO","80","75","27420","27570"
"In post","2022","Declared disabled","Cornwall and Isles of Scilly","G6","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Cornwall and Isles of Scilly","G7","5","5","[c]","[c]"
"In post","2022","Declared disabled","Cornwall and Isles of Scilly","HEO","25","20","[c]","[c]"
"In post","2022","Declared disabled","Cornwall and Isles of Scilly","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Cornwall and Isles of Scilly","SEO","10","10","[c]","[c]"
"In post","2022","Declared disabled","Cornwall and Isles of Scilly","Unknown","25","25","[c]","[c]"
"In post","2022","Declared disabled","Cumbria","AA","15","10","[c]","[c]"
"In post","2022","Declared disabled","Cumbria","AO","85","75","21520","21300"
"In post","2022","Declared disabled","Cumbria","EO","70","60","26540","27550"
"In post","2022","Declared disabled","Cumbria","G6","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Cumbria","G7","10","5","[c]","[c]"
"In post","2022","Declared disabled","Cumbria","HEO","25","25","[c]","[c]"
"In post","2022","Declared disabled","Cumbria","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Cumbria","SEO","20","20","[c]","[c]"
"In post","2022","Declared disabled","Cumbria","Unknown","35","30","36250","31420"
"In post","2022","Declared disabled","Derbyshire and Nottinghamshire","AA","60","55","20560","20890"
"In post","2022","Declared disabled","Derbyshire and Nottinghamshire","AO","450","405","22710","21260"
"In post","2022","Declared disabled","Derbyshire and Nottinghamshire","EO","535","485","27120","27570"
"In post","2022","Declared disabled","Derbyshire and Nottinghamshire","G6","25","20","[c]","[c]"
"In post","2022","Declared disabled","Derbyshire and Nottinghamshire","G7","90","90","54580","55210"
"In post","2022","Declared disabled","Derbyshire and Nottinghamshire","HEO","270","260","32850","33300"
"In post","2022","Declared disabled","Derbyshire and Nottinghamshire","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Derbyshire and Nottinghamshire","SEO","145","135","41130","40520"
"In post","2022","Declared disabled","Derbyshire and Nottinghamshire","Unknown","165","150","30290","28200"
"In post","2022","Declared disabled","Devon","AA","65","60","19650","19810"
"In post","2022","Declared disabled","Devon","AO","330","285","22650","21260"
"In post","2022","Declared disabled","Devon","EO","305","270","27590","27570"
"In post","2022","Declared disabled","Devon","G6","5","5","[c]","[c]"
"In post","2022","Declared disabled","Devon","G7","40","40","52460","48420"
"In post","2022","Declared disabled","Devon","HEO","125","115","33800","33320"
"In post","2022","Declared disabled","Devon","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Devon","SEO","105","95","41380","40850"
"In post","2022","Declared disabled","Devon","Unknown","80","70","31380","29270"
"In post","2022","Declared disabled","Dorset and Somerset","AA","40","35","19940","19500"
"In post","2022","Declared disabled","Dorset and Somerset","AO","165","150","23060","21260"
"In post","2022","Declared disabled","Dorset and Somerset","EO","225","205","27540","27570"
"In post","2022","Declared disabled","Dorset and Somerset","G6","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Dorset and Somerset","G7","15","15","[c]","[c]"
"In post","2022","Declared disabled","Dorset and Somerset","HEO","90","85","33820","33300"
"In post","2022","Declared disabled","Dorset and Somerset","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Dorset and Somerset","SEO","55","55","43590","42510"
"In post","2022","Declared disabled","Dorset and Somerset","Unknown","65","60","29650","28200"
"In post","2022","Declared disabled","East Anglia","AA","95","90","20590","20390"
"In post","2022","Declared disabled","East Anglia","AO","395","350","24070","21680"
"In post","2022","Declared disabled","East Anglia","EO","465","420","27620","27570"
"In post","2022","Declared disabled","East Anglia","G6","10","10","[c]","[c]"
"In post","2022","Declared disabled","East Anglia","G7","40","35","53560","52560"
"In post","2022","Declared disabled","East Anglia","HEO","220","205","33540","33300"
"In post","2022","Declared disabled","East Anglia","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","East Anglia","SEO","125","120","42570","40980"
"In post","2022","Declared disabled","East Anglia","Unknown","125","115","29180","28200"
"In post","2022","Declared disabled","East Wales","AA","50","50","20090","19810"
"In post","2022","Declared disabled","East Wales","AO","485","425","21970","21260"
"In post","2022","Declared disabled","East Wales","EO","500","460","27120","27460"
"In post","2022","Declared disabled","East Wales","G6","45","45","67700","67910"
"In post","2022","Declared disabled","East Wales","G7","145","140","54780","54310"
"In post","2022","Declared disabled","East Wales","HEO","335","315","33320","33080"
"In post","2022","Declared disabled","East Wales","SCS level","20","20","[c]","[c]"
