"Status","Year","Ethnicity","Organisation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Asian","Accountant in Bankruptcy","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Advisory, Conciliation and Arbitration Service","55","55","34320","30950"
"In post","2022","Asian","Animal and Plant Health Agency","80","80","28280","27960"
"In post","2022","Asian","Attorney General's Office","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Cabinet Office (excl. agencies)","515","505","45500","40600"
"In post","2022","Asian","Centre for Environment, Fisheries and Aquaculture Science","5","5","[c]","[c]"
"In post","2022","Asian","Charity Commission","10","10","[c]","[c]"
"In post","2022","Asian","Companies House","30","30","30330","29060"
"In post","2022","Asian","Competition and Markets Authority","110","110","49170","42290"
"In post","2022","Asian","Criminal Injuries Compensation Authority","5","5","[c]","[c]"
"In post","2022","Asian","Crown Commercial Service","35","35","47240","39360"
"In post","2022","Asian","Crown Office and Procurator Fiscal Service","60","55","38030","35540"
"In post","2022","Asian","Crown Prosecution Service","705","645","40230","36240"
"In post","2022","Asian","Defence Electronics and Components Agency","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Defence Equipment and Support","345","335","33960","31950"
"In post","2022","Asian","Defence Science and Technology Laboratory","65","60","42790","38510"
"In post","2022","Asian","Department for Business, Energy and Industrial Strategy (excl. agencies)","620","615","43870","40050"
"In post","2022","Asian","Department for Digital, Culture, Media and Sport","160","160","44080","38060"
"In post","2022","Asian","Department for Education (excl. agencies)","575","560","40560","36500"
"In post","2022","Asian","Department for Environment, Food and Rural Affairs (excl. agencies)","335","325","39390","35860"
"In post","2022","Asian","Department for International Trade","275","270","43990","38540"
"In post","2022","Asian","Department for Levelling Up, Housing and Communities (excl. agencies)","295","290","41510","36340"
"In post","2022","Asian","Department for Transport (excl. agencies)","340","335","44720","42470"
"In post","2022","Asian","Department for Work and Pensions (excl. agencies)","8145","7380","28060","27570"
"In post","2022","Asian","Department of Health and Social Care (excl. agencies)","275","265","42970","40650"
"In post","2022","Asian","Disclosure Scotland","5","5","[c]","[c]"
"In post","2022","Asian","Driver and Vehicle Licensing Agency","90","85","27450","21840"
"In post","2022","Asian","Driver and Vehicle Standards Agency","150","140","28780","29130"
"In post","2022","Asian","Education and Skills Funding Agency","235","230","39120","36740"
"In post","2022","Asian","Education Scotland","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Estyn","[c]","[c]","[c]","[c]"
"In post","2022","Asian","FCDO Services","60","60","33660","29350"
"In post","2022","Asian","Food Standards Agency","70","70","34940","32350"
"In post","2022","Asian","Food Standards Scotland","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Foreign, Commonwealth and Development Office (excl. agencies)","425","410","44240","38230"
"In post","2022","Asian","Forestry and Land Scotland","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Government Actuary's Department","35","30","46430","36590"
"In post","2022","Asian","Government Internal Audit Agency","65","65","47380","46280"
"In post","2022","Asian","Government Legal Department","305","285","48890","51010"
"In post","2022","Asian","Government Property Agency","30","30","[c]","[c]"
"In post","2022","Asian","Health and Safety Executive","75","75","49150","43800"
"In post","2022","Asian","HM Courts and Tribunals Service","1560","1410","27050","23720"
"In post","2022","Asian","HM Crown Prosecution Service Inspectorate","[c]","[c]","[c]","[c]"
"In post","2022","Asian","HM Land Registry","225","210","30920","27130"
"In post","2022","Asian","HM Prison and Probation Service","1850","1730","30980","28960"
"In post","2022","Asian","HM Revenue and Customs (excl. agencies)","5635","5340","32770","31020"
"In post","2022","Asian","HM Treasury (excl. agencies)","220","215","45120","40050"
"In post","2022","Asian","Home Office","4490","4180","31920","28910"
"In post","2022","Asian","Institute for Apprenticeships and Technical Education","25","25","[c]","[c]"
"In post","2022","Asian","Intellectual Property Office","40","40","34830","34450"
"In post","2022","Asian","Legal Aid Agency","75","70","28210","22900"
"In post","2022","Asian","Maritime and Coastguard Agency","55","55","49310","57040"
"In post","2022","Asian","Medicines and Healthcare Products Regulatory Agency","260","255","43190","40450"
"In post","2022","Asian","Met Office","30","30","31890","30930"
"In post","2022","Asian","Ministry of Defence (excl. agencies)","995","960","34900","32670"
"In post","2022","Asian","Ministry of Justice (excl. agencies)","550","535","41330","37860"
"In post","2022","Asian","National Crime Agency","280","275","37800","36740"
"In post","2022","Asian","National Infrastructure Commission","[c]","[c]","[c]","[c]"
"In post","2022","Asian","National Records of Scotland","[c]","[c]","[c]","[c]"
"In post","2022","Asian","National Savings and Investments","20","20","[c]","[c]"
"In post","2022","Asian","Northern Ireland Office","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Office for Budget Responsibility","5","5","[c]","[c]"
"In post","2022","Asian","Office for Standards in Education, Children's Services and Skills","100","100","40190","35010"
"In post","2022","Asian","Office of Gas and Electricity Markets","145","140","41570","34910"
"In post","2022","Asian","Office of Qualifications and Examinations Regulation","30","25","[c]","[c]"
"In post","2022","Asian","Office of Rail and Road","30","30","[c]","[c]"
"In post","2022","Asian","Office of the Public Guardian","415","380","22570","20970"
"In post","2022","Asian","Office of the Scottish Charity Regulator","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Office of the Secretary of State for Scotland (incl. Office of the Advocate General for Scotland)","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Office of the Secretary of State for Wales","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Planning Inspectorate","15","15","[c]","[c]"
"In post","2022","Asian","Queen Elizabeth II Centre","5","5","[c]","[c]"
"In post","2022","Asian","Registers of Scotland","15","10","[c]","[c]"
"In post","2022","Asian","Revenue Scotland","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Royal Fleet Auxiliary","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Rural Payments Agency","45","40","25990","21300"
"In post","2022","Asian","Scottish Courts and Tribunals Service","10","10","[c]","[c]"
"In post","2022","Asian","Scottish Fiscal Commission","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Scottish Forestry","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Scottish Government (excl. agencies)","115","115","39450","35540"
"In post","2022","Asian","Scottish Housing Regulator","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Scottish Prison Service","10","5","[c]","[c]"
