"Status","Year","Age","Region_ITL1","Region_ITL3","Responsibility_level_ungrouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","16-19","East Midlands (England)","Leicester","AO","5","5","[c]","[c]"
"In post","2022","16-19","East Midlands (England)","Leicester","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","East Midlands (England)","Leicestershire CC and Rutland","AA","5","5","[c]","[c]"
"In post","2022","16-19","East Midlands (England)","Leicestershire CC and Rutland","AO","5","5","[c]","[c]"
"In post","2022","16-19","East Midlands (England)","Lincolnshire CC","AA","[c]","[c]","[c]","[c]"
"In post","2022","16-19","East Midlands (England)","Lincolnshire CC","AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","East Midlands (England)","North Northamptonshire","AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","East Midlands (England)","North Nottinghamshire","AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","East Midlands (England)","Nottingham","AA","[c]","[c]","[c]","[c]"
"In post","2022","16-19","East Midlands (England)","Nottingham","AO","20","20","21710","21250"
"In post","2022","16-19","East Midlands (England)","Nottingham","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","East Midlands (England)","South and West Derbyshire","AA","[c]","[c]","[c]","[c]"
"In post","2022","16-19","East Midlands (England)","South and West Derbyshire","AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","East Midlands (England)","West Northamptonshire","AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","East of England","Bedford","AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","East of England","Bedford","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","East of England","Breckland and South Norfolk","AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","East of England","Cambridgeshire CC","AO","5","5","[c]","[c]"
"In post","2022","16-19","East of England","Cambridgeshire CC","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","East of England","Essex Haven Gateway","AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","East of England","Heart of Essex","AA","[c]","[c]","[c]","[c]"
"In post","2022","16-19","East of England","Heart of Essex","AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","East of England","Hertfordshire CC","AA","[c]","[c]","[c]","[c]"
"In post","2022","16-19","East of England","Hertfordshire CC","AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","East of England","Norwich and East Norfolk","AA","[c]","[c]","[c]","[c]"
"In post","2022","16-19","East of England","Norwich and East Norfolk","AO","5","5","[c]","[c]"
"In post","2022","16-19","East of England","Peterborough","AO","5","5","[c]","[c]"
"In post","2022","16-19","East of England","Suffolk CC","AA","[c]","[c]","[c]","[c]"
"In post","2022","16-19","East of England","Suffolk CC","AO","10","10","[c]","[c]"
