"Status","Year","Disability","Function_of_post","Region_ITL2","Responsibility_level_grouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Declared disabled","Analysis","Bedfordshire and Hertfordshire","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Bedfordshire and Hertfordshire","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Berkshire, Buckinghamshire and Oxfordshire","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Berkshire, Buckinghamshire and Oxfordshire","EO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Berkshire, Buckinghamshire and Oxfordshire","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Berkshire, Buckinghamshire and Oxfordshire","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Cheshire","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Cheshire","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Cornwall and Isles of Scilly","EO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Cornwall and Isles of Scilly","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Cumbria","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Cumbria","EO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Cumbria","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Cumbria","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Derbyshire and Nottinghamshire","EO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Derbyshire and Nottinghamshire","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Derbyshire and Nottinghamshire","SEO/HEO","5","5","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Devon","EO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Devon","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Devon","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Dorset and Somerset","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Dorset and Somerset","EO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Dorset and Somerset","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Dorset and Somerset","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Dorset and Somerset","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","East Anglia","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","East Anglia","EO","5","5","[c]","[c]"
"In post","2022","Declared disabled","Analysis","East Anglia","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","East Anglia","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","East Anglia","SEO/HEO","10","10","[c]","[c]"
"In post","2022","Declared disabled","Analysis","East Wales","AA/AO","10","10","[c]","[c]"
"In post","2022","Declared disabled","Analysis","East Wales","EO","10","10","[c]","[c]"
"In post","2022","Declared disabled","Analysis","East Wales","G6/G7","20","20","[c]","[c]"
"In post","2022","Declared disabled","Analysis","East Wales","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","East Wales","SEO/HEO","80","75","34850","34980"
"In post","2022","Declared disabled","Analysis","East Yorkshire and Northern Lincolnshire","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Eastern Scotland","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Eastern Scotland","EO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Eastern Scotland","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Eastern Scotland","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Eastern Scotland","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Essex","EO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Essex","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Essex","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Essex","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Gloucestershire, Wiltshire and Bath/Bristol area","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Gloucestershire, Wiltshire and Bath/Bristol area","EO","5","5","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Gloucestershire, Wiltshire and Bath/Bristol area","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Gloucestershire, Wiltshire and Bath/Bristol area","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Gloucestershire, Wiltshire and Bath/Bristol area","SEO/HEO","20","20","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Greater Manchester","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Greater Manchester","EO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Greater Manchester","G6/G7","10","10","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Greater Manchester","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Greater Manchester","SEO/HEO","20","20","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Hampshire and Isle of Wight","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Hampshire and Isle of Wight","EO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Hampshire and Isle of Wight","G6/G7","20","20","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Hampshire and Isle of Wight","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Hampshire and Isle of Wight","SEO/HEO","50","45","35510","37770"
"In post","2022","Declared disabled","Analysis","Herefordshire, Worcestershire and Warwickshire","EO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Herefordshire, Worcestershire and Warwickshire","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Inner London - East","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Inner London - East","EO","10","10","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Inner London - East","G6/G7","20","20","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Inner London - East","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Inner London - East","SEO/HEO","40","40","39110","37930"
"In post","2022","Declared disabled","Analysis","Inner London - West","AA/AO","5","5","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Inner London - West","EO","20","20","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Inner London - West","G6/G7","70","65","64770","63470"
"In post","2022","Declared disabled","Analysis","Inner London - West","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Inner London - West","SEO/HEO","100","95","38890","37930"
"In post","2022","Declared disabled","Analysis","Kent","EO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Kent","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Kent","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Lancashire","EO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Lancashire","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Lancashire","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Leicestershire, Rutland and Northamptonshire","EO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Leicestershire, Rutland and Northamptonshire","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Leicestershire, Rutland and Northamptonshire","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Lincolnshire","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Lincolnshire","EO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Lincolnshire","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Lincolnshire","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Merseyside","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Merseyside","EO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Merseyside","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Merseyside","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Merseyside","SEO/HEO","10","10","[c]","[c]"
"In post","2022","Declared disabled","Analysis","North Yorkshire","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","North Yorkshire","EO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","North Yorkshire","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","North Yorkshire","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Northern Ireland","SEO/HEO","[c]","[c]","[c]","[c]"
