"Status","Year","Function_of_post","Region_ITL3","Responsibility_level_grouped","Responsibility_level_ungrouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Analysis","Angus and Dundee City","EO","EO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Ards and North Down","SEO/HEO","HEO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Barking & Dagenham and Havering","SEO/HEO","SEO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Barnet","SEO/HEO","HEO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Barnsley, Doncaster and Rotherham","EO","EO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Bath and North East Somerset, North Somerset and South Gloucestershire","AA/AO","AO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Bath and North East Somerset, North Somerset and South Gloucestershire","EO","EO","15","15","27540","27850"
"In post","2022","Analysis","Bath and North East Somerset, North Somerset and South Gloucestershire","G6/G7","G6","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Bath and North East Somerset, North Somerset and South Gloucestershire","G6/G7","G7","10","10","[c]","[c]"
"In post","2022","Analysis","Bath and North East Somerset, North Somerset and South Gloucestershire","SEO/HEO","HEO","25","25","35090","36000"
"In post","2022","Analysis","Bath and North East Somerset, North Somerset and South Gloucestershire","SEO/HEO","SEO","15","15","42700","43000"
"In post","2022","Analysis","Bedford","SEO/HEO","HEO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Bedford","SEO/HEO","SEO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Berkshire","EO","EO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Berkshire","G6/G7","G6","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Berkshire","G6/G7","G7","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Berkshire","SEO/HEO","HEO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Birmingham","AA/AO","AO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Birmingham","EO","EO","10","10","[c]","[c]"
"In post","2022","Analysis","Birmingham","G6/G7","G6","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Birmingham","G6/G7","G7","10","5","[c]","[c]"
"In post","2022","Analysis","Birmingham","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Birmingham","SEO/HEO","HEO","15","15","35460","33990"
"In post","2022","Analysis","Birmingham","SEO/HEO","SEO","15","15","46200","41630"
"In post","2022","Analysis","Blackpool","G6/G7","G7","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Bournemouth, Christchurch and Poole","AA/AO","AO","[c]","[c]","[c]","[c]"
