"Status","Year","Function_of_post","Profession_of_post","Responsibility_level_ungrouped","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Analysis","Commercial","EO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Commercial","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Commercial","G6","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Commercial","G6","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Commercial","G7","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Commercial","G7","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Commercial","G7","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Commercial","HEO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Commercial","HEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Commercial","HEO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Commercial","HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Commercial","SCS level","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Commercial","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Commercial","SCS level","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Commercial","SEO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Commercial","SEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Commercial","SEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Communications","EO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Communications","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Communications","EO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Communications","G7","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Communications","G7","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Communications","G7","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Communications","G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Communications","HEO","Heterosexual / straight","[c]","[c]","[c]","[c]"
