"Status","Year","Disability","Organisation","Responsibility_level_grouped","Responsibility_level_ungrouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Declared disabled","Accountant in Bankruptcy","AA/AO","AA","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Accountant in Bankruptcy","EO","EO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Accountant in Bankruptcy","G6/G7","G6","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Accountant in Bankruptcy","G6/G7","G7","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Accountant in Bankruptcy","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Accountant in Bankruptcy","SEO/HEO","HEO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Accountant in Bankruptcy","SEO/HEO","SEO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Advisory, Conciliation and Arbitration Service","AA/AO","AO","5","5","[c]","[c]"
"In post","2022","Declared disabled","Advisory, Conciliation and Arbitration Service","EO","EO","65","60","25150","24250"
"In post","2022","Declared disabled","Advisory, Conciliation and Arbitration Service","G6/G7","G6","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Advisory, Conciliation and Arbitration Service","G6/G7","G7","10","10","[c]","[c]"
"In post","2022","Declared disabled","Advisory, Conciliation and Arbitration Service","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Advisory, Conciliation and Arbitration Service","SEO/HEO","HEO","80","70","32910","31640"
"In post","2022","Declared disabled","Advisory, Conciliation and Arbitration Service","SEO/HEO","SEO","20","20","[c]","[c]"
"In post","2022","Declared disabled","Animal and Plant Health Agency","AA/AO","AA","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Animal and Plant Health Agency","AA/AO","AO","145","130","22030","21300"
"In post","2022","Declared disabled","Animal and Plant Health Agency","EO","EO","120","115","26310","25190"
"In post","2022","Declared disabled","Animal and Plant Health Agency","G6/G7","G6","5","5","[c]","[c]"
"In post","2022","Declared disabled","Animal and Plant Health Agency","G6/G7","G7","20","20","[c]","[c]"
"In post","2022","Declared disabled","Animal and Plant Health Agency","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Animal and Plant Health Agency","SEO/HEO","HEO","70","65","31080","30670"
"In post","2022","Declared disabled","Animal and Plant Health Agency","SEO/HEO","SEO","35","35","38510","37910"
"In post","2022","Declared disabled","Attorney General's Office","EO","EO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Attorney General's Office","G6/G7","G6","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Attorney General's Office","G6/G7","G7","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Attorney General's Office","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Attorney General's Office","SEO/HEO","HEO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Attorney General's Office","SEO/HEO","SEO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Cabinet Office (excl. agencies)","AA/AO","AA","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Cabinet Office (excl. agencies)","AA/AO","AO","70","65","21790","21050"
"In post","2022","Declared disabled","Cabinet Office (excl. agencies)","EO","EO","130","125","26880","27500"
"In post","2022","Declared disabled","Cabinet Office (excl. agencies)","G6/G7","G6","70","70","66870","64920"
"In post","2022","Declared disabled","Cabinet Office (excl. agencies)","G6/G7","G7","200","200","54520","54700"
"In post","2022","Declared disabled","Cabinet Office (excl. agencies)","SCS level","SCS level","50","50","89400","76030"
"In post","2022","Declared disabled","Cabinet Office (excl. agencies)","SEO/HEO","HEO","170","165","34060","34550"
"In post","2022","Declared disabled","Cabinet Office (excl. agencies)","SEO/HEO","SEO","115","115","39770","40600"
"In post","2022","Declared disabled","Centre for Environment, Fisheries and Aquaculture Science","AA/AO","AA","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Centre for Environment, Fisheries and Aquaculture Science","AA/AO","AO","5","5","[c]","[c]"
"In post","2022","Declared disabled","Centre for Environment, Fisheries and Aquaculture Science","EO","EO","15","10","[c]","[c]"
"In post","2022","Declared disabled","Centre for Environment, Fisheries and Aquaculture Science","G6/G7","G6","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Centre for Environment, Fisheries and Aquaculture Science","G6/G7","G7","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Centre for Environment, Fisheries and Aquaculture Science","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Centre for Environment, Fisheries and Aquaculture Science","SEO/HEO","HEO","15","15","[c]","[c]"
"In post","2022","Declared disabled","Centre for Environment, Fisheries and Aquaculture Science","SEO/HEO","SEO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Charity Commission","AA/AO","AO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Charity Commission","EO","EO","5","5","[c]","[c]"
"In post","2022","Declared disabled","Charity Commission","G6/G7","G6","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Charity Commission","G6/G7","G7","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Charity Commission","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Charity Commission","SEO/HEO","HEO","10","10","[c]","[c]"
"In post","2022","Declared disabled","Charity Commission","SEO/HEO","SEO","10","5","[c]","[c]"
"In post","2022","Declared disabled","Companies House","AA/AO","AA","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Companies House","AA/AO","AO","40","35","22010","22740"
"In post","2022","Declared disabled","Companies House","EO","EO","20","20","[c]","[c]"
"In post","2022","Declared disabled","Companies House","G6/G7","G6","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Companies House","G6/G7","G7","5","5","[c]","[c]"
"In post","2022","Declared disabled","Companies House","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Companies House","SEO/HEO","HEO","10","10","[c]","[c]"
"In post","2022","Declared disabled","Companies House","SEO/HEO","SEO","10","10","[c]","[c]"
"In post","2022","Declared disabled","Competition and Markets Authority","AA/AO","AO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Competition and Markets Authority","EO","EO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Competition and Markets Authority","G6/G7","G6","10","10","[c]","[c]"
"In post","2022","Declared disabled","Competition and Markets Authority","G6/G7","G7","10","10","[c]","[c]"
"In post","2022","Declared disabled","Competition and Markets Authority","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Competition and Markets Authority","SEO/HEO","HEO","15","15","[c]","[c]"
"In post","2022","Declared disabled","Competition and Markets Authority","SEO/HEO","SEO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Criminal Injuries Compensation Authority","AA/AO","AA","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Criminal Injuries Compensation Authority","AA/AO","AO","15","10","[c]","[c]"
"In post","2022","Declared disabled","Criminal Injuries Compensation Authority","EO","EO","15","15","[c]","[c]"
"In post","2022","Declared disabled","Criminal Injuries Compensation Authority","G6/G7","G6","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Criminal Injuries Compensation Authority","G6/G7","G7","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Criminal Injuries Compensation Authority","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Criminal Injuries Compensation Authority","SEO/HEO","HEO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Criminal Injuries Compensation Authority","SEO/HEO","SEO","[c]","[c]","[c]","[c]"
