"Status","Year","Function_of_post","Parent_department","Responsibility_level_ungrouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Analysis","Attorney General's Departments","EO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Cabinet Office","EO","5","5","[c]","[c]"
"In post","2022","Analysis","Cabinet Office","G6","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Cabinet Office","G7","5","5","[c]","[c]"
"In post","2022","Analysis","Cabinet Office","HEO","5","5","[c]","[c]"
"In post","2022","Analysis","Cabinet Office","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Cabinet Office","SEO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Chancellor's other departments","AO","5","5","[c]","[c]"
"In post","2022","Analysis","Chancellor's other departments","EO","15","10","28070","28230"
"In post","2022","Analysis","Chancellor's other departments","G6","100","85","92250","86590"
"In post","2022","Analysis","Chancellor's other departments","G7","30","30","56590","57250"
"In post","2022","Analysis","Chancellor's other departments","HEO","40","40","37470","36590"
"In post","2022","Analysis","Chancellor's other departments","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Chancellor's other departments","SEO","25","25","46630","47000"
"In post","2022","Analysis","Competition and Markets Authority","AO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Competition and Markets Authority","EO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Competition and Markets Authority","G6","35","30","75900","74480"
"In post","2022","Analysis","Competition and Markets Authority","G7","55","50","56940","56360"
"In post","2022","Analysis","Competition and Markets Authority","HEO","20","20","34170","33610"
"In post","2022","Analysis","Competition and Markets Authority","SCS level","15","15","107070","97750"
"In post","2022","Analysis","Competition and Markets Authority","SEO","10","10","44240","43880"
"In post","2022","Analysis","Department for Business, Energy and Industrial Strategy","AO","10","10","[c]","[c]"
"In post","2022","Analysis","Department for Business, Energy and Industrial Strategy","EO","55","55","27550","27680"
"In post","2022","Analysis","Department for Business, Energy and Industrial Strategy","G6","20","20","71320","69240"
"In post","2022","Analysis","Department for Business, Energy and Industrial Strategy","G7","70","70","57310","57620"
"In post","2022","Analysis","Department for Business, Energy and Industrial Strategy","HEO","165","165","35260","33880"
"In post","2022","Analysis","Department for Business, Energy and Industrial Strategy","SCS level","10","10","[c]","[c]"
"In post","2022","Analysis","Department for Business, Energy and Industrial Strategy","SEO","55","55","43860","43710"
"In post","2022","Analysis","Department for Digital, Culture, Media and Sport","AO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Digital, Culture, Media and Sport","EO","5","5","[c]","[c]"
"In post","2022","Analysis","Department for Digital, Culture, Media and Sport","G6","15","15","64250","63140"
"In post","2022","Analysis","Department for Digital, Culture, Media and Sport","G7","60","60","55950","55730"
"In post","2022","Analysis","Department for Digital, Culture, Media and Sport","HEO","60","60","37770","38020"
"In post","2022","Analysis","Department for Digital, Culture, Media and Sport","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Education","AO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Education","EO","15","15","26930","25000"
"In post","2022","Analysis","Department for Education","G6","15","15","64100","64180"
"In post","2022","Analysis","Department for Education","G7","60","55","52220","50630"
"In post","2022","Analysis","Department for Education","HEO","45","45","33510","32870"
"In post","2022","Analysis","Department for Education","SCS level","5","5","[c]","[c]"
"In post","2022","Analysis","Department for Education","SEO","60","55","42800","42420"
"In post","2022","Analysis","Department for Environment, Food and Rural Affairs","AO","30","30","21220","21510"
"In post","2022","Analysis","Department for Environment, Food and Rural Affairs","EO","125","120","25280","25010"
"In post","2022","Analysis","Department for Environment, Food and Rural Affairs","G6","25","25","61400","59120"
"In post","2022","Analysis","Department for Environment, Food and Rural Affairs","G7","65","60","48870","48080"
"In post","2022","Analysis","Department for Environment, Food and Rural Affairs","HEO","150","145","29820","29750"
"In post","2022","Analysis","Department for Environment, Food and Rural Affairs","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Environment, Food and Rural Affairs","SEO","120","115","37110","36580"
"In post","2022","Analysis","Department for International Trade","EO","30","30","27030","26250"
"In post","2022","Analysis","Department for International Trade","G6","25","25","65370","63910"
"In post","2022","Analysis","Department for International Trade","G7","85","85","53380","51970"
"In post","2022","Analysis","Department for International Trade","HEO","85","85","32080","31800"
"In post","2022","Analysis","Department for International Trade","SCS level","10","5","[c]","[c]"
"In post","2022","Analysis","Department for International Trade","SEO","20","20","39790","39690"
"In post","2022","Analysis","Department for Levelling Up, Housing and Communities","EO","30","30","28250","27850"
