"Status","Year","Function_of_post","Profession_of_post","Region_ITL3","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Analysis","Commercial","Central Hampshire","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Commercial","East Merseyside","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Commercial","Leeds","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Commercial","Sheffield","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Commercial","Westminster","10","10","51300","53360"
"In post","2022","Analysis","Commercial","Wiltshire","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Communications","East Merseyside","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Communications","Westminster","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Corporate Finance","Central Hampshire","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Digital, Data and Technology","Bristol, City of","15","15","36370","36500"
"In post","2022","Analysis","Digital, Data and Technology","Camden and City of London","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Digital, Data and Technology","Cardiff and Vale of Glamorgan","15","15","38370","36530"
"In post","2022","Analysis","Digital, Data and Technology","Central Hampshire","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Digital, Data and Technology","Central Valleys","5","5","[c]","[c]"
"In post","2022","Analysis","Digital, Data and Technology","City of Edinburgh","5","5","[c]","[c]"
"In post","2022","Analysis","Digital, Data and Technology","Coventry","5","5","[c]","[c]"
"In post","2022","Analysis","Digital, Data and Technology","Darlington","5","5","[c]","[c]"
"In post","2022","Analysis","Digital, Data and Technology","Glasgow City","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Digital, Data and Technology","Leeds","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Digital, Data and Technology","Manchester","10","10","38550","37590"
"In post","2022","Analysis","Digital, Data and Technology","Nottingham","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Digital, Data and Technology","Sheffield","25","20","43580","42210"
"In post","2022","Analysis","Digital, Data and Technology","Swindon","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Digital, Data and Technology","Tower Hamlets","10","10","55810","56120"
"In post","2022","Analysis","Digital, Data and Technology","Westminster","50","50","48860","45250"
"In post","2022","Analysis","Digital, Data and Technology","Wiltshire","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Economics","Berkshire","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Economics","Birmingham","15","15","50150","46390"
"In post","2022","Analysis","Economics","Bristol, City of","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Economics","Camden and City of London","30","30","63720","60150"
"In post","2022","Analysis","Economics","Cardiff and Vale of Glamorgan","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Economics","Central Valleys","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Economics","City of Edinburgh","5","5","[c]","[c]"
"In post","2022","Analysis","Economics","Croydon","5","5","[c]","[c]"
"In post","2022","Analysis","Economics","Darlington","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Economics","Glasgow City","10","10","48610","47000"
"In post","2022","Analysis","Economics","Greater Manchester South West","10","10","[c]","[c]"
"In post","2022","Analysis","Economics","Hackney and Newham","20","20","48860","37930"
